weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -2.622901166525516146e+03 1.188436574829709880e-01 5.721086448952379666e-02 7.679263335099648646e-01 1.013062344397062775e+00 7.231003780079490184e-01 6.293342051338530752e-01 -1.007843623369430786e+00 2.863316571976579539e+01
0.000000000000000000e+00 -2.582894802520962457e+03 1.020931109244297696e-01 3.191211484636426177e-02 5.251259956679923402e-01 1.037472117426695428e+00 9.168369533948231842e-01 7.000300406621824401e-01 -1.098283429335157990e+00 3.324041238147488286e+01
0.000000000000000000e+00 -2.436522840507007459e+03 1.670083138455931149e-01 6.242957648296847822e-02 5.791665350345553964e-01 8.036048790466091551e-01 8.854255955874055228e-01 6.257200057882561506e-01 -1.282803328983632252e+00 3.400816927573863069e+01
0.000000000000000000e+00 -2.395505345749485969e+03 1.025665141834387895e-01 3.788465920250885799e-02 7.234567284375374996e-01 8.470299364018976096e-01 9.573634286803265336e-01 2.174431493424586748e-01 -1.148242684587315043e+00 2.574363480960616357e+01
0.000000000000000000e+00 -2.387688170268321755e+03 1.025267903438952105e-01 5.521639937868301484e-02 7.429986864972777383e-01 1.063265824702648743e+00 8.716291380948055778e-01 4.818740010049163969e-01 -1.172261663246777275e+00 3.760518102494495452e+01
0.000000000000000000e+00 -2.364759094800208459e+03 1.276735201771674044e-01 6.727064493107323684e-02 8.073494623670993686e-01 8.242367549832586571e-01 7.652242618944941066e-01 7.503735385318273110e-01 -1.292581931094868741e+00 3.376071896353782620e+01
0.000000000000000000e+00 -2.356501834329342273e+03 1.529259512943581256e-01 5.918739485356974694e-02 5.044542465393877517e-01 9.481133477826648726e-01 8.716310360903274379e-01 4.842274147957164043e-01 -7.032247963395674706e-01 3.918341057636944669e+01
0.000000000000000000e+00 -2.278103946685778283e+03 4.469723957819853322e-01 3.276825734790098782e-02 7.542552384376728369e-01 1.178196860288849512e+00 7.297930096508795650e-01 3.796911910279787694e-02 -1.227640531113826983e+00 1.896499164115992286e+01
0.000000000000000000e+00 -1.921590921359828826e+03 1.204586840740729525e-01 3.255802311039303343e-02 6.400736419060972793e-01 8.292307059528621904e-01 6.585908319133320088e-01 7.777754121586708536e-01 -1.156007953675197486e+00 3.329204529413151192e+01
0.000000000000000000e+00 -1.846995322607474009e+03 1.027899471313567931e-01 3.017356316511347197e-02 6.939085297493612359e-01 8.896334459530983452e-01 6.104259059566932155e-01 7.697789853928167503e-01 -9.771072837335503802e-01 5.530654808053358806e+01
0.000000000000000000e+00 -1.734793610102667799e+03 1.476007955546284056e-01 4.710996349717661708e-02 5.545836753648468731e-01 1.039376294483311813e+00 9.918537053443506890e-01 6.845096747986350039e-01 -8.978296099683922282e-01 3.960470211658012829e+01
0.000000000000000000e+00 -1.725739658508106686e+03 1.101505972293029684e-01 4.850455506034286740e-02 7.284432916948646586e-01 8.693549118916070739e-01 6.953457027689933234e-01 2.098527361779293221e-01 -8.969563202903355625e-01 5.117583000080131228e+01
0.000000000000000000e+00 -1.700810071095204194e+03 1.089989918319957118e-01 5.959903216712421348e-02 5.886498917373490514e-01 1.028447589339738455e+00 7.735680594243485864e-01 1.880892197009503830e-01 -9.788883961709704540e-01 5.397726436316327892e+01
0.000000000000000000e+00 -1.675211819565980022e+03 1.016817339764603673e-01 3.666484025906979749e-02 5.988165928962192464e-01 1.075994722708033535e+00 7.449226467120858564e-01 3.781054738454043829e-01 -7.216618311812639242e-01 3.050549202627373901e+01
0.000000000000000000e+00 -1.619695261503777829e+03 1.249105478830326299e-01 5.008953166142215974e-02 8.194591130018787917e-01 8.764027552831522572e-01 7.008118748002259979e-01 5.060230426229230805e-01 -9.015363388704213943e-01 4.023908853171743516e+01
0.000000000000000000e+00 -1.436001300667732266e+03 1.477248194258076186e-01 3.515407006994468453e-02 6.371436791902369556e-01 8.258069648890127290e-01 6.962720481013620066e-01 6.311604198063113236e-01 -7.046073643811768816e-01 5.969758090698341846e+01
0.000000000000000000e+00 -1.432583016277566912e+03 1.479997029411543041e-01 6.093698769773273072e-02 5.393659735839965164e-01 9.280572813051328751e-01 6.884944582750334163e-01 1.781580391736929947e-01 -9.149870060096799707e-01 4.905132449127503946e+01
0.000000000000000000e+00 -1.407929315302145596e+03 4.132688580283326862e-01 4.531183470414037323e-02 8.591324826945114790e-01 1.196167819824109246e+00 8.239039457334559335e-01 4.020289555128588876e-01 -1.182292673357090429e+00 2.082663072690544936e+01
0.000000000000000000e+00 -1.336655160370137992e+03 1.372275373397941201e-01 5.414656191728416113e-02 8.027117250055819664e-01 8.033509038198263230e-01 9.672841414546732297e-01 4.091127909392211492e-02 -1.027731211584704818e+00 3.699725291768458391e+01
0.000000000000000000e+00 -1.299869568354187777e+03 1.715774919058489500e-01 4.364204995755725791e-02 5.721265335181824341e-01 8.326215489396084912e-01 8.058535255381623630e-01 5.914083232455606964e-01 -1.054429186703511601e+00 5.982048107791248981e+01
