18:01:47 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof-rsdz/mcmc_result/1/dim2, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:01:47 [ultranest] [INFO] Sampling 400 live points from prior ...
18:01:51 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:01:51 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
18:01:51 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:01:51 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-2622.90, Lmax=-1.86
18:01:51 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-1853.01, remainder_fraction=100.0000%, Lmin=-1734.79, Lmax=-1.86
18:01:51 [ultranest] [DEBUG] iteration=21, ncalls=422, regioncalls=880, ndraw=40, logz=-1304.91, remainder_fraction=100.0000%, Lmin=-1295.39, Lmax=-1.86
18:01:51 [ultranest] [DEBUG] iteration=30, ncalls=433, regioncalls=1320, ndraw=40, logz=-1172.32, remainder_fraction=100.0000%, Lmin=-1108.51, Lmax=-1.86
18:01:51 [ultranest] [DEBUG] iteration=39, ncalls=445, regioncalls=1800, ndraw=40, logz=-835.70, remainder_fraction=100.0000%, Lmin=-809.45, Lmax=-1.86
18:01:51 [ultranest] [DEBUG] iteration=40, ncalls=446, regioncalls=1840, ndraw=40, logz=-815.54, remainder_fraction=100.0000%, Lmin=-801.38, Lmax=-1.86
18:01:51 [ultranest] [DEBUG] iteration=49, ncalls=457, regioncalls=2280, ndraw=40, logz=-719.08, remainder_fraction=100.0000%, Lmin=-703.45, Lmax=-1.86
18:01:51 [ultranest] [DEBUG] iteration=55, ncalls=465, regioncalls=2600, ndraw=40, logz=-656.64, remainder_fraction=100.0000%, Lmin=-649.88, Lmax=-1.86
18:01:51 [ultranest] [DEBUG] iteration=64, ncalls=475, regioncalls=3000, ndraw=40, logz=-597.28, remainder_fraction=100.0000%, Lmin=-585.07, Lmax=-1.86
18:01:52 [ultranest] [DEBUG] iteration=73, ncalls=487, regioncalls=3480, ndraw=40, logz=-566.06, remainder_fraction=100.0000%, Lmin=-540.39, Lmax=-1.86
18:01:52 [ultranest] [DEBUG] iteration=80, ncalls=497, regioncalls=3880, ndraw=40, logz=-517.71, remainder_fraction=100.0000%, Lmin=-505.83, Lmax=-1.86
18:01:52 [ultranest] [DEBUG] iteration=89, ncalls=509, regioncalls=4360, ndraw=40, logz=-487.62, remainder_fraction=100.0000%, Lmin=-479.34, Lmax=-1.86
18:01:52 [ultranest] [DEBUG] iteration=94, ncalls=516, regioncalls=4640, ndraw=40, logz=-465.70, remainder_fraction=100.0000%, Lmin=-457.31, Lmax=-1.86
18:01:52 [ultranest] [DEBUG] iteration=103, ncalls=529, regioncalls=5160, ndraw=40, logz=-427.82, remainder_fraction=100.0000%, Lmin=-414.73, Lmax=-1.86
18:01:52 [ultranest] [DEBUG] iteration=110, ncalls=541, regioncalls=5640, ndraw=40, logz=-413.12, remainder_fraction=100.0000%, Lmin=-406.45, Lmax=-1.86
18:01:52 [ultranest] [DEBUG] iteration=119, ncalls=552, regioncalls=6080, ndraw=40, logz=-389.59, remainder_fraction=100.0000%, Lmin=-382.66, Lmax=-1.86
18:01:52 [ultranest] [DEBUG] iteration=120, ncalls=553, regioncalls=6120, ndraw=40, logz=-388.53, remainder_fraction=100.0000%, Lmin=-381.52, Lmax=-1.86
18:01:52 [ultranest] [DEBUG] iteration=128, ncalls=565, regioncalls=6600, ndraw=40, logz=-344.30, remainder_fraction=100.0000%, Lmin=-335.70, Lmax=-1.86
18:01:52 [ultranest] [DEBUG] iteration=136, ncalls=576, regioncalls=7040, ndraw=40, logz=-312.94, remainder_fraction=100.0000%, Lmin=-304.94, Lmax=-1.86
18:01:53 [ultranest] [DEBUG] iteration=143, ncalls=587, regioncalls=7480, ndraw=40, logz=-296.22, remainder_fraction=100.0000%, Lmin=-284.95, Lmax=-1.86
18:01:53 [ultranest] [DEBUG] iteration=152, ncalls=598, regioncalls=7920, ndraw=40, logz=-267.43, remainder_fraction=100.0000%, Lmin=-260.63, Lmax=-1.86
18:01:53 [ultranest] [DEBUG] iteration=159, ncalls=609, regioncalls=8360, ndraw=40, logz=-246.88, remainder_fraction=100.0000%, Lmin=-238.00, Lmax=-1.77
18:01:53 [ultranest] [DEBUG] iteration=160, ncalls=610, regioncalls=8400, ndraw=40, logz=-244.31, remainder_fraction=100.0000%, Lmin=-236.48, Lmax=-1.77
18:01:53 [ultranest] [DEBUG] iteration=169, ncalls=622, regioncalls=8880, ndraw=40, logz=-221.47, remainder_fraction=100.0000%, Lmin=-211.64, Lmax=-1.77
18:01:53 [ultranest] [DEBUG] iteration=176, ncalls=632, regioncalls=9280, ndraw=40, logz=-205.63, remainder_fraction=100.0000%, Lmin=-198.34, Lmax=-1.77
18:01:53 [ultranest] [DEBUG] iteration=182, ncalls=638, regioncalls=9520, ndraw=40, logz=-196.37, remainder_fraction=100.0000%, Lmin=-188.90, Lmax=-1.77
18:01:53 [ultranest] [DEBUG] iteration=188, ncalls=653, regioncalls=10120, ndraw=40, logz=-188.08, remainder_fraction=100.0000%, Lmin=-178.52, Lmax=-1.77
18:01:53 [ultranest] [DEBUG] iteration=196, ncalls=665, regioncalls=10600, ndraw=40, logz=-174.26, remainder_fraction=100.0000%, Lmin=-168.15, Lmax=-1.77
18:01:53 [ultranest] [DEBUG] iteration=200, ncalls=669, regioncalls=10760, ndraw=40, logz=-167.59, remainder_fraction=100.0000%, Lmin=-157.69, Lmax=-1.77
