logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.553247834876676734e+02 -5.613174977743590262e+02 1.935000000000000053e+00
-5.613174977743590262e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.100908425463111939e+02 -4.160860568330025444e+02 1.350000000000000089e-01
-4.160860568330025444e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.852003131985798063e+02 -3.911980274852711545e+02 5.799999999999999600e-01
-3.911980274852556363e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -3.557196767015010437e+02 -3.617198909881923896e+02 1.739999999999999991e+00
-3.617198909881922191e+02 1.769972518839340836e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -3.422230655237705719e+02 -3.482257798104619155e+02 4.050000000000000266e-01
-3.482257784314066384e+02 1.565486536496499781e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -3.285535201465295359e+02 -3.345587344332208772e+02 1.435000000000000053e+00
-3.345587332731675474e+02 2.064573684660244624e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -2.694840414727343614e+02 -2.754917557594257005e+02 1.925000000000000044e+00
-2.754917557594257005e+02 3.213447089527316081e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -2.637263528427204733e+02 -2.697365671294118101e+02 1.445000000000000062e+00
-2.697334058223190709e+02 2.556879530288825642e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -2.234473875915463168e+02 -2.294601018782376798e+02 9.849999999999999867e-01
-2.294601018782376798e+02 1.962337013935209384e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.934066067278418473e+02 -1.994218210145332080e+02 5.799999999999999600e-01
-1.994218210145331227e+02 2.614906167622796573e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.888792897187244364e+02 -1.948970040054157948e+02 1.205000000000000071e+00
-1.948862256043670129e+02 2.752717199128553816e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.841511743766930636e+02 -1.901713886633844197e+02 2.700000000000000178e-01
-1.901624672506236493e+02 2.599581884446314994e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -1.765368722350538349e+02 -1.825595865217451887e+02 7.000000000000000666e-02
-1.825590876343671312e+02 4.350604509456335478e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -1.623283617993027974e+02 -1.683535760859941490e+02 1.110000000000000098e+00
-1.683535754089381840e+02 7.940061029313428165e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -1.446940017214230068e+02 -1.507217160081143561e+02 1.870000000000000107e+00
-1.507217159861063465e+02 1.347521308837795928e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.439329632760217237e+02 -1.499631775627130708e+02 7.000000000000000666e-02
-1.495790379300323423e+02 5.320660266938511462e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -1.288851788068138831e+02 -1.349178930935052279e+02 3.950000000000000178e-01
-1.349178926642203464e+02 1.028034568284546246e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.274806745654743452e+02 -1.335158888521657161e+02 1.499999999999999944e-01
-1.332958675101037898e+02 7.230069108684371137e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -1.217360438294700629e+02 -1.277737581161614173e+02 9.150000000000000355e-01
-1.277697686776277379e+02 5.991635971337125888e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -1.139272992161860856e+02 -1.199675135028774378e+02 6.600000000000000311e-01
-1.199671047744221539e+02 4.285700274540937826e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -1.083018808906187900e+02 -1.143445951773101399e+02 1.004999999999999893e+00
-1.143409861415966020e+02 4.962849627566666477e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -1.044996536575642239e+02 -1.105448679442555857e+02 1.530000000000000027e+00
-1.105226586275748275e+02 3.944684798614808585e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -9.937695305573507198e+01 -1.054246673424264316e+02 1.719999999999999973e+00
-1.054185769212519830e+02 2.479148838360523577e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -9.791587690784884046e+01 -1.039660911945401978e+02 1.799999999999999933e-01
-1.037558400466180757e+02 2.854022444712546402e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -9.469286134043201741e+01 -1.007455756271233724e+02 1.294999999999999929e+00
-1.006974727020937195e+02 1.569716081338782043e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -8.691818438738576447e+01 -9.297339867407711722e+01 1.389999999999999902e+00
