Om Ob h ns s8 Mnu w scale_factor
1.894076053668627413e-01 3.710277469879898204e-02 8.957579942445519361e-01 1.088332969083143364e+00 6.080329796491757977e-01 9.417484347824052193e-01 -8.913694356688919296e-01 8.506091097817046887e+01
2.009498243480414281e-01 3.697311357870203263e-02 5.634184061624025741e-01 1.066057186185307204e+00 8.222670380625057840e-01 9.353645708137847681e-01 -1.120636627137822527e+00 2.723914910658415778e+01
1.401232039596744805e-01 3.526578964648107578e-02 7.964175330601903635e-01 9.665809249570423978e-01 6.453061049727643050e-01 4.036365942338696611e-01 -1.242764844625148246e+00 8.747505388898769496e+00
1.515477470258229653e-01 5.120428344569076529e-02 5.944661877941584960e-01 8.595380679275824720e-01 6.462731874833349544e-01 3.876359248618754805e-01 -8.544957375519448561e-01 5.203162743133285062e+01
4.533668916456782272e-01 5.810551029412218405e-02 5.398751045222531797e-01 9.471396734679929930e-01 8.479856061676894763e-01 5.659561145352609568e-01 -1.239572441091017163e+00 1.521387775964308986e+01
4.769195467654092635e-01 3.947195620385962611e-02 5.872161240878182031e-01 1.093597371388387973e+00 8.748067003260655561e-01 9.819547003503881211e-01 -9.358450693182965852e-01 8.290370228751673665e+01
1.082942731437316203e-01 3.829076955864862963e-02 6.257966040084991244e-01 1.187175351634773390e+00 8.272215341612164652e-01 6.298090134220669656e-01 -1.208767420466971387e+00 6.778329328359575356e+01
3.291472519539421215e-01 3.597896645338544142e-02 7.476374935447018810e-01 9.342295702291146808e-01 9.008040007689608331e-01 2.319365887164177575e-01 -1.082153093260032950e+00 3.927168518475239267e+01
1.710676126187005153e-01 3.000050711583832422e-02 7.652394848619714640e-01 1.189377966020169985e+00 6.427460507020225089e-01 6.027498380627395180e-01 -1.070947632883317180e+00 4.250877608747589420e+01
1.118994040739004492e-01 4.262630829211604827e-02 7.480093115520012326e-01 1.050876052664334148e+00 7.387459868462634693e-01 9.936850286157601353e-01 -1.116844238992933391e+00 3.285861297472480658e+01
3.768243575103501497e-01 6.200023747030979776e-02 5.268873478004971744e-01 1.196444583595432043e+00 9.434057873849861497e-01 1.074940394720891312e-03 -1.206653417126826167e+00 2.389262377576607577e+01
4.685427047740018391e-01 6.586725250936990850e-02 5.608206128608189678e-01 9.054336583250544024e-01 7.990203756089336862e-01 7.491347871451131679e-01 -1.298578192227858974e+00 9.192423462404676116e+01
1.182730982212607529e-01 6.674393013178328560e-02 5.551471183443730251e-01 8.377335786947063268e-01 8.706110354615292923e-01 9.503530037149091614e-01 -1.282327184025330524e+00 4.265572466037319543e+01
4.646656420827334211e-01 4.183161994771150693e-02 7.597245156717742365e-01 9.654143516977773398e-01 8.528354149588646127e-01 3.844730740243791356e-01 -8.557940599141893312e-01 1.962777073294397212e-03
2.837642898175514183e-01 6.718725793016393222e-02 8.426066298520589193e-01 1.160806992257677139e+00 6.784884093745087164e-01 9.893583934777918643e-01 -1.053294270152171253e+00 2.692130359783203630e+01
1.390012266565080479e-01 6.160892776457453646e-02 7.551812346340585069e-01 9.900091509933575118e-01 6.700343498883206683e-01 4.277043632804923279e-01 -7.602346095355656530e-01 8.896512482839266056e+01
2.896319403226955691e-01 3.894156936238089839e-02 8.559856715813443095e-01 1.130561089332374536e+00 7.406664347636578993e-01 1.174909347906845092e-01 -1.001723307520504536e+00 9.882779580720239210e+01
4.210781230820818122e-01 3.011313694227346627e-02 7.161352181999456334e-01 1.096316059549676813e+00 9.047110077735929234e-01 6.432648010186288179e-01 -1.107596536045161173e+00 6.462069087153236069e+01
4.533668916456782272e-01 5.810551029412218405e-02 5.398751045222531797e-01 9.471396734679929930e-01 8.479856061676894763e-01 5.659561145352609568e-01 -1.239572441091017163e+00 1.521387775964308986e+01
1.432691131447091371e-01 6.187684835333966127e-02 7.922969877666767857e-01 9.367541869269541133e-01 6.402694804189897892e-01 6.212925977534961008e-01 -8.665507571658339625e-01 4.722017174360111369e+01
4.250604804518527402e-01 6.776017546309469342e-02 6.649063919622519858e-01 9.170098832907020991e-01 9.529609781169950944e-01 3.174944556854237820e-01 -1.082114013225440319e+00 8.513843853075880475e+01
1.741371885243397366e-01 4.587572063328690386e-02 6.737109295611383164e-01 8.362000809163868675e-01 9.068408444921873812e-01 7.550366222342527189e-01 -1.287137164123628885e+00 4.984478719800604551e+01
3.271018465867993052e-01 5.872819207051384327e-02 7.050946128819005621e-01 8.659875025418612982e-01 8.925430683939601373e-01 5.721034227791516047e-01 -1.190258844691174600e+00 6.457332396331791813e+01
2.135243006315096503e-01 3.530648598428753199e-02 8.056574710379191817e-01 1.196373320710630184e+00 9.673154251362301448e-01 2.820013614807459490e-02 -8.085105236816870766e-01 8.167090534133085100e+01
3.001237454423836271e-01 4.450971089321378166e-02 8.510737229432410178e-01 1.077511530316046739e+00 7.294708237385448824e-01 4.384820848672504878e-01 -7.920307660840001374e-01 1.705800137286228590e+00
1.081577614242589525e-01 6.993783340955692096e-02 6.511981720060814327e-01 9.486626420554175043e-01 8.559097460241319455e-01 6.295956817904257985e-02 -1.170523212212098541e+00 5.454850060131280998e+01
3.218119259067885318e-01 6.154664586551006344e-02 8.899249237559829773e-01 1.050843205170671091e+00 9.434193259561122202e-01 6.393980505950950244e-01 -7.031868590268826047e-01 2.946870318993841664e+01
3.362266932329562863e-01 6.816893682365215978e-02 8.142095560992861358e-01 8.075350352831673906e-01 9.254786998485279303e-01 8.816859657196070010e-01 -7.250342379065001230e-01 9.666626790344115250e+01
2.307428735573320011e-01 6.146723689474073438e-02 8.273099973767168436e-01 9.007834453639199657e-01 9.819727842364842640e-01 1.721843900925597026e-01 -7.663298752564392524e-01 3.621392602715288689e+01
1.540696344039483301e-01 6.371211174746385653e-02 8.879825169473898328e-01 1.158952946782775717e+00 6.977812161603427210e-01 8.493000258339351571e-01 -1.109725806738481868e+00 5.775168567926757390e+01
4.633890055882318171e-01 5.150136318009206071e-02 8.596920832933245826e-01 9.273865584818270502e-01 8.843322694084239100e-01 6.767618458633122280e-01 -1.052514007037751886e+00 7.131093855844108020e+01
3.585963080913620038e-01 3.749519369997481727e-02 7.994798271563450243e-01 1.135629811297539371e+00 6.158532313444372575e-01 5.239368753154322045e-01 -1.191101102283036228e+00 5.730547244493777725e+01
1.935064407275198239e-01 3.603686040231266624e-02 7.316157056020554661e-01 8.106436373135333939e-01 6.540539559689811933e-01 7.783993213098552300e-01 -7.542391094493539061e-01 5.317938761212480614e+01
4.087162945884270648e-01 6.992059982212113500e-02 7.111012681408643843e-01 1.112740517694403408e+00 6.246637010706913573e-01 5.951912463920316920e-02 -8.912299049003568063e-01 3.777802793900946199e+01
3.962307805891842616e-01 3.274786771325388646e-02 7.053406738597179926e-01 9.229735487807023686e-01 7.783322484678107944e-01 5.690506105191779351e-01 -9.262592953955764985e-01 5.618284379009843832e+01
3.626450571402692891e-01 6.122840633613970546e-02 8.055430464780187760e-01 1.010859370309917571e+00 6.656201436289017614e-01 4.373437774665657196e-01 -1.121589208570077600e+00 8.749523142538706111e+01
1.498618804147845707e-01 4.822111943577681720e-02 5.667918308982970998e-01 8.625103375510452253e-01 6.120001741224655456e-01 7.956932248342490910e-01 -1.242601895106453691e+00 8.638288664813920548e+01
3.147292580963019226e-01 3.266898081611960269e-02 5.740074994601775948e-01 1.101728221629726390e+00 9.147297397784666106e-01 1.885039052072881027e-01 -8.427248007717539346e-01 2.706394763592428987e+01
3.267482210139832643e-01 5.929863782988534920e-02 5.291890440697617493e-01 1.109927423433386018e+00 6.169979410486360338e-01 1.356455925762133363e-01 -1.018615299518882855e+00 8.309915388394184532e+00
2.993658108470556578e-01 5.596981005086181654e-02 7.735614574109417330e-01 1.126066357439845289e+00 8.586675486656418776e-01 9.644579679993281474e-01 -1.000021585200859153e+00 2.913770120581511236e+01
4.526736299097092742e-01 6.068277057041798761e-02 8.994235947012017007e-01 8.792079377420281006e-01 6.063002833481475617e-01 1.573237910156016772e-01 -1.247320469605814663e+00 4.879621366824440543e+01
4.745136555496265451e-01 5.620774172794250345e-02 7.958858005279481063e-01 8.101795607660690068e-01 8.533525322989998774e-01 6.127256442282276172e-01 -1.031218601048340844e+00 3.900937678125413299e+01
2.359998891435952650e-01 5.420960595722917885e-02 5.504926753816458129e-01 9.152543718269974260e-01 8.858689666148302777e-01 2.523576471265821519e-01 -1.214531329580430974e+00 8.368618485046457067e+01
1.141968160836344115e-01 4.895931732591049523e-02 5.791383246776942162e-01 1.194117517639677661e+00 9.024829998586589852e-01 9.510916698081737231e-01 -7.311767144948473351e-01 6.383515966077083448e+01
3.197599977508042146e-01 5.833288005929473247e-02 5.490917253622416005e-01 9.217224658911488122e-01 6.285759504911581086e-01 5.785958578321255263e-01 -9.969251318579512855e-01 6.404830043799350392e+01
2.865432211231785375e-01 5.374351361840155883e-02 5.550838646879983074e-01 8.692546424681737438e-01 6.206562532468939963e-01 2.376076222696039686e-01 -8.992510981264818515e-01 8.289337034750219857e+01
1.243654247953352443e-01 6.787742593136519842e-02 5.762959865167934792e-01 1.088615404612770954e+00 6.391866530094432175e-01 5.664882127976744730e-02 -8.374436671423626244e-01 6.627461581505032484e+01
1.386188506015138544e-01 5.420935762747730591e-02 7.438864864810930122e-01 1.040323178517555514e+00 6.700744001505495318e-01 4.452372294066125891e-01 -1.165473266425566923e+00 6.726447129335411113e+00
3.424421272083358336e-01 6.968421736433719205e-02 8.078057889867362729e-01 1.164184783419452751e+00 8.882103846229221222e-01 2.620156452015197646e-01 -1.189444386500289053e+00 6.471591305599876875e+01
3.062592996518359589e-01 4.247472744622880769e-02 8.291862109865998365e-01 8.835802747182731620e-01 7.765585751141557136e-01 5.361828462045720167e-01 -7.351948648561963395e-01 1.525986694055981907e+01
4.812652089149053181e-01 3.931904706460455368e-02 7.227302147400591625e-01 1.174110339226233535e+00 6.410733287144547710e-01 8.617117851167147569e-01 -1.004080353932373715e+00 9.807165393201375991e+01
3.432790387410867283e-01 5.864924900881307579e-02 7.110181163409192706e-01 1.133712773114635919e+00 7.256225629326777948e-01 7.917713791004824531e-01 -1.110802297574299935e+00 6.736317868557644317e+01
3.771844247298620223e-01 5.220138566849760048e-02 8.849425658369203251e-01 9.951681316841916036e-01 6.376549354231740852e-01 3.276713871560393843e-01 -8.867204341096583953e-01 7.507216053795629307e+01
2.659110190014424280e-01 6.611724477898051067e-02 6.605631063285839488e-01 1.110401335207807261e+00 6.643525080325615173e-01 9.973350453372400448e-01 -1.134433393897957165e+00 6.703025190916410736e+01
1.821533485689046938e-01 3.964530458290257964e-02 6.993545296021095314e-01 1.172630449675331477e+00 9.221136267019889310e-01 5.215914828253923607e-01 -9.105515933263923500e-01 5.072159412680934309e+01
3.070115175573484567e-01 5.711750265900462226e-02 5.067162844941635047e-01 9.502459084888099650e-01 8.620897311251479733e-01 5.475703649483812940e-01 -1.034524442483101936e+00 4.792054922747057333e+01
3.789273961231837129e-01 3.666260819532839860e-02 5.208498540850954317e-01 9.934835558127536048e-01 7.883943090898525297e-01 6.417970526197936953e-01 -7.408926731749126970e-01 7.175058147253244556e+01
4.533668916456782272e-01 5.810551029412218405e-02 5.398751045222531797e-01 9.471396734679929930e-01 8.479856061676894763e-01 5.659561145352609568e-01 -1.239572441091017163e+00 1.521387775964308986e+01
3.062592996518359589e-01 4.247472744622880769e-02 8.291862109865998365e-01 8.835802747182731620e-01 7.765585751141557136e-01 5.361828462045720167e-01 -7.351948648561963395e-01 1.525986694055981907e+01
3.875082087111197948e-01 6.514982375279029791e-02 7.579241909980469760e-01 1.195589073006108283e+00 6.094417203755174706e-01 4.632141469981140292e-01 -8.059389837270506396e-01 2.896151853488387928e+01
4.700386108197950330e-01 4.920145392022907960e-02 6.938427879085008465e-01 1.125596915247768504e+00 7.387054230650662578e-01 5.969813985194333261e-01 -8.254093343102630875e-01 3.283010995182449676e+01
3.640676178060263668e-01 6.579561219712010134e-02 7.267878892810205604e-01 9.986485443334675027e-01 6.278430009925441979e-01 8.045911693010651122e-01 -9.604710297261662699e-01 4.172133913679743245e+01
2.781519463397363889e-01 3.199834667130956739e-02 8.222079286986887503e-01 1.085875220687111398e+00 7.908601208683153638e-01 9.868517303988457723e-01 -8.587472259277350028e-01 8.319760076114556568e+01
4.183295094767737199e-01 5.502771644496405601e-02 5.573528910424894178e-01 1.083385401260916314e+00 6.404751543106245171e-01 2.971757530172594031e-01 -1.189953972668495563e+00 8.213234975032310103e+01
2.648124754336134146e-01 3.993830134348752559e-02 5.976968010374421603e-01 1.115721600099909505e+00 9.841798874987361945e-01 5.711463969155410325e-01 -1.162803841648954561e+00 6.849259576644172398e+01
4.422171018115103047e-01 4.472899910319504818e-02 5.761083614725760471e-01 9.098738454184235325e-01 9.717694598431211306e-01 9.949886364480570178e-01 -7.548669499959770324e-01 4.914994446026503994e+01
3.525346501124281273e-01 4.341130282616370573e-02 6.191516759047209773e-01 8.982724092672945693e-01 7.606930321865243982e-01 2.802054302817529319e-01 -1.233282859074035231e+00 6.621133265564969861e+01
3.193468172699525098e-01 6.427581914292773702e-02 6.766889851030022385e-01 9.559488666982549621e-01 6.273227096067315323e-01 3.153052448066573366e-02 -1.030792429220227513e+00 4.744757840229207879e+00
3.880969358435152339e-01 3.971998085885988100e-02 6.897649146382465180e-01 9.439518554967355479e-01 6.209970039104901751e-01 9.326414276078847099e-01 -9.538017622595620360e-01 8.442651613407839761e+01
1.073158080182274460e-01 4.013943422763886770e-02 8.156263017325483533e-01 9.669409092137561945e-01 8.604678026004151103e-01 4.548652888407843653e-01 -1.071952791705300667e+00 5.973413419464387175e+01
1.751723659357922180e-01 4.781534378758411918e-02 8.104231921504232439e-01 9.960828516452482351e-01 6.940919640237748212e-01 1.004355949860714636e-01 -1.061664582989898520e+00 9.163763888938703417e+00
