weight logl Om Ob h ns s8 Mnu w scale_factor
1.736892520861741594e-171 -3.902726471956981982e+02 2.690034271063912463e-02 8.103473790784609943e-01 7.954092614438610376e-01 4.311870350167468224e-01 5.243971650129519713e-02 3.373180392256280857e-01 5.208660069455947061e-01 2.211249392096936717e-01
1.682040772527373712e-166 -3.787893115380088034e+02 1.184781110325573428e-01 3.621754323857750979e-01 1.329595985072429265e-02 9.544558983572504207e-02 3.664546126694733230e-01 8.080530889027099928e-01 8.283859567036570004e-01 2.082158057777784288e-01
1.156966326402039809e-117 -2.663343484395066412e+02 1.364778221172788797e-01 1.725767297492475372e-02 7.749380106482289809e-01 4.630281972986717287e-01 5.696018120169721310e-02 1.957446758732387382e-01 5.517554844885674825e-02 2.307992039029819198e-01
1.386086107672335036e-104 -2.362175595485530550e+02 4.294593990680389828e-01 3.108799036294894735e-01 3.671379821881489702e-01 1.442036272513735895e-02 2.483419385833993687e-01 1.597637287043454091e-01 8.730726784125170115e-01 2.314609935908449323e-01
2.721151049816499197e-94 -2.125146376733261775e+02 1.692545338349312756e-01 1.762171414782839340e-01 4.778695108054361596e-01 9.369152806261630273e-01 9.778853665924336358e-01 1.291246325662496197e-01 8.722672937812292471e-02 1.841605664629319961e-01
4.035047102876916285e-89 -2.006052492039987669e+02 9.806145841519731121e-02 4.470364674777085323e-01 9.880350247993470170e-01 4.763538114437425586e-01 9.642371980198143344e-01 4.180041504031730693e-01 8.294543452912018777e-01 1.768000556731208484e-01
6.994535434181026907e-72 -1.609086914064014024e+02 2.871525885509069731e-01 9.204873422807513528e-03 7.714492932551409998e-01 2.427301989935920501e-01 2.814670009133302120e-02 2.019786659838099796e-01 9.887161158002462091e-01 2.453416342883362189e-01
4.162127336462166199e-50 -1.107684222299394747e+02 2.579546018880047864e-01 9.967591597908043166e-01 9.181233790511403869e-01 1.198738514362932550e-01 8.658605418339622162e-01 5.817516953825727644e-01 3.361756950724729132e-01 1.697478961590618285e-01
1.063297446299969423e-44 -9.831506311649799557e+01 2.475698011510482077e-01 7.224354531507647392e-01 1.506665510132171315e-01 8.515132747779841083e-01 6.907538315858916533e-01 6.015554364396514808e-01 6.816181487700938568e-01 2.220285396170126324e-01
2.218437684811579838e-44 -9.757713479193729711e+01 2.122953679636319091e-02 9.768449393254466928e-01 5.289343581089389623e-02 7.804210344164670410e-01 3.526284273005035885e-01 6.213886672532163979e-01 7.829099698966457410e-01 1.571774679555906218e-01
3.803632087717508492e-29 -6.249670517679365389e+01 3.189736205434344773e-01 2.454636152649458669e-02 5.480733898218979050e-01 6.683346226609641061e-01 5.710710255141915326e-01 2.041609421147226877e-01 7.401635717415278037e-01 2.253917867535110142e-01
3.469310128680938071e-27 -5.798103564958217504e+01 1.678243813382185312e-01 3.444062761147894669e-01 3.430601924860747776e-01 9.714267756470473802e-02 4.155756794862702774e-01 7.666155930220988068e-01 4.495134777411545768e-01 1.640473562773345773e-01
1.206827019075674333e-25 -5.442932661053170307e+01 1.730633049846750371e-01 6.562085352724614795e-01 2.927446484676339278e-01 8.306190322654427582e-02 6.884118537044612296e-01 5.533366024950622242e-01 3.111023474319459803e-01 2.480575758455387803e-01
6.267933414138817092e-24 -5.047678943332083179e+01 4.649461850025427001e-01 2.889781739928779514e-01 4.152245943022950803e-01 9.862744179375753095e-01 9.395142859959608739e-01 1.557442340777670520e-02 9.639641822943150196e-01 1.620981058064878688e-01
1.847656342327053195e-23 -4.939323304763880884e+01 7.251576006582908240e-01 5.019507044740403323e-01 3.254573088019361293e-01 9.678362931120414459e-01 6.538955632715299782e-01 8.029334988581923183e-01 2.469228832016757691e-01 1.791571712593850174e-01
1.393921149407870752e-22 -4.736994520215826299e+01 1.616316575255840604e-01 5.943576623415952609e-01 8.131231383989429018e-01 9.598675968339818176e-01 6.229608135158123394e-01 8.624594846939239723e-01 6.145811854336602487e-03 1.623975508591395389e-01
2.291916596342679560e-20 -4.226500735347870830e+01 9.441143195436709767e-01 5.628533275997317231e-01 9.338338254547975392e-01 6.163011052678087909e-01 5.055522914730725681e-02 8.199127798409742152e-01 7.708999008015390286e-01 1.469889423203826206e-01
1.723288246198040827e-19 -4.024507643288259118e+01 6.100743937597581379e-01 3.663133578823762893e-01 3.100288449022037263e-01 6.021624822360952534e-01 2.365015489282464856e-01 5.688776703713420702e-01 1.016214715251783085e-01 1.935859848934476934e-01
1.484943673930839203e-13 -2.657592327015813893e+01 4.303185202207392424e-01 8.323857529353841933e-01 4.321881544985608503e-01 1.722288438023489299e-01 9.048292444330368056e-01 8.447131186140791614e-01 7.494768286737799601e-01 1.461510426079158931e-01
