logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -3.687125889991881991e+02 -3.747053032858795518e+02 nan
-3.747053032858795518e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.036229678229039450e+02 -3.096181821095952955e+02 nan
-3.096181821095952955e+02 3.233222432593552753e+01 -5.000000000000000104e-03 4.000000000000000000e+02 -2.491165881242123419e+02 -2.551143024109036901e+02 nan
-2.551143024109036901e+02 4.402811581053214240e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -2.477344444966733761e+02 -2.537346587833647220e+02 nan
-2.535101815420464106e+02 1.486947605630312275e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -2.391890938457430025e+02 -2.451918081324343461e+02 nan
-2.451915641697783030e+02 4.108496084756088962e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -2.157398187796051161e+02 -2.217450330662964859e+02 nan
-2.217450330662308318e+02 1.499346741766987279e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.950977521206031327e+02 -2.011054664072945002e+02 nan
-2.011054664062071993e+02 1.490802478332700076e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.859092056058689764e+02 -1.919194198925603416e+02 nan
-1.919193174386730902e+02 8.539076210077439555e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -1.672593276401051696e+02 -1.732720419267965326e+02 nan
-1.732720419188241010e+02 1.386518987006504133e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.623219364993342140e+02 -1.683371507860255747e+02 nan
-1.683299852759274984e+02 8.343636440550534772e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -1.590429544597215852e+02 -1.650606687464129436e+02 nan
-1.650233417365061257e+02 9.516997682300713635e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -1.407948562098642356e+02 -1.468150704965555917e+02 nan
-1.468150704841890501e+02 9.086514015413273526e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -1.261431659254397175e+02 -1.321658802121310714e+02 nan
-1.321658797776834717e+02 1.317480887697479552e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.123266353767292145e+02 -1.183518496634205661e+02 nan
-1.183518486619395276e+02 7.183244868803060790e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -1.011691307192807727e+02 -1.071968450059721363e+02 nan
-1.071968307025366727e+02 9.154033109086698872e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -9.971633605500701947e+01 -1.057465503416983807e+02 nan
-1.055358806399788136e+02 3.404724144145657494e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -8.477997412540874222e+01 -9.081268841210010123e+01 nan
-9.081268800864168611e+01 8.913044739917465265e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -6.591864202044442322e+01 -7.195385630713577996e+01 nan
-7.195385630068349769e+01 1.661710247212416647e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -4.836591477819889917e+01 -5.440362906489025363e+01 nan
-5.440362904101031916e+01 1.809727476980962990e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -4.572429583479226523e+01 -5.176451012148362452e+01 nan
-5.169552135587275643e+01 1.541418231417259399e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -3.903071345583879292e+01 -4.507342774253014994e+01 nan
-4.507209798487276942e+01 3.398980216691753320e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -3.816822429240823311e+01 -4.421343857909958786e+01 nan
-4.386015856545185443e+01 3.473181609446214235e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -3.301050793435863540e+01 -3.905822222104999497e+01 nan
-3.905004194409273310e+01 5.415952864022024471e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -3.252014932033804229e+01 -3.857036360702939959e+01 nan
-3.808856576407607974e+01 5.105402264168284354e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -3.196584623605087216e+01 -3.801856052274222719e+01 nan
-3.735980349617111784e+01 2.550943803554345468e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -2.538791623644091544e+01 -3.144313052313227175e+01 nan
-3.144043999705760584e+01 3.069118669755765083e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -2.477365677777908104e+01 -3.083137106447043863e+01 nan
-3.039708723312374516e+01 8.120128520394130911e-01 -6.750000000000001832e-02 4.000000000000000000e+02 -2.274430539422555597e+01 -2.880451968091691128e+01 nan
-2.861936655872677804e+01 1.176153517937515325e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -2.146694498515735461e+01 -2.752965927184871120e+01 nan
-2.723974350363531016e+01 1.294030487088644321e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -2.111012780972752267e+01 -2.717534209641888054e+01 nan
-2.651387726638021647e+01 1.248437423646382438e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -1.980722318503638846e+01 -2.587493747172774761e+01 nan
-2.545107480221917129e+01 9.724368863207152325e-01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.806625379640589912e+01 -2.413646808309725600e+01 nan
-2.389856997373469483e+01 1.346896897933347326e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -1.736982525161064572e+01 -2.344253953830200388e+01 nan
-2.295163428600360689e+01 1.121697395532288866e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -1.699608628913277286e+01 -2.307130057582413230e+01 nan
-2.231653131475693996e+01 1.112415909605501074e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -1.690242235841846963e+01 -2.298013664510982679e+01 nan
-2.190112163833614645e+01 7.892389933829796478e-01 -8.750000000000003608e-02 4.000000000000000000e+02 -1.500812587659317821e+01 -2.108834016328453487e+01 nan
-2.072118463632616425e+01 7.893012267786507774e-01 -9.000000000000003830e-02 4.000000000000000000e+02 -1.480285870791232661e+01 -2.088557299460368455e+01 nan
-2.010685749002094624e+01 9.466080954681322934e-01 -9.250000000000004052e-02 4.000000000000000000e+02 -1.433748925222312209e+01 -2.042270353891447954e+01 nan
-1.955921498326651786e+01 9.219394037733915637e-01 -9.500000000000004274e-02 4.000000000000000000e+02 -1.401735403134413538e+01 -2.010506831803549233e+01 nan
-1.910220338917434901e+01 8.150923637964895274e-01 -9.750000000000004496e-02 4.000000000000000000e+02 -1.384380416783776901e+01 -1.993401845452912724e+01 nan
-1.874085838461781961e+01 9.476554070728934187e-01 -1.000000000000000472e-01 4.000000000000000000e+02 -1.278320012979908427e+01 -1.887591441649044199e+01 nan
-1.811296093424685338e+01 8.452568731839432692e-01 -1.025000000000000494e-01 4.000000000000000000e+02 -1.263757952109423144e+01 -1.873279380778559045e+01 nan
-1.768245572930484855e+01 8.592647479469242011e-01 -1.050000000000000516e-01 4.000000000000000000e+02 -1.249364537798257757e+01 -1.859135966467393430e+01 nan
-1.734386740569376784e+01 5.507103383000708785e-01 -1.075000000000000538e-01 4.000000000000000000e+02 -1.159455477026179260e+01 -1.769476905695314883e+01 nan
-1.681085787848854096e+01 7.592085667779099323e-01 -1.100000000000000561e-01 4.000000000000000000e+02 -1.153204443094636389e+01 -1.763475871763772318e+01 nan
-1.644710617039215350e+01 7.985727187164277652e-01 -1.125000000000000583e-01 4.000000000000000000e+02 -1.147181414625588047e+01 -1.757702843294723749e+01 nan
-1.616716016742806872e+01 8.518879148102371790e-01 -1.150000000000000605e-01 4.000000000000000000e+02 -1.062540094356762310e+01 -1.673311523025898140e+01 nan
-1.571747558757489749e+01 5.401452404770430427e-01 -1.175000000000000627e-01 4.000000000000000000e+02 -1.038216881121751456e+01 -1.649238309790887058e+01 nan
-1.533852805419390819e+01 4.198592950800766332e-01 -1.200000000000000649e-01 4.000000000000000000e+02 -9.259162249652332477e+00 -1.537187653634368978e+01 nan
-1.466191610599240214e+01 7.726127526963216807e-01 -1.225000000000000672e-01 4.000000000000000000e+02 -8.864759783716026575e+00 -1.497997407040738338e+01 nan
-1.411520574192111788e+01 5.216102056614988491e-01 -1.250000000000000555e-01 4.000000000000000000e+02 -8.493301747396843737e+00 -1.461101603408820182e+01 nan
-1.363954490935278230e+01 6.058041458953455916e-01 -1.275000000000000577e-01 4.000000000000000000e+02 -8.215066525007035381e+00 -1.433528081169839297e+01 nan
-1.323494196411187929e+01 5.037351924437828421e-01 -1.300000000000000600e-01 4.000000000000000000e+02 -7.995706838558389151e+00 -1.411842112524974624e+01 nan
-1.288898462324839400e+01 5.363638920086332140e-01 -1.325000000000000622e-01 4.000000000000000000e+02 -7.669424728509183886e+00 -1.379463901520054137e+01 nan
-1.254946187079363185e+01 4.129758663621702075e-01 -1.350000000000000644e-01 4.000000000000000000e+02 -7.634956580660513303e+00 -1.376267086735187029e+01 nan
-1.228922147620924576e+01 4.176328944131261767e-01 -1.375000000000000666e-01 4.000000000000000000e+02 -7.336720370945934100e+00 -1.346693465763729236e+01 nan
-1.202073580629153504e+01 4.529059248771609703e-01 -1.400000000000000688e-01 4.000000000000000000e+02 -7.313910220559568742e+00 -1.344662450725092562e+01 nan
-1.180538669843923749e+01 3.996098069942173869e-01 -1.425000000000000711e-01 4.000000000000000000e+02 -7.258794898237133530e+00 -1.339400918492849080e+01 nan
-1.161956567560264730e+01 4.142831151089956254e-01 -1.450000000000000733e-01 4.000000000000000000e+02 -7.124037326986717211e+00 -1.326175161367807576e+01 nan
-1.144262818940353910e+01 4.254993440336208299e-01 -1.475000000000000755e-01 4.000000000000000000e+02 -7.041449096891951420e+00 -1.318166338358330947e+01 nan
-1.128077312859470638e+01 4.188127926505276766e-01 -1.500000000000000777e-01 4.000000000000000000e+02 -6.858710375901584833e+00 -1.300142466259294238e+01 nan
-1.111614932540618739e+01 3.008166167477231978e-01 -1.525000000000000799e-01 4.000000000000000000e+02 -6.664891369813048527e+00 -1.281010565650440469e+01 nan
-1.094742737053019077e+01 4.090444659666729876e-01 -1.550000000000000822e-01 4.000000000000000000e+02 -6.408554312886058035e+00 -1.255626859957741459e+01 nan
-1.076500634177743265e+01 4.816181491361686828e-01 -1.575000000000000844e-01 4.000000000000000000e+02 -6.339097150012056758e+00 -1.248931143670341370e+01 nan
-1.060093624402754031e+01 4.547590778539564726e-01 -1.600000000000000866e-01 4.000000000000000000e+02 -6.317823597285077142e+00 -1.247053788397643359e+01 nan
-1.045754171552834322e+01 4.983559342524135349e-01 -1.625000000000000888e-01 4.000000000000000000e+02 -6.273474342887008781e+00 -1.242868862957836740e+01 nan
-1.032713030748323924e+01 5.263319844799804192e-01 -1.650000000000000910e-01 4.000000000000000000e+02 -6.273440937656425298e+00 -1.243115522434778342e+01 nan
-1.021204910348935435e+01 5.021143223401296485e-01 -1.675000000000000933e-01 4.000000000000000000e+02 -6.095105268953862954e+00 -1.225531955564522058e+01 nan
-1.009018183936938584e+01 4.563279422589903711e-01 -1.700000000000000955e-01 4.000000000000000000e+02 -6.043773191262387101e+00 -1.220648747795374334e+01 nan
-9.976428343546135835e+00 4.625909025362243687e-01 -1.725000000000000977e-01 4.000000000000000000e+02 -5.893330392034749288e+00 -1.205854467872610769e+01 nan
-9.858942154102823707e+00 4.502225705399642841e-01 -1.750000000000000999e-01 4.000000000000000000e+02 -5.833510011987025123e+00 -1.200122429867838214e+01 nan
-9.747949549047870477e+00 4.164616012793417865e-01 -1.775000000000001021e-01 4.000000000000000000e+02 -5.790739787141003347e+00 -1.196095407383236164e+01 nan
-9.644155869876261278e+00 3.873242825729746874e-01 -1.800000000000001044e-01 4.000000000000000000e+02 -5.759303097756860446e+00 -1.193201738444821736e+01 nan
-9.547498188883325909e+00 3.463878996133163968e-01 -1.825000000000001066e-01 4.000000000000000000e+02 -5.753507690035777777e+00 -1.192872197672713597e+01 nan
-9.459086856483413186e+00 3.552951685842155594e-01 -1.850000000000001088e-01 4.000000000000000000e+02 -5.745211970540433200e+00 -1.192292625723179000e+01 nan
-9.377407739984436219e+00 3.362147762290536579e-01 -1.875000000000001110e-01 4.000000000000000000e+02 -5.741228844365134698e+00 -1.192144313105649189e+01 nan
-9.301791320681060071e+00 2.992875165680401461e-01 -1.900000000000001132e-01 4.000000000000000000e+02 -5.728710409903571055e+00 -1.191142469659492775e+01 nan
-9.230809687068603608e+00 2.146023065104106786e-01 -1.925000000000001155e-01 4.000000000000000000e+02 -5.723186324196261943e+00 -1.190840061088761814e+01 nan
-9.164340037572213049e+00 2.346274868652935830e-01 -1.950000000000001177e-01 4.000000000000000000e+02 -5.720085757014697236e+00 -1.190780004370605383e+01 nan
-9.101978272138621762e+00 2.567169772101491887e-01 -1.975000000000001199e-01 4.000000000000000000e+02 -5.718930916667621212e+00 -1.190914520335897819e+01 nan
-9.043354899376685907e+00 2.928282825083989294e-01 -2.000000000000001221e-01 4.000000000000000000e+02 -5.714883633665242435e+00 -1.190759792035660070e+01 nan
-8.987895327615998298e+00 2.896959962638757102e-01 -2.025000000000001243e-01 4.000000000000000000e+02 -5.714626228361026961e+00 -1.190984051505238384e+01 nan
-8.935465245384420996e+00 2.999027371379338058e-01 -2.050000000000001266e-01 4.000000000000000000e+02 -5.710419027315733587e+00 -1.190813331400709174e+01 nan
-8.885564638916966018e+00 2.598636676775001875e-01 -2.075000000000001288e-01 4.000000000000000000e+02 -5.709909451567455996e+00 -1.191012373825881454e+01 nan
-8.838128500392636866e+00 1.967564021007639774e-01 -2.100000000000001310e-01 4.000000000000000000e+02 -5.709343322855196412e+00 -1.191205760954655446e+01 nan
-8.792926557695274425e+00 1.659653981792696409e-01 -2.125000000000001332e-01 4.000000000000000000e+02 -5.706084160805252381e+00 -1.191129844749660904e+01 nan
-8.749647628987361259e+00 1.702857298256427176e-01 -2.150000000000001354e-01 4.000000000000000000e+02 -5.704476086078261510e+00 -1.191219037276961856e+01 nan
-8.708200549558716475e+00 2.044792597989370520e-01 -2.175000000000001377e-01 4.000000000000000000e+02 -5.701912304432261713e+00 -1.191212659112362005e+01 nan
-8.668400692977110467e+00 2.108474806582063543e-01 -2.200000000000001399e-01 4.000000000000000000e+02 -5.698270831455857888e+00 -1.191098511814721483e+01 nan
-8.630081530692054415e+00 1.935297539744342543e-01 -2.225000000000001421e-01 4.000000000000000000e+02 -5.697770396006168525e+00 -1.191298468269752675e+01 nan
-8.593249076125101027e+00 1.851076599019026159e-01 -2.250000000000001443e-01 4.000000000000000000e+02 -5.697084994157844307e+00 -1.191479928084920203e+01 nan
-8.557788470554049454e+00 1.789281867661800252e-01 -2.275000000000001465e-01 4.000000000000000000e+02 -5.696983149568791482e+00 -1.191719743626014960e+01 nan
-8.523623018785730920e+00 1.742543206139502143e-01 -2.300000000000001488e-01 4.000000000000000000e+02 -5.696712861552518881e+00 -1.191942714824387650e+01 nan
-8.490658765306660527e+00 1.697116285114395606e-01 -2.325000000000001510e-01 4.000000000000000000e+02 -5.696687711207601978e+00 -1.192190199789895999e+01 nan
-8.458824203802507213e+00 1.685932751358347192e-01 -2.350000000000001532e-01 4.000000000000000000e+02 -5.696630675221237894e+00 -1.192434496191259541e+01 nan
-8.428046024919588319e+00 1.697937070684009397e-01 -2.375000000000001554e-01 4.000000000000000000e+02 -5.696523662257983567e+00 -1.192673794894934147e+01 nan
-8.398257239669838725e+00 1.545445476047452027e-01 -2.400000000000001577e-01 4.000000000000000000e+02 -5.696489166149709682e+00 -1.192920345284106709e+01 nan
-8.369400431065114887e+00 1.474438092946424028e-01 -2.425000000000001599e-01 4.000000000000000000e+02 -5.696467003706380261e+00 -1.193168129039773717e+01 nan
-8.341421484222495408e+00 1.437989791369186643e-01 -2.450000000000001621e-01 4.000000000000000000e+02 -5.696466096504509302e+00 -1.193418038319586572e+01 nan
-8.314271119401581700e+00 1.439881859468750414e-01 -2.475000000000001643e-01 4.000000000000000000e+02 -5.696464071927123562e+00 -1.193667835861848125e+01 nan
-8.287903537944004029e+00 1.618496484731078433e-01 -2.500000000000001665e-01 4.000000000000000000e+02 -5.696452879196232999e+00 -1.193916716588758931e+01 nan
-8.262276429054127291e+00 1.747663764693103139e-01 -2.525000000000001688e-01 4.000000000000000000e+02 -5.696451329609786285e+00 -1.194041587671776838e+01 nan
-8.237320488031688370e+00 1.673586430994717378e-01 -2.550031302181187121e-01 3.990000000000000000e+02 -5.696451329609786285e+00 -1.194166874782624532e+01 nan
-8.213002330375788418e+00 1.817775608445414970e-01 -2.575093958822791129e-01 3.990000000000000000e+02 -5.696450764805606859e+00 -1.194292157757774930e+01 nan
