Om Ob h ns s8 Mnu w scale_factor
2.942108852314219147e-01 5.090187747846831173e-02 8.248066497930932606e-01 9.489431311058117435e-01 7.876199247798028047e-01 7.859086614018597761e-01 -1.173574000856552502e+00 1.449358098134400308e+01
3.483216032843440280e-01 5.995026697522229386e-02 7.539591500637585764e-01 8.836429854590522881e-01 8.264746568902726631e-01 3.095697636183945001e-01 -1.014789655513990141e+00 1.478833111855818139e+01
2.438707811659434066e-01 3.118013174625259426e-02 7.402563351158909510e-01 1.027849734877121834e+00 8.282285717985798934e-01 3.978573122608813906e-02 -1.291637848418537571e+00 1.481532855725927789e+01
4.279137907633409066e-01 3.986058201364003906e-02 6.657243861412950325e-01 8.294525454844170476e-01 8.547134558589575271e-01 9.556145795430450729e-01 -7.714465377695406412e-01 1.500595352901020441e+01
3.479793537035341666e-01 4.725682560102893726e-02 7.899323654173664444e-01 8.554350853618039041e-01 7.939414500908810179e-01 9.343860569045872033e-01 -1.075224717291244358e+00 1.466296519909505136e+01
3.968041298299971320e-01 5.301572343942919513e-02 5.380017015909487332e-01 9.547417938060984710e-01 8.102762348932286418e-01 1.284743760145589664e-01 -9.168859020153512507e-01 1.495949312989088043e+01
3.293047878764007175e-01 4.801210832085447966e-02 7.698917810102523518e-01 9.035358624411022888e-01 8.044700584222197470e-01 5.961764948864234359e-01 -9.138998552232938666e-01 1.453721985992133270e+01
2.697962943376689404e-01 4.223970458108713966e-02 8.147565820491713406e-01 9.520816411845071103e-01 8.365384364136451145e-01 9.865984928636156726e-02 -1.121902778783293808e+00 1.482405058679598042e+01
2.818088467942326814e-01 4.278234426258786804e-02 7.209072322242421338e-01 9.911946901705482871e-01 8.213437107354721878e-01 5.562873542295321272e-02 -1.146699060020547556e+00 1.471372726729982894e+01
2.850656504274942105e-01 3.800280477789687306e-02 8.883704088132284848e-01 8.934628673497639895e-01 8.216252315731694678e-01 7.580185235696811352e-01 -9.152687204004674726e-01 1.461672548090060175e+01
3.902245757301492368e-01 3.851330661925876642e-02 5.654342204894109436e-01 9.340021786399214099e-01 8.324497244864303980e-01 4.607008423831684407e-01 -9.249868663099987121e-01 1.488356530027385638e+01
3.590524404042533257e-01 4.238786011801957271e-02 6.081205960675343247e-01 9.378841348374450382e-01 8.399823960431994641e-01 2.384862725866760402e-01 -8.820615132586664409e-01 1.476875240805222234e+01
3.504285096997538096e-01 6.852035966743572071e-02 7.112561469837404005e-01 9.803132537293733906e-01 8.048400437641886063e-01 7.093298585099960807e-01 -8.287393511306165861e-01 1.482135597127511772e+01
2.670172627315962055e-01 3.861112044932394488e-02 8.000327059966482190e-01 9.491173520802260732e-01 8.347439375196643585e-01 1.128219347853096077e-01 -1.266386352326310583e+00 1.496352134656474497e+01
4.490725847080562216e-01 4.805071464607854614e-02 5.101980944964301656e-01 9.600887854580770764e-01 8.038576364488040360e-01 7.462774684059230168e-01 -7.285477622290496003e-01 1.485090812792677362e+01
3.228904523097400614e-01 3.484349606647331454e-02 6.382464113086803170e-01 9.908161368102496036e-01 8.206266036138165632e-01 5.376598001065872046e-01 -9.061154540548741476e-01 1.461830890355181900e+01
3.652111315366567412e-01 6.323646135724408923e-02 7.274611917614436374e-01 8.700621559749801559e-01 8.286128700792789736e-01 1.380802876664813938e-01 -1.027671525031660815e+00 1.500091454015573511e+01
3.339289474382538536e-01 5.800314043414497855e-02 6.202366390452882516e-01 1.002312237239370907e+00 8.188819676179346363e-01 3.581851296421872943e-02 -1.113741551872815982e+00 1.484359489048584457e+01
2.846901608322730537e-01 4.234497203017981853e-02 7.070276596915450185e-01 9.837236039040587743e-01 8.262667597101133188e-01 1.602624361130260411e-01 -1.152704819455563579e+00 1.485523939545490535e+01
4.257370074577762065e-01 5.145748408093350768e-02 5.560119196242691020e-01 9.123722598828511998e-01 8.230645877277789069e-01 3.982314174145296093e-01 -9.226402903628895258e-01 1.487052387836523515e+01
3.203866101150834034e-01 6.857165614397753295e-02 8.408976043828594316e-01 9.413937706371492409e-01 7.993110396763691838e-01 6.754781933489539814e-01 -1.036852626630497820e+00 1.478738300684993234e+01
3.096168306669654369e-01 4.804863044884816192e-02 7.566952803406317152e-01 9.180591168999139295e-01 8.234299329934088307e-01 1.985567798969008479e-01 -9.315333587305684171e-01 1.479830894354301485e+01
3.331908641954991479e-01 4.412949047037875022e-02 7.308805384450753895e-01 8.808924650658480626e-01 8.327370206207995729e-01 2.161583003776573197e-01 -9.992465048629142199e-01 1.481758333046398945e+01
3.413739500206643407e-01 5.929545955549469366e-02 8.006865678753909421e-01 9.113315563708583866e-01 8.048976754103702724e-01 9.848708690314651459e-01 -1.049648322060169781e+00 1.468935936495478778e+01
3.489870429002683849e-01 4.084562245630631722e-02 6.088717187676491172e-01 9.600876985488164816e-01 8.417376230141595528e-01 1.781853966665064570e-01 -9.276455589327933238e-01 1.484040787698794972e+01
3.357207049475152694e-01 5.001954253333677769e-02 7.144721711133320552e-01 8.963670209430717462e-01 8.506078438820795506e-01 2.276287003825133715e-02 -9.224431536936200660e-01 1.484621602909258442e+01
2.407976583811387017e-01 3.370301372602962919e-02 7.410577630961636686e-01 1.020860574289945921e+00 8.262238901915295308e-01 2.316059639553641469e-02 -1.143113079886590056e+00 1.471574474353522177e+01
3.241753585523593495e-01 3.205671510353910736e-02 6.436526018735981847e-01 1.002274152862127954e+00 8.061614247786986764e-01 9.627286436945257098e-01 -1.123389603250992685e+00 1.486655418862598488e+01
3.279408793409799294e-01 5.513130717957533816e-02 6.455969668631568181e-01 1.001565994481249611e+00 7.834251448709772525e-01 3.991654867379120786e-01 -1.064344333868815440e+00 1.484246830692703334e+01
3.033107266463127560e-01 5.338602330347304303e-02 8.387211153073528269e-01 8.885898492553697681e-01 8.180406262582519128e-01 2.859438494518923290e-01 -8.855858403431209336e-01 1.453487466074040668e+01
3.151853601502526692e-01 4.754034935284512375e-02 6.634092169153709140e-01 9.638586679045311190e-01 8.278899232940890585e-01 1.242745862494949449e-01 -1.131149257078456039e+00 1.483200135608394632e+01
3.317164172850136095e-01 6.091763662565741200e-02 7.803119371448645758e-01 9.437558116435611488e-01 7.953509300954071382e-01 9.009765603690639280e-01 -9.466451358250751458e-01 1.445914842146338586e+01
3.197443062138241032e-01 3.255922638568108790e-02 7.930004609788332548e-01 8.804126192041283883e-01 8.314607199605328347e-01 9.590954985141868505e-01 -1.022721708843688404e+00 1.473595393353397753e+01
3.975209164649646798e-01 6.714494834043305271e-02 7.478801619952879509e-01 8.187051398327181984e-01 8.236025608239349038e-01 4.080550501413175990e-01 -7.510096849806221497e-01 1.482609292913119248e+01
3.008319715695322305e-01 5.445599614152112078e-02 7.654070703229924888e-01 9.559842990237876759e-01 8.044225241450568831e-01 2.381254981817361727e-01 -9.729163057985565910e-01 1.480281350677674013e+01
2.743922032316455928e-01 4.352044942677911477e-02 8.526874146859326764e-01 9.202349437490219275e-01 8.128505242044327117e-01 3.299350593897059092e-01 -1.284151268419223113e+00 1.474825699744286212e+01
3.996842385858211388e-01 6.763984304677161941e-02 6.242949985272601143e-01 9.397818011017139428e-01 7.977169565963407871e-01 5.684953000547195989e-01 -8.497326375563426515e-01 1.497812531647008605e+01
3.062854898220765953e-01 4.844709549904636925e-02 7.746597212454870984e-01 9.367838895536386712e-01 8.184098820018619325e-01 3.430559988567692953e-01 -1.018728968002689417e+00 1.479092395278785155e+01
3.636044232140442922e-01 5.270219756031864489e-02 6.434766372358995401e-01 9.333012800567415113e-01 8.174342976044701725e-01 3.696077149042770738e-01 -9.586497348137767993e-01 1.484644573746134455e+01
4.110519891695767480e-01 5.747336909898287383e-02 5.609178764947236884e-01 9.420664832318412785e-01 7.937659849260911837e-01 5.237943874614811035e-01 -7.644897769376332031e-01 1.481463546906076623e+01
4.002930229701949782e-01 6.593190608674055764e-02 5.826959745351929509e-01 9.744417294913791938e-01 7.919706580551761910e-01 6.554656707954417127e-01 -8.728266934345325634e-01 1.488174930364338167e+01
3.412167113780902872e-01 5.165984436670745944e-02 7.741077886779123007e-01 9.007707147419511395e-01 8.064675658836422123e-01 8.402757622841386942e-01 -9.695730878442492262e-01 1.475926175750983660e+01
2.960785497446787318e-01 3.546227303102086892e-02 7.548873784475358395e-01 9.438056392412694784e-01 8.076390863991239621e-01 6.735175659136891646e-01 -1.278492947751280973e+00 1.490759318867074512e+01
3.164560657199096405e-01 6.103538018652732849e-02 8.754878827580421241e-01 8.833866663006781916e-01 8.369713443372600592e-01 1.844067930322768611e-01 -1.244815425379877993e+00 1.510733340759641052e+01
2.892957464793519118e-01 5.533739665980917655e-02 7.866292538660422107e-01 9.588538310877334769e-01 8.007516267545984334e-01 2.978472692541356270e-02 -1.230368171434896629e+00 1.474077722253936606e+01
3.362388766817498986e-01 4.158109791606352801e-02 5.068595096358755603e-01 1.038749878568539176e+00 8.221343993416617701e-01 6.952963934035938376e-02 -1.195221765889191046e+00 1.503677326754945476e+01
4.583083299778207831e-01 4.878975913444286161e-02 6.360102577644216604e-01 8.055718067795690773e-01 8.419865563370626527e-01 7.916360230081530558e-01 -9.165638780850773326e-01 1.496490030616872424e+01
3.542785299067320315e-01 6.129648752951209756e-02 7.914656121105192454e-01 8.413487544543167829e-01 8.331172998550177011e-01 1.055623534503530303e-01 -9.258831834587819554e-01 1.486242977729021142e+01
3.253679296851742508e-01 5.661070410423434812e-02 7.220479195464282185e-01 9.334509769541032842e-01 8.260865582253972272e-01 5.087051235017309159e-02 -1.128309396679841869e+00 1.494806963890038887e+01
2.960785497446787318e-01 3.546227303102086892e-02 7.548873784475358395e-01 9.438056392412694784e-01 8.076390863991239621e-01 6.735175659136891646e-01 -1.278492947751280973e+00 1.490759318867074512e+01
3.770490399809791615e-01 5.686473886366540109e-02 6.357900515937379149e-01 9.315223156804910420e-01 8.176359856874209076e-01 3.661875671054274362e-01 -7.545930350748621951e-01 1.479863919880268774e+01
3.511224764633181783e-01 5.269257618633087226e-02 5.342605237312615385e-01 1.032801765284669715e+00 7.894030556665170284e-01 2.108574875083170652e-01 -9.746501232724251729e-01 1.462151429896648480e+01
3.740714003766821838e-01 3.017097551300323283e-02 5.936036090391840769e-01 9.775645666557392088e-01 8.254436951843852066e-01 9.420799517816259572e-01 -1.013621308780784824e+00 1.495036585351567560e+01
3.743273595789032848e-01 6.309772532637181186e-02 6.077072291779218594e-01 9.752738689444778730e-01 7.923527402609310544e-01 4.422092209373852389e-01 -1.085937004679972784e+00 1.495592037102694860e+01
3.793193224708585332e-01 3.201426234778557978e-02 6.456617273644719157e-01 9.052279144272641354e-01 8.401810972338146222e-01 9.599591063008239278e-01 -1.028262782729277625e+00 1.494867003906233371e+01
3.872728108838595640e-01 5.298033919659891899e-02 6.349679006988477870e-01 9.394500677980781589e-01 8.198175211342707547e-01 8.426266244429955199e-01 -8.205732888077152953e-01 1.473719034378883563e+01
3.346840045511388917e-01 3.959671730300445142e-02 7.337674370568758597e-01 8.814737844812269296e-01 8.624477450825811520e-01 2.241020522471758869e-01 -7.885610521820167751e-01 1.469508634084595577e+01
3.201434815652958177e-01 5.208960314117926094e-02 7.015859829231312350e-01 9.496676855537289352e-01 8.086293329721565559e-01 3.267792711061125455e-01 -8.855449651222295770e-01 1.458369434395944708e+01
2.914465603968963148e-01 5.781868698202868861e-02 8.098512367291168523e-01 9.750677874385230703e-01 7.895428577981686846e-01 4.198913966588720958e-01 -1.279775591163309745e+00 1.487449023213507360e+01
3.909978144446814019e-01 6.523960175371584791e-02 6.155281691363541086e-01 9.944972134475502656e-01 7.830737465453448953e-01 9.386906806514070389e-01 -1.027214090199119578e+00 1.505548305625257299e+01
4.302579713179758292e-01 4.196881115055177414e-02 5.910465661963443251e-01 9.002142298819615363e-01 8.170741859839254495e-01 8.457314427982396410e-01 -8.351344254911245990e-01 1.480429967454861284e+01
3.806804213183592189e-01 4.474027145661447352e-02 7.497777348796488273e-01 8.162495934520518359e-01 8.325350070795405344e-01 8.143699642265277427e-01 -9.380305573189640089e-01 1.480610842931727156e+01
3.296806310014800401e-01 5.295106486230990311e-02 7.729851538208165618e-01 9.552046767719114539e-01 8.040899935147175492e-01 9.364134689500185349e-01 -1.165418195326741069e+00 1.495526099146874976e+01
