weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -4.012158478568480496e+04 1.205624191891424835e-01 6.373620479166089425e-02 5.184212273642041513e-01 1.199275829932493043e+00 7.511057916048761163e-01 9.168941278332967126e-01 -8.290474671100477311e-01 1.919989716330714558e+01
0.000000000000000000e+00 -3.447821879223708675e+04 1.205847397153702732e-01 3.133070005626920063e-02 5.452466612636995835e-01 1.019448665401784027e+00 7.692266190354435373e-01 3.819966314063317769e-01 -1.130473700073312271e+00 2.238083223523551624e+01
0.000000000000000000e+00 -2.652622369486664684e+04 1.239327719228003333e-01 4.318464488393460032e-02 7.743695187643426792e-01 8.882907447267061052e-01 8.594949754737362113e-01 8.273313237547541554e-03 -1.105499900983502704e+00 2.267510979914544222e+01
0.000000000000000000e+00 -2.170256641080266490e+04 2.167784305931563515e-01 4.727333190504900973e-02 8.218195497945359751e-01 9.704695076585136970e-01 6.574559805496786868e-01 4.234060182133370098e-01 -1.120644673821210358e+00 2.184542347264732953e+01
0.000000000000000000e+00 -1.929349283179688427e+04 2.105087748590605268e-01 5.106379183003900007e-02 6.850847979121076348e-01 1.043087619004401390e+00 7.355223864014955870e-01 7.116912841179291460e-01 -7.080704399154151840e-01 2.278614202588817861e+01
0.000000000000000000e+00 -1.915094918993151805e+04 2.349448764902979381e-01 3.008246476061628150e-02 5.379337044004237622e-01 1.004882352148473768e+00 6.995499404923946063e-01 4.217907721622473627e-01 -1.013601663535257380e+00 2.210239931691494419e+01
0.000000000000000000e+00 -1.675246172240660599e+04 2.381093055500436706e-01 4.729038159316698020e-02 5.794042528119007773e-01 8.582121524326564721e-01 9.931261765934600305e-01 2.931162696275919632e-01 -7.419745356831044525e-01 1.921401142578711330e+01
0.000000000000000000e+00 -1.514848855493122937e+04 1.464410810711263555e-01 5.372189335038667080e-02 6.105709125693038475e-01 8.592138812455977215e-01 6.996321351875032235e-01 2.822653416577888263e-01 -7.858003361509521278e-01 2.632726245521943653e+01
0.000000000000000000e+00 -1.196318060431361118e+04 2.723981400802231168e-01 4.826870806192093410e-02 8.135499371472623142e-01 8.666755568480045691e-01 8.112215887805059866e-01 6.825306205250275537e-01 -8.377582622243957555e-01 1.954759429003727433e+01
0.000000000000000000e+00 -1.024558312183737507e+04 1.860333803283889531e-01 5.187899736276753437e-02 7.558744755920931979e-01 8.687004521706180871e-01 8.997383896196571307e-01 9.365777076904364673e-01 -8.239528517605960722e-01 1.746984786385710109e+01
0.000000000000000000e+00 -9.251930332786934741e+03 1.236377989121479476e-01 3.449884361211925932e-02 8.843447612560515481e-01 1.192973826075907962e+00 9.668330778470322073e-01 1.124426736955161932e-01 -1.095698022605951838e+00 1.742049656348804021e+01
0.000000000000000000e+00 -8.613652416283375715e+03 1.743890984580435399e-01 6.558277317884093904e-02 7.322772777259665133e-01 8.321544488234834391e-01 9.803935294635924835e-01 4.691122002797032398e-01 -1.103383774759827851e+00 1.669465879017004539e+01
0.000000000000000000e+00 -8.116668904785075938e+03 2.591138469908814135e-01 4.366764146986384931e-02 8.008810439960638572e-01 9.341638366973470387e-01 6.545219350934826652e-01 6.820136593641960010e-01 -1.109913582320490866e+00 2.411692150103641552e+01
0.000000000000000000e+00 -7.262790711499043937e+03 3.722521016623751011e-01 5.781019166003605048e-02 6.584367728389113328e-01 1.065294179677331421e+00 7.918140993278783846e-01 5.265609795910601854e-01 -1.106802116558585958e+00 1.982102698453146417e+01
0.000000000000000000e+00 -7.212332457915877058e+03 2.878715480247485137e-01 6.085431597920852587e-02 7.770289595300583496e-01 1.068304175683509216e+00 7.826687867350030636e-01 2.351054398552786528e-01 -1.133521270598475406e+00 1.845338349060844507e+01
0.000000000000000000e+00 -6.705018228190123409e+03 2.295327838170252432e-01 4.281148255107067313e-02 5.322069962077023986e-01 8.134685975397892843e-01 8.723912597924711188e-01 9.312161177417597191e-01 -8.265524020356778134e-01 1.683798069894759664e+01
0.000000000000000000e+00 -6.050062032584194640e+03 1.109602783459398556e-01 3.817564293173254103e-02 7.977590542703270060e-01 1.197616646382390515e+00 8.488904602581316405e-01 6.286032829833344548e-01 -1.255206939878543038e+00 2.299528626340242710e+01
0.000000000000000000e+00 -5.953481210413350709e+03 1.308557580754217131e-01 5.356022080346117126e-02 8.921007690720075267e-01 8.528025536725292177e-01 7.887407664551023823e-01 5.705212808271815650e-01 -9.125597709395455448e-01 1.659620079718666830e+01
0.000000000000000000e+00 -5.798186424590453498e+03 3.855239442601200439e-01 6.515766052490853943e-02 7.140624748803043875e-01 1.194015726043671899e+00 7.897348666549345308e-01 4.242178310565529742e-01 -8.761606989057957318e-01 1.779272238522603544e+01
0.000000000000000000e+00 -5.505791152175889692e+03 1.283723388232433926e-01 5.263608008068455801e-02 7.926249702526624308e-01 1.175106389296806775e+00 7.998162185957350401e-01 8.383199570661353794e-01 -1.269426101608992496e+00 2.451513069082061946e+01
0.000000000000000000e+00 -5.460348278640280114e+03 3.729168132088339638e-01 6.635236963317615866e-02 7.850838952907216450e-01 9.448539737805787819e-01 6.118741067580617532e-01 7.126960635683015077e-01 -1.233998605766120527e+00 2.294767946574281936e+01
0.000000000000000000e+00 -4.967230798152228999e+03 2.207173509155303803e-01 5.941819991467542361e-02 7.117430606424460793e-01 9.442333056625848986e-01 9.775924219562072137e-01 4.522339003868511842e-01 -1.004178343718417299e+00 1.640675212025076846e+01
0.000000000000000000e+00 -4.921879250737416442e+03 1.567842598669242360e-01 3.431765329962448846e-02 5.412140622410956947e-01 8.597460068405947675e-01 7.924340526391506767e-01 5.799150575160294530e-01 -7.687282318460845199e-01 2.798942024837229781e+01
0.000000000000000000e+00 -4.802009770234519237e+03 1.122219633843181824e-01 3.862070764686441338e-02 6.142072775553797381e-01 8.553696063576714526e-01 9.787776744798862838e-01 8.075916411239587589e-01 -8.872316047421765495e-01 2.754376843463088775e+01
0.000000000000000000e+00 -4.660340704787993673e+03 3.149754361558895210e-01 4.644526828294637949e-02 7.074044616668702101e-01 9.647314661813304326e-01 6.153219958340732099e-01 8.443283774830323551e-01 -1.250677898208863992e+00 2.425479218956913030e+01
0.000000000000000000e+00 -4.318868496950970439e+03 1.393926322176300969e-01 6.230109202050039541e-02 6.297731297283879481e-01 9.439281350463857301e-01 7.226726215511464213e-01 5.882072836785036118e-01 -7.567716148635768025e-01 1.538532126654549259e+01
0.000000000000000000e+00 -4.112832602776427848e+03 2.670029369664004282e-01 5.711726319055461520e-02 6.031837921124476587e-01 8.985510554302420516e-01 6.780586744479945027e-01 8.445072041913987970e-01 -7.370803936341004947e-01 1.887797787119242088e+01
0.000000000000000000e+00 -3.594976902880427133e+03 1.128364355979363798e-01 6.813587767057849298e-02 5.833940290413341945e-01 1.019409537481160255e+00 9.041989883041162690e-01 9.299493542153436376e-01 -9.639005043121500194e-01 1.225733636746694266e+01
0.000000000000000000e+00 -3.296656009197357434e+03 1.035160351716654797e-01 4.832406979004545688e-02 8.014012938098697969e-01 9.709295599061644744e-01 6.736179696010997642e-01 6.366407282738740792e-01 -9.920226326990693178e-01 3.072601226069014047e+01
0.000000000000000000e+00 -2.937659174964227532e+03 4.185171945426731099e-01 5.599013781286800440e-02 7.686546723419008798e-01 1.104037345829260053e+00 6.482765011760514007e-01 1.088513065085959797e-01 -8.339342396220983389e-01 2.658730443187540260e+01
0.000000000000000000e+00 -2.846186308135437685e+03 4.736580402381209698e-01 4.860280779440849519e-02 8.764236217976583143e-01 9.514597444823058581e-01 6.748527861981176157e-01 2.674922414697905593e-01 -1.258977947275835341e+00 2.697683796063841299e+01
0.000000000000000000e+00 -2.797649525589779387e+03 1.101225650347369273e-01 5.814794880693899271e-02 5.377009658905146372e-01 1.040688157627456700e+00 8.467086775678411836e-01 6.965770536676566538e-01 -7.017115120091468317e-01 4.498261909963132865e+01
0.000000000000000000e+00 -2.763989699948543148e+03 1.810211653500878315e-01 4.763871093602400908e-02 5.031049780903913415e-01 8.833645519998913898e-01 9.289665606000547804e-01 7.410271287347727220e-01 -9.213911491674693366e-01 3.381128304589480393e+01
0.000000000000000000e+00 -2.401926438538567254e+03 1.051562690257672461e-01 3.681796874066740194e-02 5.772445474171814528e-01 8.783454653399023204e-01 8.310773174072227931e-01 8.653195854618985772e-01 -9.876540798846358271e-01 6.426767321004939504e+01
0.000000000000000000e+00 -2.346929505767457613e+03 4.936459951908408472e-01 3.307418309063724776e-02 8.576398319674231052e-01 1.137449872813927731e+00 9.781941576709970443e-01 6.993085628216565430e-01 -9.714263267405156554e-01 1.731055458778872946e+01
