weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -2.250077385694977784e+04 2.529617048364727339e-01 8.853634052990333458e-01 9.010703111152656986e-01 5.457820750095219164e-01 4.736290516512946525e-01 6.322350785760708636e-01 4.635757529278315969e-01 1.940181841509858174e-01
0.000000000000000000e+00 -2.236511613744830538e+04 6.448196613244938646e-02 2.118752959547939296e-01 4.503080018397238593e-01 2.446245669132262046e-01 7.497426652792357205e-01 5.988404636547992599e-01 7.204896597984749018e-01 1.898387090237758645e-01
0.000000000000000000e+00 -1.666470060952691711e+04 8.118653790677821114e-02 6.871919398216429498e-01 1.096293719929646304e-01 1.863590663121568181e-01 4.054525858968752727e-01 1.933996116483419625e-01 3.070028414899939051e-02 2.604825096943214069e-01
0.000000000000000000e+00 -1.535865024114147491e+04 4.034874096404256205e-01 1.495083186343629800e-01 8.456153666528917201e-01 9.005899619351986907e-02 5.451149605150428235e-01 6.596050521963894298e-01 9.338238708006518785e-01 2.123257447625300776e-01
0.000000000000000000e+00 -1.516835050218398101e+04 1.261688856205495091e-01 3.380049975534786810e-01 5.242173790711973647e-01 9.955059778693099437e-01 3.478962296220832195e-01 8.785629896769110436e-01 4.873438966501880687e-01 1.921566077850438425e-01
0.000000000000000000e+00 -1.294785523194769848e+04 5.073337487515782174e-01 2.445660597169656558e-01 4.978610853124046942e-01 8.299048848168327774e-01 6.097271139834314901e-02 9.500250384108923640e-01 5.856194316586375015e-01 2.193000175329803403e-01
0.000000000000000000e+00 -1.148269359383440678e+04 4.586939207725323486e-01 3.631441960276765579e-01 2.533751064050911994e-01 2.342441847589505910e-01 3.664669503607053125e-01 1.235614634056494410e-01 7.029486850215648230e-01 2.063408193177683758e-01
0.000000000000000000e+00 -1.073701342957474844e+04 4.567165165641148272e-01 4.499909498003131780e-01 8.640602143828923776e-01 6.494490056214542451e-01 8.573739218865477074e-01 6.026701611424960525e-01 7.190059420855680061e-01 1.841429803813293686e-01
0.000000000000000000e+00 -1.040202982702744157e+04 3.540384819142317063e-02 9.406729276149835561e-01 3.448350259720951438e-01 8.775967919840105269e-01 7.609714835119252285e-02 2.847649400258041030e-01 7.920598379683185808e-01 2.582012578275085790e-01
0.000000000000000000e+00 -9.816268594923425553e+03 2.665046318010758641e-01 2.755579128946440415e-01 9.428859396332353038e-01 1.666978062599677735e-02 6.199947993340271246e-02 6.933171861116730339e-01 7.238351756593408570e-02 2.541364983499860841e-01
0.000000000000000000e+00 -9.752718150992077426e+03 4.217654214836760174e-01 5.703490607436997317e-01 4.222159579588016243e-01 1.460917923880095115e-01 5.543968432737215180e-01 3.864306460078312799e-01 5.906453722924546179e-01 1.921285709660638386e-01
0.000000000000000000e+00 -9.716490793483873858e+03 1.260057649761289200e-01 8.051528467567630187e-01 9.977513578802178484e-01 8.646063049855956528e-01 1.631963559263901464e-01 7.010269669400035486e-01 1.246336260915269500e-01 2.401448479119753232e-01
0.000000000000000000e+00 -7.086486286058271617e+03 4.776074821493858646e-01 1.343806762885835226e-02 8.081837514462810734e-01 7.215243931699630853e-01 9.196466719421579894e-01 5.670274385357243485e-02 8.762513000120292217e-01 1.757804487000405036e-01
0.000000000000000000e+00 -6.477681501917375499e+03 2.198040183884854004e-01 3.998071159364522398e-01 2.622205921307424470e-01 9.485575966297876693e-02 6.252877442239301864e-01 7.217106484596169658e-01 3.760537836167644477e-01 2.542068549197357141e-01
0.000000000000000000e+00 -6.030806907458591922e+03 3.302521000854558020e-01 8.479619856648152876e-01 5.886583609113877902e-01 5.851551969964206013e-01 5.069769618388848542e-01 3.511135601120844996e-01 4.262639203299970481e-01 1.791102758649646409e-01
0.000000000000000000e+00 -5.981963856098330325e+03 6.768011919369754104e-02 7.009769851944854802e-01 4.348930207029121364e-01 3.678816667653085348e-01 3.212218498592135374e-01 6.004272686219308541e-01 4.442730867244287785e-01 2.856783007234104943e-01
0.000000000000000000e+00 -4.375382158165613873e+03 7.212183467560764338e-01 3.240466273738709102e-01 8.295625786281324299e-02 3.101979821082275768e-01 5.055422755099127086e-01 5.283262477427197457e-02 2.393357800947935043e-01 2.033572345936670578e-01
0.000000000000000000e+00 -4.109297600193829567e+03 9.495009145746623469e-01 3.200015320024164334e-01 9.394261940964075963e-01 8.038875189316146974e-01 8.482724012344045050e-02 1.558730217973620658e-01 5.842528076945854298e-01 2.596726616285065514e-01
0.000000000000000000e+00 -3.780238055992346744e+03 5.090037830127337459e-01 1.166876184156321328e-01 7.654583885052657077e-01 4.332345139302363757e-01 9.661934693288450893e-01 2.716779783672929049e-01 9.678647643686455471e-02 1.721603567451044370e-01
0.000000000000000000e+00 -3.639864961526500792e+03 2.189750527292867455e-01 2.173422990624473972e-02 1.868147954312010528e-01 2.996444032778855515e-02 9.035079002981953877e-01 6.095257980741008996e-02 5.796858658702690459e-01 2.417421501665092398e-01
