09:42:44 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof-rsdz/mcmc_result/4/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
09:42:45 [ultranest] [INFO] Sampling 400 live points from prior ...
09:43:03 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
09:43:03 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
09:43:03 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
09:43:04 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-22500.77, Lmax=-154.12
09:43:04 [ultranest] [DEBUG] iteration=1, ncalls=403, regioncalls=120, ndraw=40, logz=-22506.77, remainder_fraction=100.0000%, Lmin=-22365.12, Lmax=-154.12
09:43:04 [ultranest] [DEBUG] iteration=3, ncalls=405, regioncalls=200, ndraw=40, logz=-16670.70, remainder_fraction=100.0000%, Lmin=-15358.65, Lmax=-154.12
09:43:04 [ultranest] [DEBUG] iteration=5, ncalls=407, regioncalls=280, ndraw=40, logz=-15174.35, remainder_fraction=100.0000%, Lmin=-12947.86, Lmax=-154.12
09:43:04 [ultranest] [DEBUG] iteration=7, ncalls=409, regioncalls=360, ndraw=40, logz=-11488.70, remainder_fraction=100.0000%, Lmin=-10737.01, Lmax=-154.12
09:43:04 [ultranest] [DEBUG] iteration=8, ncalls=411, regioncalls=440, ndraw=40, logz=-10743.02, remainder_fraction=100.0000%, Lmin=-10402.03, Lmax=-154.12
09:43:04 [ultranest] [DEBUG] iteration=10, ncalls=414, regioncalls=560, ndraw=40, logz=-9822.28, remainder_fraction=100.0000%, Lmin=-9752.72, Lmax=-154.12
09:43:04 [ultranest] [DEBUG] iteration=12, ncalls=416, regioncalls=640, ndraw=40, logz=-9722.51, remainder_fraction=100.0000%, Lmin=-7086.49, Lmax=-154.12
09:43:04 [ultranest] [DEBUG] iteration=15, ncalls=419, regioncalls=760, ndraw=40, logz=-6036.83, remainder_fraction=100.0000%, Lmin=-5981.96, Lmax=-154.12
09:43:05 [ultranest] [DEBUG] iteration=18, ncalls=422, regioncalls=880, ndraw=40, logz=-4115.33, remainder_fraction=100.0000%, Lmin=-3780.24, Lmax=-154.12
09:43:05 [ultranest] [DEBUG] iteration=20, ncalls=424, regioncalls=960, ndraw=40, logz=-3645.91, remainder_fraction=100.0000%, Lmin=-3255.22, Lmax=-154.12
09:43:05 [ultranest] [DEBUG] iteration=23, ncalls=427, regioncalls=1080, ndraw=40, logz=-2309.28, remainder_fraction=100.0000%, Lmin=-2202.51, Lmax=-154.12
09:43:05 [ultranest] [DEBUG] iteration=25, ncalls=429, regioncalls=1160, ndraw=40, logz=-2196.61, remainder_fraction=100.0000%, Lmin=-2155.56, Lmax=-154.12
09:43:05 [ultranest] [DEBUG] iteration=28, ncalls=432, regioncalls=1280, ndraw=40, logz=-2048.91, remainder_fraction=100.0000%, Lmin=-2016.96, Lmax=-154.12
09:43:05 [ultranest] [DEBUG] iteration=31, ncalls=435, regioncalls=1400, ndraw=40, logz=-1884.50, remainder_fraction=100.0000%, Lmin=-1865.58, Lmax=-154.12
09:43:05 [ultranest] [DEBUG] iteration=33, ncalls=438, regioncalls=1520, ndraw=40, logz=-1851.86, remainder_fraction=100.0000%, Lmin=-1797.43, Lmax=-154.12
09:43:06 [ultranest] [DEBUG] iteration=36, ncalls=441, regioncalls=1640, ndraw=40, logz=-1785.33, remainder_fraction=100.0000%, Lmin=-1720.42, Lmax=-154.12
09:43:06 [ultranest] [DEBUG] iteration=39, ncalls=444, regioncalls=1760, ndraw=40, logz=-1696.32, remainder_fraction=100.0000%, Lmin=-1662.49, Lmax=-154.12
09:43:06 [ultranest] [DEBUG] iteration=40, ncalls=445, regioncalls=1800, ndraw=40, logz=-1668.58, remainder_fraction=100.0000%, Lmin=-1662.32, Lmax=-154.12
09:43:06 [ultranest] [DEBUG] iteration=43, ncalls=448, regioncalls=1920, ndraw=40, logz=-1611.44, remainder_fraction=100.0000%, Lmin=-1561.41, Lmax=-154.12
09:43:06 [ultranest] [DEBUG] iteration=46, ncalls=452, regioncalls=2080, ndraw=40, logz=-1536.51, remainder_fraction=100.0000%, Lmin=-1515.18, Lmax=-154.12
09:43:06 [ultranest] [DEBUG] iteration=48, ncalls=454, regioncalls=2160, ndraw=40, logz=-1518.66, remainder_fraction=100.0000%, Lmin=-1509.29, Lmax=-154.12
09:43:06 [ultranest] [DEBUG] iteration=51, ncalls=457, regioncalls=2280, ndraw=40, logz=-1491.48, remainder_fraction=100.0000%, Lmin=-1481.32, Lmax=-154.12
09:43:06 [ultranest] [DEBUG] iteration=53, ncalls=459, regioncalls=2360, ndraw=40, logz=-1486.57, remainder_fraction=100.0000%, Lmin=-1465.74, Lmax=-154.12
09:43:07 [ultranest] [DEBUG] iteration=56, ncalls=463, regioncalls=2520, ndraw=40, logz=-1462.26, remainder_fraction=100.0000%, Lmin=-1369.38, Lmax=-154.12
09:43:07 [ultranest] [DEBUG] iteration=59, ncalls=466, regioncalls=2640, ndraw=40, logz=-1335.14, remainder_fraction=100.0000%, Lmin=-1319.10, Lmax=-154.12
09:43:07 [ultranest] [DEBUG] iteration=61, ncalls=468, regioncalls=2720, ndraw=40, logz=-1281.55, remainder_fraction=100.0000%, Lmin=-1252.33, Lmax=-154.12
09:43:07 [ultranest] [DEBUG] iteration=63, ncalls=470, regioncalls=2800, ndraw=40, logz=-1254.46, remainder_fraction=100.0000%, Lmin=-1229.77, Lmax=-154.12
09:43:07 [ultranest] [DEBUG] iteration=66, ncalls=473, regioncalls=2920, ndraw=40, logz=-1221.67, remainder_fraction=100.0000%, Lmin=-1211.07, Lmax=-154.12
09:43:07 [ultranest] [DEBUG] iteration=68, ncalls=476, regioncalls=3040, ndraw=40, logz=-1214.41, remainder_fraction=100.0000%, Lmin=-1195.59, Lmax=-154.12
09:43:07 [ultranest] [DEBUG] iteration=70, ncalls=479, regioncalls=3160, ndraw=40, logz=-1199.44, remainder_fraction=100.0000%, Lmin=-1178.19, Lmax=-154.12
09:43:07 [ultranest] [DEBUG] iteration=72, ncalls=482, regioncalls=3280, ndraw=40, logz=-1170.65, remainder_fraction=100.0000%, Lmin=-1141.80, Lmax=-154.12
09:43:08 [ultranest] [DEBUG] iteration=74, ncalls=485, regioncalls=3400, ndraw=40, logz=-1141.35, remainder_fraction=100.0000%, Lmin=-1129.22, Lmax=-154.12
09:43:08 [ultranest] [DEBUG] iteration=75, ncalls=487, regioncalls=3480, ndraw=40, logz=-1135.40, remainder_fraction=100.0000%, Lmin=-1083.46, Lmax=-154.12
09:43:08 [ultranest] [DEBUG] iteration=77, ncalls=490, regioncalls=3600, ndraw=40, logz=-1084.32, remainder_fraction=100.0000%, Lmin=-1058.25, Lmax=-154.12
09:43:08 [ultranest] [DEBUG] iteration=80, ncalls=493, regioncalls=3720, ndraw=40, logz=-1041.96, remainder_fraction=100.0000%, Lmin=-1010.81, Lmax=-154.12
09:43:08 [ultranest] [DEBUG] iteration=83, ncalls=496, regioncalls=3840, ndraw=40, logz=-1005.14, remainder_fraction=100.0000%, Lmin=-995.07, Lmax=-154.12
09:43:08 [ultranest] [DEBUG] iteration=84, ncalls=497, regioncalls=3880, ndraw=40, logz=-1001.25, remainder_fraction=100.0000%, Lmin=-992.45, Lmax=-154.12
09:43:08 [ultranest] [DEBUG] iteration=86, ncalls=499, regioncalls=3960, ndraw=40, logz=-995.32, remainder_fraction=100.0000%, Lmin=-979.78, Lmax=-154.12
09:43:08 [ultranest] [DEBUG] iteration=87, ncalls=502, regioncalls=4080, ndraw=40, logz=-985.99, remainder_fraction=100.0000%, Lmin=-972.60, Lmax=-154.12
09:43:09 [ultranest] [DEBUG] iteration=89, ncalls=504, regioncalls=4160, ndraw=40, logz=-956.61, remainder_fraction=100.0000%, Lmin=-947.48, Lmax=-154.12
09:43:09 [ultranest] [DEBUG] iteration=90, ncalls=505, regioncalls=4200, ndraw=40, logz=-953.64, remainder_fraction=100.0000%, Lmin=-919.01, Lmax=-154.12
09:43:09 [ultranest] [DEBUG] iteration=92, ncalls=507, regioncalls=4280, ndraw=40, logz=-924.25, remainder_fraction=100.0000%, Lmin=-898.48, Lmax=-154.12
09:43:09 [ultranest] [DEBUG] iteration=95, ncalls=510, regioncalls=4400, ndraw=40, logz=-896.02, remainder_fraction=100.0000%, Lmin=-889.43, Lmax=-154.12
09:43:09 [ultranest] [DEBUG] iteration=97, ncalls=513, regioncalls=4520, ndraw=40, logz=-892.34, remainder_fraction=100.0000%, Lmin=-871.92, Lmax=-154.12
09:43:09 [ultranest] [DEBUG] iteration=99, ncalls=515, regioncalls=4600, ndraw=40, logz=-872.72, remainder_fraction=100.0000%, Lmin=-864.27, Lmax=-154.12
09:43:09 [ultranest] [DEBUG] iteration=101, ncalls=518, regioncalls=4720, ndraw=40, logz=-869.73, remainder_fraction=100.0000%, Lmin=-862.97, Lmax=-154.12
