weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -2.733471379429415902e+04 2.303068928880747102e-02 9.143533461976586230e-01 2.436757694747754277e-01 1.694876048405979940e-02 1.024913250155008448e-01 7.691657571278479599e-01 9.437263081269308129e-01 2.428874070117735817e-01
0.000000000000000000e+00 -2.448675155579439161e+04 8.491422337566082446e-01 5.567546335264890178e-01 9.465629118763952965e-01 4.172353101736006042e-01 6.726876690961625105e-02 3.348270989271739939e-01 4.150167310612462579e-03 1.710694744776780629e-01
0.000000000000000000e+00 -2.209623633737146520e+04 7.531977375464087299e-01 9.676063092262565668e-02 8.427647417119291662e-01 8.594694414112217240e-01 9.752601114978817209e-01 7.812780457435136716e-01 7.266380706212587359e-01 1.172183708961266335e-01
0.000000000000000000e+00 -2.070481354751000981e+04 8.013249757427302056e-01 1.332731249306707833e-01 7.069760763914314516e-01 3.472304025932878568e-01 2.396437218536108249e-01 2.978894836215761899e-01 8.241620646961078656e-02 1.758018226645063908e-01
0.000000000000000000e+00 -2.011645617026373657e+04 8.338396386602188182e-01 3.292578957541331119e-01 4.808370824652488107e-01 6.162360195188709699e-01 3.027293709998729598e-01 6.778555432773941680e-01 7.377406717964052341e-02 1.648625175929409048e-01
0.000000000000000000e+00 -2.010540419109494542e+04 9.417103313409752596e-01 1.961674517687753694e-01 1.485609833097032428e-01 8.833879526672954174e-01 4.585602243442449266e-01 4.199279807501797857e-01 3.254350709229669736e-02 1.575387858910636263e-01
0.000000000000000000e+00 -1.944000398630930795e+04 9.577043741923546571e-01 7.900433767149787068e-01 3.318657009040929529e-01 8.691324516802729772e-01 7.070929423869767305e-01 9.532995935712164082e-01 3.263396406896913460e-01 1.192572953272877934e-01
0.000000000000000000e+00 -1.888395842113340041e+04 7.390887407157911149e-01 4.956006916195700995e-01 3.532236576913326820e-01 9.786935281457843638e-01 6.222883602580449036e-01 8.354517227720101857e-01 9.815181952400656717e-01 1.352872308452705008e-01
0.000000000000000000e+00 -1.856944483574537662e+04 7.630534349164811436e-01 6.110867578994139127e-01 8.164211250535412523e-01 4.007265928794933041e-01 2.602130972035241463e-01 4.475427242504048664e-01 8.398640242511667964e-01 1.482748259381847511e-01
0.000000000000000000e+00 -1.817196449122023114e+04 9.313891575885242524e-01 7.874251960664628847e-01 4.982853240413167573e-01 8.578141013008492299e-01 6.747507817241497063e-01 7.870284282994004510e-01 3.531587513284558666e-01 1.521952490750151377e-01
0.000000000000000000e+00 -1.791615890980123368e+04 9.040867042078516436e-01 3.402622919389420852e-01 1.491834402347822497e-01 6.305997111447764203e-01 8.488869427896196251e-01 2.257039415856937348e-01 6.803022962791741568e-01 1.399786162483245278e-01
0.000000000000000000e+00 -1.748574319875147921e+04 8.872255218946992761e-01 1.572954066661306216e-01 5.402295023927300432e-01 8.673706620082392016e-01 6.085293047970170566e-01 9.284993250769865147e-01 1.738081826248838446e-01 1.075999379778879161e-01
0.000000000000000000e+00 -1.745146034040051745e+04 9.983601920725332368e-01 3.640373051997032317e-01 4.592250746163621944e-01 7.210911721843459299e-01 7.402730410287583496e-01 3.223206285937522120e-01 4.098456886470386307e-01 1.052786328530138649e-01
0.000000000000000000e+00 -1.743262434722690159e+04 8.200939408752027093e-01 7.855269922856178422e-01 3.114056715368527239e-01 6.062877219575868448e-01 4.486061707708373092e-01 2.099404303743096500e-01 4.779636888292391195e-01 1.523835883175327366e-01
0.000000000000000000e+00 -1.701892463672159647e+04 2.322634997298597126e-01 3.327524254392871805e-01 7.111125863177616413e-01 9.470950279393151039e-01 9.392173108376234980e-01 3.093201444252946519e-02 1.978104694224096516e-01 1.209472539289325743e-01
0.000000000000000000e+00 -1.693054981285302711e+04 4.702949965170984958e-01 3.005749998787168309e-01 8.512862766276072524e-01 6.166654514810195886e-01 8.049494739707331314e-01 4.313300501470123116e-01 9.844731549996136311e-01 1.274295048696503230e-01
