weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -5.155550588702516688e+04 1.083915242554199243e-01 5.678897591408106627e-02 6.176471987722640389e-01 1.104663693714220241e+00 8.195699029283516346e-01 9.701842588686626634e-01 -8.051687219804481987e-01 2.018466534222503839e+01
0.000000000000000000e+00 -4.359252642965075211e+04 1.194179098925343685e-01 5.770887334746761105e-02 7.044686676165367034e-01 9.636983184139003011e-01 8.180276358914785328e-01 2.045362584773432468e-01 -1.213052247876773126e+00 2.120558940368663059e+01
0.000000000000000000e+00 -3.769523722273846215e+04 1.242079390470551409e-01 6.848118727247912152e-02 8.793581330415030095e-01 9.831874634443203975e-01 8.294399884201748563e-01 3.315991033976631863e-01 -9.134168548424814738e-01 2.027164636551925980e+01
0.000000000000000000e+00 -3.311190118961229018e+04 1.354506400395414367e-01 4.742155744465210293e-02 5.790148157334669143e-01 1.104840108500307672e+00 6.060974800813559993e-01 5.620482189038080723e-01 -9.014803937436388637e-01 2.393219075060868306e+01
0.000000000000000000e+00 -3.295860999942685885e+04 1.073742621244082179e-01 3.302124703258581262e-02 6.816020996645385521e-01 8.109504355699471700e-01 7.738365994573195294e-01 3.567865561304075506e-01 -8.975475503843575176e-01 2.405130434382033400e+01
0.000000000000000000e+00 -3.274323670235634563e+04 1.679888136865053672e-01 5.899500414993569947e-02 5.015966288140525364e-01 9.753734405621632408e-01 7.750099267246765011e-01 6.761611841703519810e-01 -7.446140833208660936e-01 1.991218151217278987e+01
0.000000000000000000e+00 -2.917531646831325997e+04 2.149074582292781754e-01 4.735270913485783995e-02 5.470758042163690327e-01 8.256903618621986851e-01 6.573411425485832238e-01 6.451492203794095825e-01 -7.208276313021909631e-01 2.345912791626744109e+01
0.000000000000000000e+00 -2.690182098138175570e+04 2.437965485184294678e-01 6.745382409645087063e-02 5.084188338030988241e-01 1.158230477838903649e+00 7.481306385223276401e-01 5.973689997967936982e-01 -1.096337916800200318e+00 2.058283044155426822e+01
0.000000000000000000e+00 -2.624009852523929294e+04 1.623163995875646359e-01 4.268238943382593464e-02 8.155747998251589026e-01 9.752759352400135473e-01 8.211544669158751253e-01 6.979436357041235439e-01 -8.763915569774608505e-01 2.168776935091152325e+01
0.000000000000000000e+00 -2.595627371549316376e+04 1.144909892484765046e-01 3.158423468455206357e-02 5.920237395046642481e-01 8.368514333116843229e-01 6.628708616947556198e-01 6.374652315385509471e-02 -9.596267100983293385e-01 2.549359885907933432e+01
0.000000000000000000e+00 -2.568823625376316704e+04 1.672603310043904445e-01 3.867681691425553514e-02 8.659199816690272833e-01 9.734747918402261169e-01 6.983485978605515898e-01 6.230326158168452144e-01 -1.172920482221461391e+00 2.246437117465608324e+01
0.000000000000000000e+00 -2.533872707805786558e+04 1.490898857647623421e-01 4.018187982235253697e-02 5.732310455111948588e-01 8.254983490957540360e-01 7.026406380930650952e-01 7.457679720771424048e-01 -1.205632787378944526e+00 2.551220549572371610e+01
0.000000000000000000e+00 -2.446472510638956010e+04 1.911533207195940942e-01 6.541845987874425616e-02 5.056261682064435714e-01 1.166802794272913779e+00 9.355826601804015930e-01 9.042837854670774389e-01 -1.181143409266402822e+00 2.007880399228685420e+01
0.000000000000000000e+00 -2.344240051071250855e+04 1.166022209932634779e-01 3.877705346469488557e-02 8.846198705512484661e-01 1.198494699057169655e+00 6.917549742333755081e-01 8.626336043487201621e-01 -7.121550307016997206e-01 2.181561136868327466e+01
0.000000000000000000e+00 -2.283830013746619807e+04 1.120165367020134473e-01 5.007064779222583639e-02 7.387380101097724694e-01 8.009839968659162590e-01 7.762081513248506592e-01 4.666391110431729050e-01 -7.300029689883080763e-01 1.952163772634888517e+01
0.000000000000000000e+00 -2.147907386253338700e+04 1.096110443248001359e-01 6.410473587164583487e-02 7.370967550043988625e-01 1.035105528492858973e+00 6.446556825334264218e-01 8.504546293061829854e-01 -1.244776583038388784e+00 2.000701477846185128e+01
0.000000000000000000e+00 -1.870614144262197078e+04 2.387397550271032343e-01 4.222973903800859852e-02 6.238262046951101869e-01 1.010056954310611488e+00 9.081266766914484201e-01 7.566759638244678898e-01 -8.115699379539117464e-01 1.943287448511096116e+01
0.000000000000000000e+00 -1.836099769172248489e+04 1.053578808378272252e-01 3.380827006631063891e-02 5.799369834549861213e-01 1.013706355335034948e+00 6.707075349291317101e-01 3.610575509628104474e-01 -9.665820208644236855e-01 2.528599738542918374e+01
0.000000000000000000e+00 -1.806012069397688902e+04 2.387556363235601720e-01 3.789625814963957368e-02 8.493069564851825071e-01 1.155749018016758001e+00 6.130437349879168663e-01 6.229403481947732857e-01 -9.422941355193350521e-01 2.197424232025796442e+01
0.000000000000000000e+00 -1.750992954682047275e+04 1.064053760297178491e-01 5.462302820686187887e-02 6.546605863612120491e-01 9.675003483701862805e-01 8.437236336806839265e-01 6.986543860574859766e-01 -1.092024039801588797e+00 1.737823955745287918e+01
0.000000000000000000e+00 -1.731226161607554604e+04 2.057571383707455515e-01 6.281998531751351034e-02 7.863961691068024340e-01 9.198727271002761219e-01 7.114017184936596294e-01 6.005097246264435862e-01 -8.135905461400965155e-01 2.367700736215482138e+01
0.000000000000000000e+00 -1.714261466153980291e+04 2.061053514242618956e-01 4.483421280806700743e-02 5.452499753224517853e-01 1.161080379785595751e+00 7.804950963408954223e-01 6.520304889717888353e-01 -1.080946418756422389e+00 1.938604484389438909e+01
0.000000000000000000e+00 -1.677276292518727132e+04 2.619345779099626625e-01 4.518225114659342456e-02 7.844571961960189466e-01 1.071694654864135066e+00 6.094957547341722792e-01 4.445496897802834191e-01 -1.070000738515584970e+00 2.266280136691269931e+01
