logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.600000000000000000e+03 -2.824050432227726560e+04 -2.824788239366921698e+04 1.137500000000000039e-01
-2.824788239366921698e+04 nan -6.250000000000000130e-04 1.600000000000000000e+03 -2.761044815400208608e+04 -2.761782685039403805e+04 1.871250000000000080e+00
-2.761782685039403805e+04 nan -1.250000000000000026e-03 1.600000000000000000e+03 -2.408216750871217300e+04 -2.408954683010412555e+04 1.328750000000000098e+00
-2.408954683010412555e+04 1.821324047952419050e+03 -1.874999999999999931e-03 1.600000000000000000e+03 -2.357276646989192886e+04 -2.358014641628388199e+04 5.987500000000000044e-01
-2.358014641628388199e+04 1.106346798148392736e+03 -2.500000000000000052e-03 1.600000000000000000e+03 -1.864403057812201951e+04 -1.865141114951396958e+04 1.139999999999999902e+00
-1.865141114951396958e+04 2.717424747425374335e+03 -3.125000000000000173e-03 1.600000000000000000e+03 -1.859600920765742558e+04 -1.860339040404937623e+04 5.687499999999999778e-01
-1.860339040404937623e+04 1.374220594290094141e+03 -3.750000000000000295e-03 1.600000000000000000e+03 -1.791560118949142270e+04 -1.792298301088337394e+04 8.499999999999999778e-01
-1.792298301088337394e+04 1.512966754197128012e+03 -4.375000000000000416e-03 1.600000000000000000e+03 -1.743768231326980458e+04 -1.744506475966175640e+04 2.212500000000000022e-01
-1.744506475966175640e+04 1.654827245564565146e+03 -5.000000000000000104e-03 1.600000000000000000e+03 -1.689891837130207568e+04 -1.690630144269402808e+04 1.287500000000000033e-01
-1.690630144269402808e+04 1.823762181810395077e+03 -5.624999999999999792e-03 1.600000000000000000e+03 -1.678136944770428454e+04 -1.678875314409623752e+04 1.073749999999999982e+00
-1.678875314409623752e+04 5.618638812413590813e+02 -6.249999999999999480e-03 1.600000000000000000e+03 -1.657830238664786157e+04 -1.658568670803981513e+04 1.438749999999999973e+00
-1.658568670803981513e+04 9.567281471407491722e+01 -6.874999999999999167e-03 1.600000000000000000e+03 -1.611666061736418851e+04 -1.612404556375614084e+04 1.921249999999999902e+00
-1.612404556375614084e+04 2.139332923436112708e+02 -7.499999999999998855e-03 1.600000000000000000e+03 -1.599276644314431360e+04 -1.600015201453626469e+04 1.495000000000000107e+00
-1.600015201453626469e+04 2.476680754533884681e+02 -8.124999999999998543e-03 1.600000000000000000e+03 -1.551350493929482764e+04 -1.552089113568677931e+04 1.501249999999999973e+00
-1.552089113568677931e+04 3.818692326175562357e+02 -8.749999999999999098e-03 1.600000000000000000e+03 -1.448858395718364045e+04 -1.449597077857559270e+04 3.262499999999999845e-01
-1.449597077857559270e+04 8.023012434454938102e+02 -9.374999999999999653e-03 1.600000000000000000e+03 -1.366479293804723966e+04 -1.367218038443919068e+04 1.681249999999999911e+00
-1.367218038443919068e+04 9.957775158062318042e+02 -1.000000000000000021e-02 1.600000000000000000e+03 -1.337447384551556206e+04 -1.338186191690751366e+04 7.099999999999999645e-01
-1.338186191690751366e+04 1.134250648670380997e+03 -1.062500000000000076e-02 1.600000000000000000e+03 -1.260257043635021728e+04 -1.260995913274216946e+04 9.687500000000000000e-01
-1.260995913274216946e+04 3.341780222597588477e+02 -1.125000000000000132e-02 1.600000000000000000e+03 -1.250592446653148727e+04 -1.251331378792344003e+04 1.128749999999999920e+00
-1.251331378792344003e+04 2.343936784145227250e+02 -1.187500000000000187e-02 1.600000000000000000e+03 -1.236261023384310829e+04 -1.237000018023505982e+04 1.929999999999999938e+00
-1.237000018023505982e+04 9.440480172801963477e+01 -1.250000000000000243e-02 1.600000000000000000e+03 -1.222248060073782472e+04 -1.222987117212977682e+04 1.997500000000000053e+00
