22:30:43 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof-rsdz/mcmc_result/nwLH-Recovery/60/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
22:30:44 [ultranest] [INFO] Sampling 1600 live points from prior ...
22:31:40 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
22:31:40 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
22:31:40 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
22:31:42 [ultranest] [DEBUG] iteration=0, ncalls=1601, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-44517.26, Lmax=-64.13
22:31:42 [ultranest] [DEBUG] iteration=1, ncalls=1602, regioncalls=80, ndraw=40, logz=-44524.63, remainder_fraction=100.0000%, Lmin=-41567.21, Lmax=-64.13
22:31:42 [ultranest] [DEBUG] iteration=2, ncalls=1603, regioncalls=120, ndraw=40, logz=-41574.59, remainder_fraction=100.0000%, Lmin=-33891.80, Lmax=-64.13
22:31:42 [ultranest] [DEBUG] iteration=3, ncalls=1604, regioncalls=160, ndraw=40, logz=-33899.18, remainder_fraction=100.0000%, Lmin=-30212.32, Lmax=-64.13
22:31:42 [ultranest] [DEBUG] iteration=4, ncalls=1605, regioncalls=200, ndraw=40, logz=-30219.70, remainder_fraction=100.0000%, Lmin=-24440.30, Lmax=-64.13
22:31:43 [ultranest] [DEBUG] iteration=5, ncalls=1606, regioncalls=240, ndraw=40, logz=-24447.68, remainder_fraction=100.0000%, Lmin=-23903.32, Lmax=-64.13
22:31:43 [ultranest] [DEBUG] iteration=6, ncalls=1607, regioncalls=280, ndraw=40, logz=-23910.70, remainder_fraction=100.0000%, Lmin=-22627.78, Lmax=-64.13
22:31:43 [ultranest] [DEBUG] iteration=8, ncalls=1609, regioncalls=360, ndraw=40, logz=-21889.37, remainder_fraction=100.0000%, Lmin=-20877.01, Lmax=-64.13
22:31:43 [ultranest] [DEBUG] iteration=9, ncalls=1610, regioncalls=400, ndraw=40, logz=-20884.39, remainder_fraction=100.0000%, Lmin=-20612.04, Lmax=-64.13
22:31:43 [ultranest] [DEBUG] iteration=10, ncalls=1611, regioncalls=440, ndraw=40, logz=-20619.43, remainder_fraction=100.0000%, Lmin=-20247.24, Lmax=-64.13
22:31:43 [ultranest] [DEBUG] iteration=12, ncalls=1613, regioncalls=520, ndraw=40, logz=-18787.10, remainder_fraction=100.0000%, Lmin=-18722.85, Lmax=-64.13
