Om Ob h ns s8 Mnu w scale_factor
1.446643062199047258e-01 4.732952995171094135e-02 5.383833935980534280e-01 8.073709922366151259e-01 9.697854927779517853e-01 6.070714975990249007e-01 -7.600030412912240907e-01 1.649379566957827237e+01
1.446253059366752747e-01 5.979419541640530050e-02 5.298103038097586870e-01 8.343621482068969142e-01 9.304900391823219818e-01 3.256719204314144633e-01 -7.574324488963908308e-01 1.655670262567441142e+01
1.359904520178613629e-01 4.442670308273904967e-02 6.304102775737836506e-01 8.084805913050745474e-01 9.906325211327791092e-01 8.012588249682612851e-01 -7.562984034280367807e-01 1.640368883622918617e+01
1.375203876880596032e-01 4.785889715403969513e-02 5.641096178379544357e-01 8.269781950695402895e-01 9.811933334749997071e-01 5.347068074537897342e-01 -7.238927517118162180e-01 1.643750409112291067e+01
1.331528486167440906e-01 5.627451429285731249e-02 6.066248647734526767e-01 8.514335659003864354e-01 9.445810043208443529e-01 4.247306908838089923e-01 -7.168093974153876280e-01 1.640525548601431538e+01
1.346908912179699547e-01 4.907468973746156871e-02 6.490846364847879801e-01 8.183640725585541453e-01 9.743402806264974680e-01 7.462675891292077646e-01 -7.423887094403988085e-01 1.640041294389079241e+01
1.401558439676024170e-01 4.203633687399164348e-02 5.652687574680342886e-01 8.178654514020141653e-01 9.899454057913904537e-01 6.773888460209691598e-01 -8.062273922742062560e-01 1.650976917161965574e+01
1.338350955525988983e-01 5.179280941015620976e-02 7.275139363475479071e-01 8.033256525054063291e-01 9.760860607534147526e-01 9.250694865991350158e-01 -7.583324950705698786e-01 1.639477232872641821e+01
1.309811064517422130e-01 5.388260176870970919e-02 5.745747461311033755e-01 8.413256570815413893e-01 9.516776247152626267e-01 4.158856937775810558e-01 -7.338096199132700947e-01 1.642006606124906654e+01
1.533587044292170354e-01 4.498932422140352466e-02 5.184195948233275564e-01 8.029546529637826557e-01 9.888200097445716263e-01 6.328345679887564801e-01 -7.268791864355546029e-01 1.649258810122626073e+01
