11:22:18 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/1/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:22:18 [ultranest] [INFO] Sampling 1200 live points from prior ...
11:22:44 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.50, Lepsilon=0.0010, min_ess=400
11:22:44 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1200, cluster_num_live_points=100
11:22:44 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1200.0), (inf, 1200.0)]
11:22:45 [ultranest] [DEBUG] iteration=0, ncalls=1201, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-53886.47, Lmax=-73.95
11:22:45 [ultranest] [DEBUG] iteration=4, ncalls=1205, regioncalls=200, ndraw=40, logz=-46363.88, remainder_fraction=100.0000%, Lmin=-46065.99, Lmax=-73.95
11:22:45 [ultranest] [DEBUG] iteration=8, ncalls=1209, regioncalls=360, ndraw=40, logz=-34440.85, remainder_fraction=100.0000%, Lmin=-34260.74, Lmax=-73.95
11:22:45 [ultranest] [DEBUG] iteration=11, ncalls=1213, regioncalls=520, ndraw=40, logz=-31603.74, remainder_fraction=100.0000%, Lmin=-30999.55, Lmax=-73.95
11:22:45 [ultranest] [DEBUG] iteration=15, ncalls=1217, regioncalls=680, ndraw=40, logz=-28043.62, remainder_fraction=100.0000%, Lmin=-27972.63, Lmax=-73.95
11:22:45 [ultranest] [DEBUG] iteration=18, ncalls=1220, regioncalls=800, ndraw=40, logz=-27769.95, remainder_fraction=100.0000%, Lmin=-27647.39, Lmax=-73.95
11:22:45 [ultranest] [DEBUG] iteration=22, ncalls=1224, regioncalls=960, ndraw=40, logz=-27104.57, remainder_fraction=100.0000%, Lmin=-27095.45, Lmax=-73.95
11:22:45 [ultranest] [DEBUG] iteration=26, ncalls=1228, regioncalls=1120, ndraw=40, logz=-25872.12, remainder_fraction=100.0000%, Lmin=-25626.81, Lmax=-73.95
11:22:46 [ultranest] [DEBUG] iteration=30, ncalls=1232, regioncalls=1280, ndraw=40, logz=-23785.43, remainder_fraction=100.0000%, Lmin=-23454.22, Lmax=-73.95
11:22:46 [ultranest] [DEBUG] iteration=34, ncalls=1236, regioncalls=1440, ndraw=40, logz=-23001.47, remainder_fraction=100.0000%, Lmin=-22645.44, Lmax=-73.95
11:22:46 [ultranest] [DEBUG] iteration=38, ncalls=1240, regioncalls=1600, ndraw=40, logz=-21501.14, remainder_fraction=100.0000%, Lmin=-20592.11, Lmax=-73.95
11:22:46 [ultranest] [DEBUG] iteration=42, ncalls=1244, regioncalls=1760, ndraw=40, logz=-20055.93, remainder_fraction=100.0000%, Lmin=-19918.57, Lmax=-73.95
11:22:46 [ultranest] [DEBUG] iteration=46, ncalls=1248, regioncalls=1920, ndraw=40, logz=-19611.52, remainder_fraction=100.0000%, Lmin=-19291.15, Lmax=-73.95
11:22:46 [ultranest] [DEBUG] iteration=50, ncalls=1252, regioncalls=2080, ndraw=40, logz=-18880.23, remainder_fraction=100.0000%, Lmin=-18789.09, Lmax=-73.95
11:22:46 [ultranest] [DEBUG] iteration=53, ncalls=1256, regioncalls=2240, ndraw=40, logz=-18517.09, remainder_fraction=100.0000%, Lmin=-18489.76, Lmax=-73.95
