weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -5.587704353126602655e+04 7.167323563227689931e-03 7.267429599402428497e-01 4.019405765855572632e-01 1.518687467995927243e-02 7.087483159294197810e-01 7.128938508220197257e-01 5.583778729247432793e-01 2.565406793019615606e-01
0.000000000000000000e+00 -4.550681387393909245e+04 1.133002629795623051e-01 7.239959750267164207e-01 5.278013599770940978e-01 4.138275416168057941e-02 7.208331371752796368e-01 2.683088757716496353e-01 8.981560203118684749e-01 2.449254333332341327e-01
0.000000000000000000e+00 -4.293427328762611432e+04 2.768186056647018445e-01 7.648393964948756452e-01 9.897080189274417572e-01 2.974193771836137756e-01 8.685229246172027073e-01 7.086361958295804842e-01 6.565250183745098278e-01 2.483094353430373991e-01
0.000000000000000000e+00 -4.288616896477028058e+04 1.604961546357093205e-01 7.472542472795546953e-01 3.805364528536545610e-01 2.193174026639893581e-01 7.503343225181944298e-01 7.363823562468848616e-01 4.608251635834111903e-01 2.757579641818639349e-01
0.000000000000000000e+00 -4.217092532553760975e+04 4.744214098840626725e-02 9.437122721147889193e-01 5.246749383195067340e-01 2.799424076797241145e-01 7.661804614132660118e-01 2.522137203432142094e-01 1.296910109608445660e-01 2.815873715517958065e-01
0.000000000000000000e+00 -4.200871824710287910e+04 7.850793051594096017e-02 9.949681476318152917e-01 9.005308255292016062e-01 1.452802893540068307e-01 4.139304176335489860e-01 6.379589189264601723e-01 3.887582089395058560e-02 2.665656901615638397e-01
0.000000000000000000e+00 -4.146001695765688055e+04 6.276758910257440593e-02 9.910335408175807714e-01 1.559985115647299914e-02 5.451216404166783214e-01 7.896858563458496461e-01 4.136101251760229136e-01 4.642163080374398509e-01 2.415117917480523735e-01
0.000000000000000000e+00 -3.739722012014652864e+04 1.629650278404944919e-01 7.097493067089528651e-01 6.252708321048975337e-01 2.429253615074927763e-01 9.462039230311535265e-01 9.509998747903530836e-01 4.456658945034301933e-01 2.198718858176764712e-01
0.000000000000000000e+00 -3.358686861531661270e+04 8.536316773651519973e-02 2.795107460713694980e-01 1.049702430087173788e-01 1.989979478786269018e-01 6.152248042340252576e-01 4.200369956124436754e-01 6.031482838029960103e-01 2.794926834848030506e-01
0.000000000000000000e+00 -3.327791152592220897e+04 2.597759662038130468e-01 8.688094595280445587e-01 3.631972789424348091e-01 2.669175542691359926e-02 5.213164168359788464e-01 3.277511839546272121e-01 6.329458720776607317e-01 2.404779400413102897e-01
0.000000000000000000e+00 -3.315343200048947620e+04 9.835213131086550931e-02 9.905242813998550444e-01 9.426507756381755643e-01 1.095464271680631763e-01 6.124001889700556589e-01 4.441242896216125446e-01 2.622348824413545110e-02 2.251039456656863669e-01
0.000000000000000000e+00 -3.219324644134898335e+04 4.131860638342521597e-02 8.871349165413758842e-01 9.978061782210232433e-01 6.538261977469416175e-01 3.234510120348949025e-01 9.016172110856770505e-01 8.326249705398479639e-01 2.762681515604453741e-01
0.000000000000000000e+00 -3.176811124159970859e+04 3.188646841972875290e-01 9.669372207473810876e-01 6.872752810735641704e-01 3.272743421132814357e-01 6.472626036903554869e-01 9.965391936417500318e-01 6.206657867451077504e-01 2.292028267729931956e-01
0.000000000000000000e+00 -3.159998321504311025e+04 1.040633123002080440e-01 5.328783101830359969e-01 7.871598213646444631e-01 5.909240866339842135e-01 5.645706141584404536e-01 3.124877656629710954e-01 8.204435810291321740e-01 2.431822600467716811e-01
0.000000000000000000e+00 -3.141042820936675707e+04 6.249794828985177908e-02 9.169464369228860212e-01 1.014017260757494876e-01 5.401440564740512817e-01 4.912944617202729125e-01 5.041863889721731606e-01 3.562688401154667783e-02 2.764050019706760786e-01
0.000000000000000000e+00 -3.095065840496591409e+04 6.322782256872705453e-02 2.357252829374798520e-01 7.353887412152595449e-01 9.591339399374931851e-02 4.298643604040358612e-01 5.820746123475946110e-01 5.156299054898049183e-01 2.725700273985565136e-01
0.000000000000000000e+00 -2.930905267456536239e+04 8.900821800775893244e-03 8.449140799122062395e-01 3.813686142687406910e-01 8.582060551116276192e-01 9.078180988144782804e-01 9.873928571238266283e-02 3.570185437233415193e-01 2.562011222848361580e-01
0.000000000000000000e+00 -2.766283821563498714e+04 7.471918885932726795e-02 7.620921316307239790e-01 3.384917258498105763e-01 4.482818331470567186e-01 6.546418258750046348e-01 6.037188114223289714e-01 2.343599660487248881e-01 2.056491840724538056e-01
0.000000000000000000e+00 -2.748569168962749973e+04 1.389462483750621979e-01 7.449522836417115101e-01 6.015674682777423232e-01 2.276531656256579605e-01 3.340038765008451760e-01 9.369781564319434874e-02 4.952519123073534368e-01 3.156249156584813864e-01
0.000000000000000000e+00 -2.702552424542753215e+04 9.524666331966358257e-03 9.210747355630426458e-01 5.776016795984583174e-01 3.812377086937664972e-01 6.565239403884686187e-01 4.337709535639326930e-01 7.478954943987762283e-01 3.056980877626860327e-01
0.000000000000000000e+00 -2.671174176608632843e+04 1.441717705307158370e-01 8.432171926354760094e-01 8.457524381278475056e-01 7.659017620734078768e-01 7.695389076236414105e-01 9.283005668814148237e-02 5.484213061989883231e-01 2.879460921503657067e-01
0.000000000000000000e+00 -2.632230756868452954e+04 3.068244097210132137e-01 8.568449250439662546e-01 1.161038703013567153e-01 3.472725820260821328e-01 5.368645769026836323e-02 8.787662704574370487e-01 4.865160162520502096e-01 2.874472733685400350e-01
0.000000000000000000e+00 -2.619971265003766530e+04 3.378843990864798252e-01 6.687986038083542084e-01 8.585626425895984681e-01 7.510694388928416121e-01 7.774814952175628235e-01 7.261662682567632254e-01 4.145356994844143772e-01 2.431148208396880506e-01
0.000000000000000000e+00 -2.532719948462440516e+04 2.902584644500257882e-01 7.066750375756498670e-01 7.339038057691574801e-01 2.680277943065372259e-01 4.143513968751960652e-01 1.809964278879038213e-01 3.822764290752264094e-01 3.168503739138706088e-01
0.000000000000000000e+00 -2.513166753175654594e+04 3.054423074709693431e-01 4.465241447018823973e-01 3.416551730483856630e-01 5.572911107311379064e-01 8.650127342480052883e-01 2.151892987847193739e-01 6.348554079709366471e-01 2.782368748165908734e-01
0.000000000000000000e+00 -2.475792262025706077e+04 1.227093309301150459e-01 6.550022854194096356e-01 4.099253844459519458e-01 8.793788773557514871e-01 4.756043136935922400e-01 4.731134958971632276e-01 2.228945634448824542e-01 2.723376082583602864e-01
