11:11:46 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/1/dim0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:11:46 [ultranest] [INFO] Sampling 1200 live points from prior ...
11:11:49 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.50, Lepsilon=0.0010, min_ess=400
11:11:49 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1200, cluster_num_live_points=100
11:11:49 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1200.0), (inf, 1200.0)]
11:11:49 [ultranest] [DEBUG] iteration=0, ncalls=1201, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-55877.04, Lmax=-9.68
11:11:49 [ultranest] [DEBUG] iteration=9, ncalls=1210, regioncalls=400, ndraw=40, logz=-33593.97, remainder_fraction=100.0000%, Lmin=-33277.91, Lmax=-9.68
11:11:49 [ultranest] [DEBUG] iteration=24, ncalls=1225, regioncalls=1000, ndraw=40, logz=-25334.31, remainder_fraction=100.0000%, Lmin=-25131.67, Lmax=-9.68
11:11:49 [ultranest] [DEBUG] iteration=41, ncalls=1242, regioncalls=1680, ndraw=40, logz=-19446.49, remainder_fraction=100.0000%, Lmin=-19073.30, Lmax=-9.68
11:11:49 [ultranest] [DEBUG] iteration=54, ncalls=1255, regioncalls=2200, ndraw=40, logz=-16778.68, remainder_fraction=100.0000%, Lmin=-16587.54, Lmax=-9.68
11:11:49 [ultranest] [DEBUG] iteration=72, ncalls=1273, regioncalls=2920, ndraw=40, logz=-13961.43, remainder_fraction=100.0000%, Lmin=-13650.99, Lmax=-9.68
11:11:50 [ultranest] [DEBUG] iteration=89, ncalls=1290, regioncalls=3600, ndraw=40, logz=-12280.62, remainder_fraction=100.0000%, Lmin=-12267.44, Lmax=-9.68
11:11:50 [ultranest] [DEBUG] iteration=101, ncalls=1302, regioncalls=4080, ndraw=40, logz=-11449.19, remainder_fraction=100.0000%, Lmin=-11314.16, Lmax=-9.68
11:11:50 [ultranest] [DEBUG] iteration=117, ncalls=1318, regioncalls=4720, ndraw=40, logz=-10070.84, remainder_fraction=100.0000%, Lmin=-10034.46, Lmax=-9.68
