Om Ob h ns s8 Mnu w scale_factor
3.331224587484564736e-01 3.887362320941703531e-02 5.244541792576419281e-01 1.032647583825007320e+00 8.176376157925435706e-01 1.088628797539095694e-01 -1.192476314691748085e+00 1.515307335410048495e+01
3.846083309628451907e-01 4.373971834826309579e-02 7.215194699077247531e-01 8.167266904585119836e-01 9.098918328685463575e-01 2.089038388018235048e-01 -9.022313844895415436e-01 1.485710393949885066e+01
2.885338529051519885e-01 5.610005057398209649e-02 5.664190081830184909e-01 1.089055922840761914e+00 7.757072416400851989e-01 2.374102358817486991e-02 -8.451351459411167166e-01 1.425995891053663023e+01
3.797905280269605610e-01 6.781338025533772962e-02 6.919971032793573729e-01 9.004727624704497169e-01 8.426308184528066292e-01 1.525829641703103090e-01 -8.405658361540584433e-01 1.461122696337672799e+01
4.523544270362221953e-01 5.741682042537249453e-02 6.015673396037283238e-01 8.682931660080865921e-01 8.550679869507612496e-01 9.541697062374645544e-01 -1.269587536493172575e+00 1.481100098591974756e+01
1.865346953085749160e-01 4.439254945326101542e-02 5.069688388345766628e-01 8.473163497845468406e-01 6.205016568593711979e-01 8.732907525444927321e-01 -8.150233680587821716e-01 4.827242099116990204e+00
3.392088978036804647e-01 6.853301899533897901e-02 7.563773060282779070e-01 9.296353383614012200e-01 7.802408201689481348e-01 5.338755751810554395e-01 -8.982877371506741149e-01 1.475325349287829901e+01
4.068206169742114575e-01 5.724544959992079740e-02 6.109589209111911945e-01 8.701059616360090621e-01 8.584407373165938715e-01 1.773934407680572978e-01 -1.068859452633753815e+00 1.490472504183064117e+01
3.234041352579712925e-01 4.676432274044266257e-02 5.640287800186435385e-01 1.040302230364396507e+00 7.998486801980153604e-01 3.122411893959977092e-01 -1.103108770907792913e+00 1.469343052434659036e+01
2.931487937422944112e-01 5.510456609497649261e-02 6.134513560350087769e-01 1.011088348173985629e+00 7.864048722390464263e-01 4.556324012211188101e-02 -1.270998056516221775e+00 1.441276804105871889e+01
