logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.377071306473527147e+04 -1.377670577902196237e+04 nan
-1.377670577902196237e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.353377788591985154e+04 -1.353977310020654295e+04 nan
-1.353977310020654295e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.254068346740297056e+04 -1.254668118168966248e+04 nan
-1.254668118168966248e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -7.135907413223027106e+03 -7.141907627509718623e+03 nan
-7.141907627509718623e+03 2.676384745699317136e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -6.754698797551579446e+03 -6.760701511838270562e+03 nan
-6.760701511838270562e+03 1.598956593681793038e+03 -1.250000000000000069e-02 4.000000000000000000e+02 -6.748495868006833916e+03 -6.754501082293525542e+03 nan
-6.754499055789180602e+03 3.892348914247313552e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -6.444385307307893527e+03 -6.450393021594584752e+03 nan
-6.450393021594584752e+03 1.529674569854654465e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -5.418017645576329414e+03 -5.424027859863021149e+03 nan
-5.424027859863021149e+03 5.972260527569492297e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -4.638983654926123563e+03 -4.644996369212814898e+03 nan
-4.644996369212814898e+03 6.201743299652680435e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -4.169834371213931263e+03 -4.175849585500622197e+03 nan
-4.175849585500622197e+03 7.105197555270273142e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -4.144427289009298875e+03 -4.150445003295990318e+03 nan
-4.150445003295981223e+03 1.274289205973876449e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -3.795931937275388464e+03 -3.801952151562079962e+03 nan
-3.801952151562079962e+03 1.504105603843690062e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -3.675905011826006103e+03 -3.681927726112697655e+03 nan
-3.681927726112697655e+03 5.953021433333898926e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.605071140376569929e+03 -3.611096354663261081e+03 nan
-3.611096354663261081e+03 5.643979122071494459e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.371805281388035837e+03 -3.377832995674727044e+03 nan
-3.377832995674727044e+03 1.198404811630389020e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -3.335575515676825944e+03 -3.341605729963517206e+03 nan
