weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -3.942077662719927503e+03 1.233320394949592169e-01 6.573073774463762675e-02 7.849476556729717558e-01 9.213789475189738676e-01 8.884285117837311674e-01 4.025707943579074355e-01 -9.221844753613929191e-01 2.135831741362092018e+01
0.000000000000000000e+00 -3.779943731339275018e+03 1.060369293135729196e-01 5.515308424217530564e-02 7.944934190094081750e-01 9.076755637894903250e-01 9.470413063915729124e-01 6.405303439716747427e-01 -8.840383518663539331e-01 2.267660844217359539e+01
0.000000000000000000e+00 -3.182050568781140100e+03 1.309153809556639347e-01 6.508085448373718274e-02 7.756142988937628768e-01 1.010247592526126947e+00 6.700605954754786930e-01 5.703446530260326552e-01 -7.862493158069544519e-01 2.346802132397467489e+01
0.000000000000000000e+00 -3.042721783454370325e+03 1.769546013349547753e-01 6.985025203314206010e-02 5.270428934432456192e-01 8.067486497649809518e-01 7.781609688180596285e-01 5.795115572752563837e-01 -9.097141333234002314e-01 1.745455384964839141e+01
0.000000000000000000e+00 -2.672248546953851474e+03 1.071392378757006630e-01 5.600754599333971490e-02 8.633303446802698122e-01 1.034231834658821514e+00 6.371185160745252984e-01 7.935776504867761982e-01 -1.277993250786682911e+00 2.552645367869341797e+01
0.000000000000000000e+00 -2.333644830101330626e+03 4.864849212555344415e-01 3.626826078759295968e-02 8.575690694091968602e-01 1.049598305147235067e+00 7.481010172573770989e-01 2.021620794979495095e-01 -1.210035993518649988e+00 1.498110950184823409e+01
0.000000000000000000e+00 -1.991454705370401825e+03 1.172135279968839622e-01 6.480737330208646840e-02 6.701174148165645050e-01 1.022852093282682340e+00 7.421194293151140986e-01 2.407457023039967225e-01 -1.224518930967219088e+00 1.596121015835234580e+01
0.000000000000000000e+00 -1.660194083483682562e+03 1.688216719813467326e-01 4.489622776546443178e-02 6.218315364592840178e-01 9.653226465118702748e-01 7.451940857313481548e-01 5.084422759932506475e-01 -8.920747060643261506e-01 2.852180487803720510e+01
0.000000000000000000e+00 -1.438850602207015072e+03 4.543583665505113167e-01 5.545971677765338531e-02 8.743679119690281887e-01 1.181726234594654201e+00 6.470304832368836134e-01 9.906772263513288213e-01 -1.298772140812259224e+00 1.223836381019367536e+01
0.000000000000000000e+00 -1.354869817309077234e+03 1.666541061614854602e-01 3.867574206295031070e-02 5.788797763357651505e-01 9.605909911817284152e-01 9.863765263042006959e-01 4.038936322659190115e-01 -1.282351847136291356e+00 1.825655683732331269e+01
0.000000000000000000e+00 -1.334627633040408682e+03 1.972076042028005627e-01 6.690515927268955720e-02 7.083395582330243023e-01 9.150237372727068053e-01 6.807763969579223584e-01 6.944765231351542889e-01 -9.116621194707310583e-01 2.288656120151743067e+01
0.000000000000000000e+00 -1.314401857548704356e+03 1.554028298458172697e-01 3.099837549841979664e-02 6.238423669463886156e-01 8.398660816398458850e-01 7.164666302257196584e-01 5.397852281066710667e-01 -7.600615889970423478e-01 1.549987257080727154e+01
0.000000000000000000e+00 -1.311576658858393102e+03 1.170596136396676451e-01 3.677041206188447209e-02 6.097950703660512950e-01 1.006983599828014109e+00 6.116459226023448492e-01 5.419950760920976274e-01 -7.007165119979581469e-01 3.922998764657594961e+01
0.000000000000000000e+00 -1.269485961070427493e+03 4.153309159481493040e-01 6.502390713615310847e-02 7.658245360911981603e-01 1.147380792005490369e+00 7.248646295652326765e-01 3.152211860886343642e-01 -1.150150242422838254e+00 1.560498071201845605e+01
0.000000000000000000e+00 -1.112811383094581515e+03 2.224517545899639404e-01 6.988354170997132520e-02 7.449777142347969727e-01 8.413170184607798863e-01 7.367262834294996399e-01 9.727498844208920525e-01 -1.089920144588050199e+00 1.908822460318780756e+01
0.000000000000000000e+00 -1.077751753352274136e+03 1.288729259559006080e-01 4.340270710995084574e-02 6.767357446598325499e-01 1.114814492376064115e+00 8.533513516873032501e-01 1.546302918286556194e-01 -1.150583036730823627e+00 2.741908289551968636e+01
0.000000000000000000e+00 -1.048321381492868341e+03 1.596735568733872457e-01 3.751777153115593011e-02 8.334245997094209546e-01 8.356653059327466826e-01 9.390944653769455197e-01 7.173497008533118446e-01 -1.200314701551244312e+00 1.491145063014429617e+01
