17:51:30 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/1/dim2, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:00:27 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/1/dim2, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:00:27 [ultranest] [INFO] Sampling 400 live points from prior ...
18:00:30 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:00:30 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
18:00:30 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:00:30 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-3942.08, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-3188.05, remainder_fraction=100.0000%, Lmin=-3042.72, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-1317.54, remainder_fraction=100.0000%, Lmin=-1269.49, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=21, ncalls=422, regioncalls=880, ndraw=40, logz=-830.67, remainder_fraction=100.0000%, Lmin=-786.40, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=29, ncalls=431, regioncalls=1240, ndraw=40, logz=-626.73, remainder_fraction=100.0000%, Lmin=-615.82, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=38, ncalls=440, regioncalls=1600, ndraw=40, logz=-527.68, remainder_fraction=100.0000%, Lmin=-501.02, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=40, ncalls=442, regioncalls=1680, ndraw=40, logz=-497.39, remainder_fraction=100.0000%, Lmin=-484.64, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=50, ncalls=452, regioncalls=2080, ndraw=40, logz=-414.54, remainder_fraction=100.0000%, Lmin=-407.24, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=60, ncalls=462, regioncalls=2480, ndraw=40, logz=-330.36, remainder_fraction=100.0000%, Lmin=-323.72, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=69, ncalls=472, regioncalls=2880, ndraw=40, logz=-293.09, remainder_fraction=100.0000%, Lmin=-283.18, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=76, ncalls=483, regioncalls=3320, ndraw=40, logz=-238.83, remainder_fraction=100.0000%, Lmin=-231.05, Lmax=-2.91
18:00:31 [ultranest] [DEBUG] iteration=80, ncalls=487, regioncalls=3480, ndraw=40, logz=-234.42, remainder_fraction=100.0000%, Lmin=-226.20, Lmax=-2.91
18:00:32 [ultranest] [DEBUG] iteration=89, ncalls=497, regioncalls=3880, ndraw=40, logz=-210.24, remainder_fraction=100.0000%, Lmin=-204.14, Lmax=-2.91
18:00:32 [ultranest] [DEBUG] iteration=90, ncalls=499, regioncalls=3960, ndraw=40, logz=-209.61, remainder_fraction=100.0000%, Lmin=-203.41, Lmax=-2.91
18:00:32 [ultranest] [DEBUG] iteration=98, ncalls=510, regioncalls=4400, ndraw=40, logz=-197.76, remainder_fraction=100.0000%, Lmin=-190.52, Lmax=-2.91
18:00:32 [ultranest] [DEBUG] iteration=106, ncalls=521, regioncalls=4840, ndraw=40, logz=-185.11, remainder_fraction=100.0000%, Lmin=-179.67, Lmax=-2.91
18:00:32 [ultranest] [DEBUG] iteration=113, ncalls=531, regioncalls=5240, ndraw=40, logz=-171.47, remainder_fraction=100.0000%, Lmin=-165.20, Lmax=-2.91
18:00:32 [ultranest] [DEBUG] iteration=120, ncalls=543, regioncalls=5720, ndraw=40, logz=-163.98, remainder_fraction=100.0000%, Lmin=-155.88, Lmax=-2.91
18:00:32 [ultranest] [DEBUG] iteration=128, ncalls=553, regioncalls=6120, ndraw=40, logz=-150.06, remainder_fraction=100.0000%, Lmin=-141.15, Lmax=-2.91
18:00:32 [ultranest] [DEBUG] iteration=136, ncalls=563, regioncalls=6520, ndraw=40, logz=-139.33, remainder_fraction=100.0000%, Lmin=-128.85, Lmax=-2.91
18:00:32 [ultranest] [DEBUG] iteration=146, ncalls=573, regioncalls=6920, ndraw=40, logz=-122.05, remainder_fraction=100.0000%, Lmin=-116.05, Lmax=-2.91
18:00:33 [ultranest] [DEBUG] iteration=152, ncalls=585, regioncalls=7400, ndraw=40, logz=-119.20, remainder_fraction=100.0000%, Lmin=-112.90, Lmax=-2.91
18:00:33 [ultranest] [DEBUG] iteration=160, ncalls=597, regioncalls=7880, ndraw=40, logz=-112.92, remainder_fraction=100.0000%, Lmin=-106.66, Lmax=-2.90
18:00:33 [ultranest] [DEBUG] iteration=168, ncalls=607, regioncalls=8280, ndraw=40, logz=-107.12, remainder_fraction=100.0000%, Lmin=-100.48, Lmax=-2.90
18:00:33 [ultranest] [DEBUG] iteration=177, ncalls=617, regioncalls=8680, ndraw=40, logz=-99.24, remainder_fraction=100.0000%, Lmin=-93.65, Lmax=-2.90
18:00:33 [ultranest] [DEBUG] iteration=180, ncalls=621, regioncalls=8840, ndraw=40, logz=-98.26, remainder_fraction=100.0000%, Lmin=-93.01, Lmax=-2.90
18:00:33 [ultranest] [DEBUG] iteration=186, ncalls=631, regioncalls=9240, ndraw=40, logz=-96.80, remainder_fraction=100.0000%, Lmin=-91.16, Lmax=-2.90
18:00:33 [ultranest] [DEBUG] iteration=193, ncalls=641, regioncalls=9640, ndraw=40, logz=-94.10, remainder_fraction=100.0000%, Lmin=-89.01, Lmax=-2.90
18:00:33 [ultranest] [DEBUG] iteration=198, ncalls=652, regioncalls=10080, ndraw=40, logz=-92.96, remainder_fraction=100.0000%, Lmin=-87.11, Lmax=-2.90
18:00:33 [ultranest] [DEBUG] iteration=200, ncalls=657, regioncalls=10280, ndraw=40, logz=-91.88, remainder_fraction=100.0000%, Lmin=-85.13, Lmax=-2.90
18:00:33 [ultranest] [DEBUG] iteration=206, ncalls=667, regioncalls=10680, ndraw=40, logz=-87.18, remainder_fraction=100.0000%, Lmin=-81.52, Lmax=-2.90
18:00:34 [ultranest] [DEBUG] iteration=212, ncalls=677, regioncalls=11080, ndraw=40, logz=-85.63, remainder_fraction=100.0000%, Lmin=-80.27, Lmax=-1.97
18:00:34 [ultranest] [DEBUG] iteration=219, ncalls=690, regioncalls=11600, ndraw=40, logz=-82.87, remainder_fraction=100.0000%, Lmin=-77.66, Lmax=-1.97
18:00:34 [ultranest] [DEBUG] iteration=226, ncalls=700, regioncalls=12000, ndraw=40, logz=-81.53, remainder_fraction=100.0000%, Lmin=-76.57, Lmax=-1.97
18:00:34 [ultranest] [DEBUG] iteration=234, ncalls=710, regioncalls=12400, ndraw=40, logz=-79.04, remainder_fraction=100.0000%, Lmin=-73.95, Lmax=-1.97
18:00:34 [ultranest] [DEBUG] iteration=239, ncalls=724, regioncalls=12960, ndraw=40, logz=-78.07, remainder_fraction=100.0000%, Lmin=-72.93, Lmax=-1.97
18:00:34 [ultranest] [DEBUG] iteration=240, ncalls=725, regioncalls=13000, ndraw=40, logz=-77.86, remainder_fraction=100.0000%, Lmin=-72.89, Lmax=-1.97
18:00:34 [ultranest] [DEBUG] iteration=247, ncalls=739, regioncalls=13560, ndraw=40, logz=-75.63, remainder_fraction=100.0000%, Lmin=-70.28, Lmax=-1.97
