weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -1.881465979917946470e+03 1.280771009941651384e-01 5.568075771572331134e-02 6.487005957228850761e-01 8.256051090413512039e-01 7.651885439417033252e-01 7.338615240843417986e-01 -1.223905577311188431e+00 2.623866388820571416e+01
0.000000000000000000e+00 -1.613100134267867816e+03 1.119469614108106748e-01 5.206394617856249796e-02 8.413756368758095183e-01 8.072482611661601082e-01 8.796830159796205084e-01 8.775422154506163919e-01 -1.029664040814020520e+00 2.431139102380017647e+01
0.000000000000000000e+00 -1.542452106093034899e+03 1.012125109687131569e-01 5.658205487300541070e-02 6.391277268650342736e-01 1.180045876397249449e+00 8.532867555585332831e-01 4.785866867595449659e-01 -7.913978264993973832e-01 2.159976974812119010e+01
0.000000000000000000e+00 -1.490209905018099334e+03 1.663645258773683855e-01 4.644978278048156328e-02 6.378675797708800443e-01 8.251023641498305139e-01 8.252426861334644093e-01 5.824870931629128057e-01 -1.041351366453586280e+00 2.499716515849353016e+01
0.000000000000000000e+00 -1.433026900894118398e+03 2.062041578052326851e-01 6.003456380143295384e-02 5.989653933184988510e-01 8.634924237690961846e-01 8.502131464545974460e-01 7.085189871282516760e-01 -7.915938558732663610e-01 2.363369029258404197e+01
0.000000000000000000e+00 -1.387727803894586259e+03 1.467519333063826981e-01 5.560207966028236914e-02 8.440961170652245826e-01 8.216896047016402083e-01 8.778096241132939959e-01 8.700530517100072414e-01 -1.101877225998094900e+00 2.345627058128718545e+01
0.000000000000000000e+00 -1.385576665351230986e+03 1.108242889023038497e-01 6.993205960741628868e-02 8.157005316284786645e-01 1.117008078877700816e+00 8.882202749281065124e-01 4.168729999845165457e-01 -9.019135557907703715e-01 2.485825235391753196e+01
0.000000000000000000e+00 -1.295730195201481592e+03 1.462759329175977729e-01 4.098055649547618917e-02 5.920022239976975298e-01 8.863149446163438583e-01 8.653162813333208359e-01 5.228981867435795738e-01 -1.011531468611447604e+00 2.669267545167893729e+01
0.000000000000000000e+00 -1.235342042268092200e+03 1.898981377874404408e-01 6.281734736168688438e-02 7.497177632574110184e-01 8.265907303013044771e-01 8.660377032190997859e-01 5.455200334873311352e-01 -1.129671747851907826e+00 2.347204386198112758e+01
0.000000000000000000e+00 -1.206217395130187469e+03 1.431166650370136184e-01 6.443044837717289142e-02 8.327676364374507756e-01 8.388124500783172843e-01 9.166852690722657737e-01 1.753157689498380245e-01 -7.403120371130692545e-01 2.983573880991965410e+01
0.000000000000000000e+00 -1.156442536468772005e+03 1.579071997639957259e-01 6.774397730094550152e-02 7.721203352647059148e-01 1.043148979643323537e+00 7.345857675297217115e-01 7.578549412586548240e-01 -7.694470644276484306e-01 2.183915124778145156e+01
0.000000000000000000e+00 -1.080052256451950598e+03 1.178025831494822762e-01 6.465908340934925502e-02 7.650030914447483177e-01 8.413822220365019255e-01 6.139476691388190410e-01 4.894781336433295937e-01 -8.236599030635677332e-01 2.980409769726042413e+01
0.000000000000000000e+00 -1.068401286002206689e+03 1.892844507071867466e-01 5.566289411475733306e-02 6.721272653780560047e-01 8.202130465045084362e-01 6.970078897830113140e-01 2.715877354111758679e-01 -1.220803896152513168e+00 2.708500273472510500e+01
0.000000000000000000e+00 -1.063388330005388298e+03 1.019846746587661362e-01 6.696952954926742307e-02 5.388780018875225508e-01 8.046210446494140855e-01 7.091902857996069676e-01 9.975283931072830290e-01 -1.221908925492128706e+00 1.767341168334037960e+01
0.000000000000000000e+00 -1.061296598804679888e+03 1.273548502895083812e-01 6.653285366366493148e-02 5.156850693388073115e-01 1.172447847347337202e+00 6.939261998381560659e-01 8.597805766260238070e-01 -7.696349983790261584e-01 1.853644924744163447e+01
0.000000000000000000e+00 -1.005236188948482209e+03 1.994272953121095926e-01 5.517683199795925253e-02 6.957114466005379638e-01 8.404110564266448202e-01 8.681287589062608445e-01 7.742303092328843839e-01 -8.770045786468632087e-01 2.995597495619246686e+01
0.000000000000000000e+00 -9.985508047979667481e+02 1.619874708421429332e-01 6.921215232214114610e-02 7.527142492646419214e-01 1.151439503303552714e+00 9.355214148567329024e-01 4.753984909351710586e-01 -7.674201849800221797e-01 2.629480988015476939e+01
0.000000000000000000e+00 -9.835541925851638325e+02 2.186898811345816263e-01 4.068188620620896701e-02 5.630791637507727154e-01 8.730388108642207490e-01 8.545426299992149310e-01 9.312396983540011108e-01 -9.948911487240652551e-01 2.717861419016826119e+01
0.000000000000000000e+00 -9.740688139993332015e+02 2.303719196137233860e-01 4.546487526282758096e-02 7.483017968503669071e-01 9.077081370571474794e-01 9.266573399939874722e-01 5.855333457610448766e-01 -8.608622600061253127e-01 2.768272788839986021e+01
0.000000000000000000e+00 -9.673600892936311766e+02 1.667592396147132283e-01 4.768367042036200654e-02 6.069843957245460997e-01 9.345209951451212138e-01 6.568419962255224176e-01 4.677368826954649839e-01 -1.242542355601424786e+00 2.558947488244865909e+01
0.000000000000000000e+00 -9.640904446622552086e+02 1.069658329187209572e-01 5.282836091851225713e-02 7.439819606719502154e-01 1.116097560105648423e+00 8.143228566842528604e-01 7.900336797751523754e-01 -8.465092711786057489e-01 2.710692752217876844e+01
0.000000000000000000e+00 -9.526965931241609269e+02 1.131094528199359517e-01 5.115193523935177011e-02 6.823983271511299131e-01 1.022773626956849258e+00 8.162266482057487504e-01 1.101152305471170267e-01 -9.174988919235718132e-01 2.860134973832062499e+01
0.000000000000000000e+00 -9.494309568297391024e+02 1.884211646664005202e-01 5.588322091386951906e-02 6.952889938442311513e-01 1.179232799935439058e+00 8.451682057699341222e-01 7.568382864847275071e-01 -7.200080162230907410e-01 2.205961899355072120e+01
0.000000000000000000e+00 -9.306119283214223969e+02 1.640976969485654635e-01 4.847407595870967256e-02 5.783269344027406333e-01 1.116183611827338051e+00 7.280855997670652169e-01 6.818533684564157538e-01 -1.296204133108015855e+00 2.551193253256822757e+01
0.000000000000000000e+00 -9.285753500560546172e+02 1.566248234294014274e-01 6.734232244820259616e-02 6.474579925043953965e-01 1.022927472052083120e+00 6.533278621591925850e-01 1.682432803598649107e-01 -9.857920784679953252e-01 2.465394472190425290e+01
0.000000000000000000e+00 -8.600876692137542250e+02 1.124036300407297573e-01 3.210856846962325400e-02 5.872523626120861318e-01 9.626688482361747123e-01 6.754534427722314049e-01 5.092498798915376934e-01 -9.529011902064813411e-01 2.413792103447336501e+01
0.000000000000000000e+00 -8.457587501405514558e+02 2.702942946217680165e-01 5.967098031980461875e-02 8.037105173603404928e-01 8.960285594535599696e-01 8.055730762712596249e-01 5.352988727829071092e-01 -7.244162333287490485e-01 2.882204885550930840e+01
0.000000000000000000e+00 -8.335748044503529854e+02 2.712570245649824630e-01 6.810251098738059894e-02 8.692186111763992029e-01 8.120203072192583305e-01 7.599053731060225747e-01 8.785305329126629204e-01 -1.018122814635697093e+00 2.941051225732762475e+01
0.000000000000000000e+00 -7.887811684133336030e+02 1.271935501515270017e-01 4.556267641182867173e-02 8.373122054005928128e-01 9.785083680591615263e-01 7.999755864832381880e-01 1.344140041589827472e-01 -1.195148179493854990e+00 2.818682813084820538e+01
0.000000000000000000e+00 -7.871521043885197741e+02 1.766270384742266997e-01 5.005865687593342994e-02 8.178596791564869406e-01 8.990023270363480812e-01 7.577186370547090988e-01 1.652850613882022035e-01 -1.050645616408791172e+00 2.735280606926073688e+01
0.000000000000000000e+00 -7.753350175543454270e+02 2.490324151347281245e-01 5.952597986483740278e-02 6.026440762713177746e-01 1.105942981758682997e+00 9.499848550660149327e-01 5.332752189222773609e-01 -1.086654857675580788e+00 2.404739973592584334e+01
0.000000000000000000e+00 -7.699571678245363273e+02 3.442307404959722428e-01 5.430168737983132043e-02 5.437958638313511450e-01 8.241594843360747769e-01 9.668173820964832688e-01 8.802658048802184387e-01 -1.111940322615342813e+00 2.454477717599808884e+01
