weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -5.562626610533671919e+04 3.644423729029955261e-02 9.876484753487532187e-01 8.879174310837320006e-01 1.452863185464869922e-02 4.387107981814147850e-01 3.892337963901993936e-01 3.156708311952218793e-01 2.214214623067507492e-01
0.000000000000000000e+00 -3.527691671499658696e+04 1.033585582903778777e-01 6.612404779992772097e-01 4.027333707230379423e-01 8.348664403526071531e-01 5.983223524899815571e-01 4.839334724905941520e-01 3.615571680880581562e-01 2.205307675668358725e-01
0.000000000000000000e+00 -2.825061308412839935e+04 1.273050668426515264e-01 9.524542041536050441e-01 3.285859718102510652e-01 3.078454875324488915e-01 4.853606000624359762e-01 9.133620248313183421e-01 5.554240836510778712e-01 2.544364076141809594e-01
0.000000000000000000e+00 -2.525973922326988759e+04 6.561189904152930907e-02 8.687302727371691846e-01 4.386834761344974298e-01 9.455817677213851358e-01 1.633194473796829582e-01 4.089375157594470345e-01 1.175998833130139642e-01 2.441816010104453927e-01
0.000000000000000000e+00 -2.214267922630651810e+04 3.652622772701907827e-02 1.698827888024819766e-01 8.897087232506217802e-01 7.282010306623589724e-01 6.355422757126695243e-01 2.449101350142797173e-01 1.908017377940767201e-01 2.019284107690472174e-01
0.000000000000000000e+00 -2.110585098239338549e+04 1.470329797901509528e-01 6.336110932816159114e-01 8.143045199358545094e-02 9.217593363425002906e-02 4.596001486225870236e-01 2.669065444631302242e-03 3.130751554869326547e-02 2.029479183157912869e-01
0.000000000000000000e+00 -1.496221568610441682e+04 1.825439419550454190e-01 1.107034447523691512e-03 4.138413701077916507e-01 8.043941049261436049e-01 1.154885690073259585e-01 5.288603774973037464e-01 4.553666426723429472e-01 2.281914190547547072e-01
0.000000000000000000e+00 -1.432175435830074093e+04 7.824030608141541165e-02 2.555015624049680190e-01 4.251040772522474143e-02 3.430400634830913509e-01 6.137989415261447812e-01 7.881941682790573056e-01 3.302003051794943911e-01 1.695831587409407648e-01
0.000000000000000000e+00 -1.073094974386615286e+04 3.191417488327942253e-01 7.564963531763009286e-01 5.997627181210304359e-01 2.648826548531031388e-01 8.286746015206818416e-01 7.047498348269964907e-02 3.571208055455277197e-02 1.837025015619941914e-01
0.000000000000000000e+00 -1.037665212751862600e+04 3.092253241099612859e-01 8.171349588996522639e-01 4.001290399323592650e-01 5.113859907013489359e-01 6.491677570696651189e-01 7.262782327033701080e-02 1.052735446770747263e-02 2.306824119568718912e-01
0.000000000000000000e+00 -9.569853009986063626e+03 1.136884103976536498e-01 7.686431395025009605e-01 5.860666298059954427e-01 4.360210507019721682e-01 5.068325701823405138e-01 3.090751977538058748e-01 7.898521788791226239e-01 2.750237134263601169e-01
0.000000000000000000e+00 -9.387387497130472184e+03 1.128234189017465194e-01 3.237603235226943488e-01 3.095717570171916400e-01 2.926635592307378353e-01 7.144647964260731898e-01 2.710962894927900768e-01 2.120351957337799353e-01 2.650172988582818467e-01
0.000000000000000000e+00 -8.419154628064530698e+03 4.263812300449278947e-01 7.083151991637670619e-02 3.964683446933493505e-01 7.425155040155708708e-01 7.079436989934686508e-01 3.259794239064544019e-01 2.167482390053110386e-01 2.021753851012105807e-01
0.000000000000000000e+00 -7.693000556495946512e+03 5.961544515131412814e-01 7.315463950099021506e-01 4.781544242778291709e-01 4.975006471945947473e-01 6.387963040983392071e-01 9.724403448682282791e-01 8.366772851047595827e-01 2.041701554524392170e-01
0.000000000000000000e+00 -6.594374802562039804e+03 4.853434446576327943e-01 1.957680677010595893e-01 4.391268152395799707e-02 3.669249841206557727e-01 7.961656884077853435e-01 2.713410081061989887e-01 4.278352748884006740e-01 1.851160216863604324e-01
0.000000000000000000e+00 -6.224558150453247436e+03 5.801109903461176831e-01 9.323922204279941894e-01 6.576704387410878816e-01 9.401595816175789544e-02 6.730741314908453843e-01 4.719811339245577608e-01 3.117479066951911459e-01 1.867055281172783632e-01
0.000000000000000000e+00 -5.827166524809064867e+03 4.602361778785936108e-01 5.200106490214523314e-01 7.131316810717058807e-02 2.979002281354273807e-01 1.066628790142625238e-01 9.520754615697821777e-01 1.658420486249161385e-01 2.590182708255920341e-01
0.000000000000000000e+00 -5.797060775388154980e+03 1.523934830057632750e-01 1.194012775099997370e-01 6.382644543378485080e-01 3.811662444288395069e-01 7.553406562400544200e-01 7.614935263547855104e-01 2.619088345069905399e-01 1.671559404411812055e-01
0.000000000000000000e+00 -5.639255310009079949e+03 5.485399952183359629e-01 1.727627873797024094e-01 1.495679528371682832e-01 7.000842835263740849e-01 1.356783865529885835e-01 1.665845957254962206e-01 5.678775720817348382e-01 2.191866944253910710e-01
0.000000000000000000e+00 -5.416500344962571944e+03 4.967105599023735607e-01 1.691146915673693574e-01 3.561816187944187861e-01 3.241938320815278551e-01 3.520800111541511068e-01 8.881153488198966217e-01 6.766032458831869878e-01 2.364246319371305916e-01
0.000000000000000000e+00 -5.346951102667281702e+03 4.703047921452052638e-02 3.472627981550332477e-01 7.755198876005489073e-01 7.116514207893921418e-01 2.920897638706284605e-01 4.929056969513975206e-01 4.059029711258976825e-01 1.744907787259761811e-01
0.000000000000000000e+00 -5.122416838975483188e+03 5.319101688585825549e-01 1.969236505408467064e-01 8.789054697997606969e-01 6.079332150685694547e-01 5.070453226024336235e-01 8.265816225744961887e-01 1.767986305672295533e-01 2.083312936105907731e-01
0.000000000000000000e+00 -4.927695391917416600e+03 2.329974617354315658e-01 9.332936372243287870e-01 5.974817855286126411e-01 2.377418778893640727e-01 7.352597606512019102e-01 3.691571269256912480e-01 2.525660916771224063e-01 2.811447939302019750e-01
0.000000000000000000e+00 -4.409390832039908673e+03 4.256342131466490653e-01 7.279089893410988221e-01 3.498969718417704877e-01 2.517898368459690062e-01 3.791248252716848954e-01 3.086702124758714527e-01 1.476808168054039028e-01 2.699736016867798627e-01
0.000000000000000000e+00 -4.379363036916694909e+03 3.434224747579143200e-01 4.513023239379410079e-01 7.367938687023622979e-01 2.773608745679611021e-01 3.220106613209792190e-01 5.653638958029921779e-01 7.537880905429817924e-01 2.651588458053992792e-01
0.000000000000000000e+00 -4.221889766048643651e+03 6.102124144042933018e-01 5.651549882677484593e-01 9.095472460139244486e-01 9.344003914706393576e-01 7.969510764632911082e-01 7.354190311878846531e-01 7.869219593572542859e-01 1.817088582979384803e-01
0.000000000000000000e+00 -3.917506796663205478e+03 2.544526903045744026e-01 1.956945085366408321e-01 4.552968961488479405e-01 5.193214612425139931e-01 9.866776506954401116e-01 6.042295098676340181e-01 4.268469210566305794e-01 1.601552435427157084e-01
0.000000000000000000e+00 -3.874525102875754783e+03 1.851182814987533121e-01 9.239743731093682522e-01 4.900607224497754988e-01 3.755504722412520424e-01 3.968447724661022802e-01 1.639666232059888706e-01 4.326177188476907354e-01 3.014532658576212221e-01
0.000000000000000000e+00 -3.437268468915409812e+03 2.798627919008995768e-01 1.777789663935425146e-02 4.677618827267182589e-02 8.687985427628012181e-01 1.338368005973800123e-01 7.238287189770440389e-01 6.414890209371389984e-01 1.887342105305969131e-01
0.000000000000000000e+00 -3.369479717421072110e+03 3.264536714036427867e-01 8.126107381656384465e-01 6.673011019184784676e-01 1.359551957770166464e-02 8.508345410826956279e-02 9.232366845763206875e-02 8.909443139620176755e-01 1.893023286663294558e-01
0.000000000000000000e+00 -3.170589749718134954e+03 8.591201212989941771e-01 3.390105147199317104e-01 8.483218229911456687e-01 9.487549119526150765e-01 9.693416801157553886e-01 1.294890441461906683e-01 3.776557576692657348e-01 1.324630166845419676e-01
0.000000000000000000e+00 -2.931436204487372379e+03 5.989109508995776876e-01 8.073330195449690549e-01 5.013053348332723314e-01 1.578140746167713271e-01 3.161015621900143957e-01 1.020231371822011290e-01 2.921823271897845409e-01 2.440908932728166336e-01
0.000000000000000000e+00 -2.855668551687755553e+03 8.354234559537881966e-01 3.588687421929959154e-02 9.146083749767291993e-01 2.191645730948388326e-02 3.230960366848694143e-01 8.656660524555793712e-01 5.979496913810107284e-01 2.027557726566091567e-01
0.000000000000000000e+00 -2.838688797555807923e+03 3.148029933606034669e-01 9.247395063085757094e-01 4.106407749582607902e-02 2.094209999504220709e-01 7.977339793712678873e-02 3.373739377481377311e-01 2.605668881276211879e-01 1.681407520589143223e-01
0.000000000000000000e+00 -2.819562376236906402e+03 7.022731863434787947e-01 2.265288385523889225e-01 7.045334171712892557e-01 4.572161291372023317e-02 5.973089123724709681e-01 7.867504182665141510e-01 8.798408017135571635e-01 1.854060759682909509e-01
0.000000000000000000e+00 -2.697397484172238819e+03 8.447123686796425002e-01 5.738269506267850151e-01 7.158402805542481984e-01 8.890561458079870860e-03 4.525925577942268019e-01 4.072113726368953301e-03 5.772992764987883163e-02 1.996841278224570360e-01
0.000000000000000000e+00 -2.643084801393768885e+03 8.957883291109756119e-01 8.264701048527841598e-01 6.883520063906274356e-01 7.743065262134904980e-01 1.645590854035735573e-01 3.963742147333301213e-01 6.699774149078976393e-01 1.433539810386934565e-01
0.000000000000000000e+00 -2.629396741637806826e+03 8.860727785857469563e-02 7.946986805894667993e-01 1.980135061840170296e-01 6.910782046212116114e-01 6.577937548989187810e-02 5.160448610619216003e-01 9.086605236456128942e-01 3.463728153768876883e-01
0.000000000000000000e+00 -2.561582970996918903e+03 6.768594824643113794e-01 7.983792376452466533e-01 5.110655808202358985e-01 6.054897603710537313e-01 1.625018064470871160e-01 9.458610174977122309e-01 9.381030475183445017e-01 1.902543934041062146e-01
0.000000000000000000e+00 -2.532890335041069193e+03 9.137880388466930182e-01 3.211376458176155024e-01 2.932748910794265029e-01 7.968675331794776717e-01 1.875665905591762384e-01 7.209993537127271646e-01 2.947137147174676564e-01 1.953997414764876428e-01
0.000000000000000000e+00 -2.516900624482580497e+03 2.090136454755687767e-01 9.446075401092357549e-01 7.641990229326623973e-01 8.389694585393741022e-01 7.401439985815994049e-03 7.884503074246707044e-01 6.607544930474692491e-01 2.883261010389259749e-01
0.000000000000000000e+00 -2.478440767142581080e+03 6.799016266461651581e-01 3.100089689637586243e-01 7.109511229291691770e-01 5.882676139335447640e-01 1.281870628376181598e-01 2.124769339062471118e-05 6.310660175000437633e-02 1.881151349096216174e-01
0.000000000000000000e+00 -2.462298278197643867e+03 4.215360300647823522e-01 2.703553532886593391e-02 1.312576888005528852e-01 6.538633772541090350e-01 1.426404262311584681e-01 7.642076818087073509e-02 7.968824219240623341e-01 1.984709281754702959e-01
0.000000000000000000e+00 -2.374757559575102277e+03 4.910398081435827233e-01 5.842080838319554381e-01 5.699395619234645105e-01 8.137337543627297665e-01 2.158537322305092987e-01 6.959247747705482601e-01 9.053965681341347160e-01 2.415352274659121612e-01
0.000000000000000000e+00 -2.359783986202719461e+03 1.658352251258961019e-01 5.456766641148880215e-02 8.473218781814007006e-02 7.731588844333394661e-01 1.044130630354402900e-01 4.521760925499200834e-01 2.893821313547255691e-01 2.881715095510302138e-01
0.000000000000000000e+00 -2.265787362084249708e+03 6.784373817157773878e-02 5.462858590610253362e-01 1.482308031126345904e-01 1.193231409393102904e-01 5.037443878583621748e-01 7.046203596767736110e-01 8.884016000639454180e-01 1.194606085840529408e-01
