Om Ob h ns s8 Mnu w scale_factor
3.520700017709560425e-01 6.947832846853402300e-02 7.666580527803068534e-01 8.740796363633769328e-01 8.382613438838774078e-01 7.945289041701769639e-02 -1.047338100955754969e+00 1.486230174802480519e+01
3.353254504044118622e-01 3.471971844952802949e-02 5.435936681104376333e-01 1.009324392508889279e+00 8.421600305789960217e-01 1.884254868456214371e-02 -8.336077637977672428e-01 1.480156373609762888e+01
3.504797166088863269e-01 6.986824893570928174e-02 6.321326299099803148e-01 9.879370104185636325e-01 8.144489157560848014e-01 5.212294857628091416e-02 -7.751362587700648676e-01 1.473703729129646511e+01
3.910573347901543650e-01 4.103509069703626527e-02 5.746328229161939971e-01 9.230987518135376213e-01 8.506738957381867472e-01 4.271039479557763308e-01 -1.295388781498363562e+00 1.495562323768936608e+01
3.834917721773497545e-01 3.344799591524127980e-02 5.572880508928914622e-01 9.178260978244987545e-01 8.373368504479717922e-01 3.414287744100061861e-01 -1.090349249405833554e+00 1.474040167952933089e+01
3.112872050364544618e-01 5.675483584343142540e-02 7.309908323116423023e-01 9.719018152499876440e-01 8.130398165532093380e-01 2.133980309552256927e-01 -1.042045472074453860e+00 1.484775038828276195e+01
3.422423123971062298e-01 6.168019985781641318e-02 7.162562053826269093e-01 9.353646334361409576e-01 8.220353372421146387e-01 3.812090660964838063e-01 -1.076077756755394077e+00 1.471812848827874021e+01
4.637966846098861007e-01 4.679464530967050728e-02 5.885014032819864127e-01 8.174244242690885676e-01 8.888557380696828769e-01 6.234709161823794865e-01 -1.047575285265703648e+00 1.470985127022816030e+01
2.989733391594535661e-01 3.904146013230065659e-02 6.546021455225337071e-01 1.006332723742973112e+00 8.174977176764933740e-01 3.921581963423435013e-01 -1.035271440379496255e+00 1.484189013673296387e+01
3.902131984878696169e-01 5.583839504017731881e-02 5.794442191697637412e-01 9.840971808999435799e-01 7.997462045732566249e-01 8.813772614957420259e-01 -1.135843669277053936e+00 1.470487008139820162e+01
