logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.200000000000000000e+03 -8.730375371706965961e+04 -8.731084421054316044e+04 1.750000000000000000e+00
-8.731084421054316044e+04 nan -8.333333333333333868e-04 1.200000000000000000e+03 -5.798010227095616574e+04 -5.798719359776300553e+04 5.283333333333333215e-01
-5.798719359776300553e+04 1.269739369482846996e+04 -1.666666666666666774e-03 1.200000000000000000e+03 -5.624040221151743026e+04 -5.624749437165760173e+04 1.909999999999999920e+00
-5.624749437165760173e+04 8.203588320416974966e+02 -2.500000000000000052e-03 1.200000000000000000e+03 -5.262265453078855353e+04 -5.262974752426206396e+04 1.498333333333333295e+00
-5.262974752426206396e+04 2.006501559365113735e+03 -3.333333333333333547e-03 1.200000000000000000e+03 -5.135400022879007884e+04 -5.136109405559692095e+04 3.283333333333333104e-01
-5.136109405559692095e+04 2.044585381088726081e+03 -4.166666666666666609e-03 1.200000000000000000e+03 -4.922708922528989933e+04 -4.923418388543007313e+04 1.649999999999999911e+00
-4.923418388543007313e+04 7.929258870419275809e+02 -5.000000000000000104e-03 1.200000000000000000e+03 -4.853971434151117865e+04 -4.854680983498468413e+04 1.211666666666666670e+00
-4.854680983498468413e+04 1.040416493776397601e+03 -5.833333333333333599e-03 1.200000000000000000e+03 -4.610673097520932788e+04 -4.611382730201617233e+04 1.973333333333333384e+00
-4.611382730201617233e+04 6.728572151821084617e+02 -6.666666666666667095e-03 1.200000000000000000e+03 -4.422943692720198305e+04 -4.423653408734215918e+04 1.546666666666666634e+00
-4.423653408734215918e+04 1.324370867670487996e+03 -7.500000000000000590e-03 1.200000000000000000e+03 -4.294730054263603233e+04 -4.295439853610954015e+04 1.093333333333333268e+00
-4.295439853610954015e+04 9.370029365119241902e+02 -8.333333333333333218e-03 1.200000000000000000e+03 -4.180379198175862257e+04 -4.181089080856546207e+04 1.853333333333333277e+00
-4.181089080856546207e+04 9.194563882356876547e+02 -9.166666666666666713e-03 1.200000000000000000e+03 -3.907472985529967991e+04 -3.908182951543985109e+04 8.699999999999999956e-01
-3.908182951543985109e+04 1.635179564900947526e+03 -1.000000000000000021e-02 1.200000000000000000e+03 -3.731594471876382886e+04 -3.732304521223733900e+04 7.433333333333332904e-01
-3.732304521223733900e+04 1.649017485155531858e+03 -1.083333333333333370e-02 1.200000000000000000e+03 -3.610569123160833260e+04 -3.611279255841517443e+04 1.341666666666666563e+00
-3.611279255841517443e+04 1.745222722970709810e+03 -1.166666666666666720e-02 1.200000000000000000e+03 -3.567216701968837879e+04 -3.567926917982855230e+04 1.040000000000000036e+00
-3.567926917982855230e+04 1.195702291131002113e+02 -1.250000000000000069e-02 1.200000000000000000e+03 -3.219609642747583348e+04 -3.220319942094934231e+04 2.999999999999999889e-01
-3.220319942094934231e+04 1.638624376201886662e+03 -1.333333333333333419e-02 1.200000000000000000e+03 -3.122552850897705866e+04 -3.123263233578389918e+04 1.701666666666666661e+00
-3.123263233578389918e+04 1.897680979717541732e+03 -1.416666666666666768e-02 1.200000000000000000e+03 -3.107533319691058205e+04 -3.108243785705075788e+04 1.270000000000000018e+00
-3.108243785705075788e+04 1.253844813949504896e+03 -1.500000000000000118e-02 1.200000000000000000e+03 -3.049462229696846407e+04 -3.050172779044197159e+04 4.583333333333333148e-01
-3.050172779044197159e+04 2.457999577392785113e+02 -1.583333333333333467e-02 1.200000000000000000e+03 -3.019044641593181586e+04 -3.019755274273865507e+04 4.166666666666666435e-02
-3.019755274273865507e+04 2.904524964646220724e+02 -1.666666666666666644e-02 1.200000000000000000e+03 -2.957316040390089984e+04 -2.958026756404107437e+04 1.280000000000000027e+00
-2.958026756404107437e+04 4.635479922926494396e+02 -1.749999999999999820e-02 1.200000000000000000e+03 -2.828149039401390110e+04 -2.828859838748740731e+04 6.433333333333333126e-01
-2.828859838748740731e+04 1.008441189006148875e+03 -1.833333333333332996e-02 1.200000000000000000e+03 -2.816471964797118198e+04 -2.817182847477802352e+04 1.353333333333333277e+00
-2.817182847477802352e+04 6.449954952891185940e+02 -1.916666666666666172e-02 1.200000000000000000e+03 -2.712731950512246112e+04 -2.713442916526263434e+04 1.760000000000000009e+00
-2.713442916526263434e+04 2.867659157543528750e+02 -1.999999999999999348e-02 1.200000000000000000e+03 -2.690976434015905761e+04 -2.691687483363256615e+04 1.163333333333333330e+00
-2.691687483363256615e+04 5.970911468884757056e+01 -2.083333333333332524e-02 1.200000000000000000e+03 -2.663821745121087588e+04 -2.664532877801771610e+04 9.133333333333333304e-01
-2.664532877801771610e+04 1.625445510490658023e+02 -2.166666666666665700e-02 1.200000000000000000e+03 -2.639000655359289522e+04 -2.639711871373307076e+04 1.853333333333333277e+00
-2.639711871373307076e+04 1.640804712839062631e+02 -2.249999999999998876e-02 1.200000000000000000e+03 -2.626474851007620236e+04 -2.627186150354970960e+04 1.840000000000000080e+00
