11:56:53 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/141/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:56:55 [ultranest] [DEBUG] Testing resume consistency: [-6.87584546 -6.84772714  0.          0.26330145  0.76427563  0.96471199
  0.50674908  0.57449124  0.3954066   0.20542783  0.15025757  0.20532058
  0.06057103  0.8858848   1.00269963  0.82979649  0.3954066  -1.1767433
 15.02575684]: u=[0.26330145 0.76427563 0.96471199 0.50674908 0.57449124 0.3954066
 0.20542783 0.15025757] -> p=[ 0.20532058  0.06057103  0.8858848   1.00269963  0.82979649  0.3954066
 -1.1767433  15.02575684] -> L=-6.847727144143935 
11:56:55 [ultranest] [INFO] Resuming from 29524 stored points
11:56:55 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
11:56:55 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
11:56:55 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
11:56:56 [ultranest] [DEBUG] iteration=0, ncalls=1177076, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-55373.13, Lmax=-37.27
11:56:56 [ultranest] [DEBUG] iteration=35, ncalls=1177076, regioncalls=0, ndraw=40, logz=-22605.50, remainder_fraction=100.0000%, Lmin=-22382.20, Lmax=-37.27
11:56:56 [ultranest] [DEBUG] iteration=70, ncalls=1177076, regioncalls=0, ndraw=40, logz=-16909.69, remainder_fraction=100.0000%, Lmin=-16611.05, Lmax=-37.27
11:56:56 [ultranest] [DEBUG] iteration=113, ncalls=1177076, regioncalls=0, ndraw=40, logz=-11002.33, remainder_fraction=100.0000%, Lmin=-10965.28, Lmax=-37.27
11:56:56 [ultranest] [DEBUG] iteration=160, ncalls=1177076, regioncalls=0, ndraw=40, logz=-8710.53, remainder_fraction=100.0000%, Lmin=-8683.11, Lmax=-37.27
11:56:56 [ultranest] [DEBUG] iteration=208, ncalls=1177076, regioncalls=0, ndraw=40, logz=-6472.82, remainder_fraction=100.0000%, Lmin=-6429.04, Lmax=-37.27
11:56:56 [ultranest] [DEBUG] iteration=255, ncalls=1177076, regioncalls=0, ndraw=40, logz=-4878.99, remainder_fraction=100.0000%, Lmin=-4785.99, Lmax=-37.27
11:56:56 [ultranest] [DEBUG] iteration=302, ncalls=1177076, regioncalls=0, ndraw=40, logz=-3551.92, remainder_fraction=100.0000%, Lmin=-3540.32, Lmax=-37.27
11:56:56 [ultranest] [DEBUG] iteration=320, ncalls=1177076, regioncalls=0, ndraw=40, logz=-3249.48, remainder_fraction=100.0000%, Lmin=-3234.16, Lmax=-37.27
11:56:57 [ultranest] [DEBUG] iteration=358, ncalls=1177076, regioncalls=0, ndraw=40, logz=-2847.03, remainder_fraction=100.0000%, Lmin=-2835.04, Lmax=-37.27
11:56:57 [ultranest] [DEBUG] iteration=385, ncalls=1177076, regioncalls=0, ndraw=40, logz=-2553.53, remainder_fraction=100.0000%, Lmin=-2542.68, Lmax=-37.27
11:56:57 [ultranest] [DEBUG] iteration=420, ncalls=1177076, regioncalls=0, ndraw=40, logz=-2405.86, remainder_fraction=100.0000%, Lmin=-2392.31, Lmax=-37.27
11:56:57 [ultranest] [DEBUG] iteration=468, ncalls=1177076, regioncalls=0, ndraw=40, logz=-2031.67, remainder_fraction=100.0000%, Lmin=-2023.01, Lmax=-37.27
11:56:57 [ultranest] [DEBUG] iteration=480, ncalls=1177076, regioncalls=0, ndraw=40, logz=-1993.84, remainder_fraction=100.0000%, Lmin=-1982.37, Lmax=-37.27
11:56:57 [ultranest] [DEBUG] iteration=528, ncalls=1177076, regioncalls=0, ndraw=40, logz=-1790.29, remainder_fraction=100.0000%, Lmin=-1764.85, Lmax=-37.27
11:56:57 [ultranest] [DEBUG] iteration=577, ncalls=1177076, regioncalls=0, ndraw=40, logz=-1564.98, remainder_fraction=100.0000%, Lmin=-1555.00, Lmax=-16.72
