11:56:53 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/151/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:56:55 [ultranest] [DEBUG] Testing resume consistency: [-9.01209275 -8.82292398  0.          0.27119205  0.79150599  0.42930792
  0.36604461  0.17366782  0.07243452  0.44380461  0.18021407  0.20847682
  0.06166024  0.67172317  0.94641784  0.66946713  0.07243452 -1.03371724
 18.02140682]: u=[0.27119205 0.79150599 0.42930792 0.36604461 0.17366782 0.07243452
 0.44380461 0.18021407] -> p=[ 0.20847682  0.06166024  0.67172317  0.94641784  0.66946713  0.07243452
 -1.03371724 18.02140682] -> L=-8.82292397611972 
11:56:55 [ultranest] [INFO] Resuming from 29882 stored points
11:56:55 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
11:56:55 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
11:56:55 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
11:56:56 [ultranest] [DEBUG] iteration=0, ncalls=774527, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-42409.74, Lmax=-79.68
11:56:56 [ultranest] [DEBUG] iteration=37, ncalls=774527, regioncalls=0, ndraw=40, logz=-18268.17, remainder_fraction=100.0000%, Lmin=-17996.83, Lmax=-79.68
11:56:56 [ultranest] [DEBUG] iteration=74, ncalls=774527, regioncalls=0, ndraw=40, logz=-11296.98, remainder_fraction=100.0000%, Lmin=-11145.86, Lmax=-79.68
11:56:56 [ultranest] [DEBUG] iteration=111, ncalls=774527, regioncalls=0, ndraw=40, logz=-9176.58, remainder_fraction=100.0000%, Lmin=-9131.30, Lmax=-79.68
11:56:56 [ultranest] [DEBUG] iteration=149, ncalls=774527, regioncalls=0, ndraw=40, logz=-7739.96, remainder_fraction=100.0000%, Lmin=-7723.66, Lmax=-79.68
11:56:56 [ultranest] [DEBUG] iteration=160, ncalls=774527, regioncalls=0, ndraw=40, logz=-7324.48, remainder_fraction=100.0000%, Lmin=-7301.94, Lmax=-79.68
11:56:56 [ultranest] [DEBUG] iteration=210, ncalls=774527, regioncalls=0, ndraw=40, logz=-5964.76, remainder_fraction=100.0000%, Lmin=-5943.04, Lmax=-79.68
11:56:56 [ultranest] [DEBUG] iteration=259, ncalls=774527, regioncalls=0, ndraw=40, logz=-5214.25, remainder_fraction=100.0000%, Lmin=-5200.92, Lmax=-79.68
11:56:56 [ultranest] [DEBUG] iteration=309, ncalls=774527, regioncalls=0, ndraw=40, logz=-4747.26, remainder_fraction=100.0000%, Lmin=-4732.54, Lmax=-79.68
11:56:56 [ultranest] [DEBUG] iteration=320, ncalls=774527, regioncalls=0, ndraw=40, logz=-4646.14, remainder_fraction=100.0000%, Lmin=-4633.01, Lmax=-79.68
11:56:57 [ultranest] [DEBUG] iteration=358, ncalls=774527, regioncalls=0, ndraw=40, logz=-4245.20, remainder_fraction=100.0000%, Lmin=-4237.29, Lmax=-79.68
11:56:57 [ultranest] [DEBUG] iteration=408, ncalls=774527, regioncalls=0, ndraw=40, logz=-3818.85, remainder_fraction=100.0000%, Lmin=-3808.69, Lmax=-79.68
11:56:57 [ultranest] [DEBUG] iteration=448, ncalls=774527, regioncalls=0, ndraw=40, logz=-3458.50, remainder_fraction=100.0000%, Lmin=-3443.66, Lmax=-79.68
11:56:57 [ultranest] [DEBUG] iteration=480, ncalls=774527, regioncalls=0, ndraw=40, logz=-3347.68, remainder_fraction=100.0000%, Lmin=-3339.12, Lmax=-79.68
11:56:57 [ultranest] [DEBUG] iteration=513, ncalls=774527, regioncalls=0, ndraw=40, logz=-3147.49, remainder_fraction=100.0000%, Lmin=-3138.99, Lmax=-79.68
