11:56:53 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/154/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:56:55 [ultranest] [DEBUG] Testing resume consistency: [-9.91515386e+01 -5.78983085e+01  0.00000000e+00  5.21341173e-01
  6.06881417e-02  9.95320764e-02  7.33313887e-01  7.06494549e-01
  8.86786328e-01  6.04832442e-01  1.45855474e-01  3.08536469e-01
  3.24275257e-02  5.39812831e-01  1.09332555e+00  8.82597820e-01
  8.86786328e-01 -9.37100535e-01  1.45855474e+01]: u=[0.52134117 0.06068814 0.09953208 0.73331389 0.70649455 0.88678633
 0.60483244 0.14585547] -> p=[ 0.30853647  0.03242753  0.53981283  1.09332555  0.88259782  0.88678633
 -0.93710053 14.58554743] -> L=-57.898308539623926 
11:56:55 [ultranest] [INFO] Resuming from 11266 stored points
11:56:55 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
11:56:55 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
11:56:55 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
11:56:56 [ultranest] [DEBUG] iteration=0, ncalls=226873, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-56616.50, Lmax=-97.97
11:56:56 [ultranest] [DEBUG] iteration=38, ncalls=226873, regioncalls=0, ndraw=40, logz=-24634.96, remainder_fraction=100.0000%, Lmin=-23994.97, Lmax=-97.97
11:56:56 [ultranest] [DEBUG] iteration=76, ncalls=226873, regioncalls=0, ndraw=40, logz=-18194.79, remainder_fraction=100.0000%, Lmin=-17931.31, Lmax=-97.97
11:56:56 [ultranest] [DEBUG] iteration=113, ncalls=226873, regioncalls=0, ndraw=40, logz=-13769.78, remainder_fraction=100.0000%, Lmin=-13706.26, Lmax=-97.97
11:56:56 [ultranest] [DEBUG] iteration=160, ncalls=226873, regioncalls=0, ndraw=40, logz=-9728.13, remainder_fraction=100.0000%, Lmin=-9690.12, Lmax=-97.97
11:56:56 [ultranest] [DEBUG] iteration=210, ncalls=226873, regioncalls=0, ndraw=40, logz=-7254.54, remainder_fraction=100.0000%, Lmin=-7242.22, Lmax=-97.97
11:56:56 [ultranest] [DEBUG] iteration=261, ncalls=226873, regioncalls=0, ndraw=40, logz=-4998.81, remainder_fraction=100.0000%, Lmin=-4963.83, Lmax=-97.97
11:56:56 [ultranest] [DEBUG] iteration=312, ncalls=226873, regioncalls=0, ndraw=40, logz=-3645.92, remainder_fraction=100.0000%, Lmin=-3552.20, Lmax=-97.02
11:56:56 [ultranest] [DEBUG] iteration=320, ncalls=226873, regioncalls=0, ndraw=40, logz=-3450.77, remainder_fraction=100.0000%, Lmin=-3368.80, Lmax=-97.02
11:56:57 [ultranest] [DEBUG] iteration=358, ncalls=226873, regioncalls=0, ndraw=40, logz=-2599.05, remainder_fraction=100.0000%, Lmin=-2579.76, Lmax=-97.02
11:56:57 [ultranest] [DEBUG] iteration=407, ncalls=226873, regioncalls=0, ndraw=40, logz=-2066.39, remainder_fraction=100.0000%, Lmin=-2019.33, Lmax=-97.02
11:56:57 [ultranest] [DEBUG] iteration=441, ncalls=226873, regioncalls=0, ndraw=40, logz=-1788.91, remainder_fraction=100.0000%, Lmin=-1778.29, Lmax=-97.02
11:56:57 [ultranest] [DEBUG] iteration=475, ncalls=226873, regioncalls=0, ndraw=40, logz=-1644.14, remainder_fraction=100.0000%, Lmin=-1635.73, Lmax=-97.02
11:56:57 [ultranest] [DEBUG] iteration=480, ncalls=226873, regioncalls=0, ndraw=40, logz=-1626.36, remainder_fraction=100.0000%, Lmin=-1617.22, Lmax=-97.02
11:56:57 [ultranest] [DEBUG] iteration=523, ncalls=226873, regioncalls=0, ndraw=40, logz=-1405.31, remainder_fraction=100.0000%, Lmin=-1395.91, Lmax=-97.02
11:56:57 [ultranest] [DEBUG] iteration=572, ncalls=226873, regioncalls=0, ndraw=40, logz=-1217.02, remainder_fraction=100.0000%, Lmin=-1208.26, Lmax=-97.02
11:56:57 [ultranest] [DEBUG] iteration=621, ncalls=226873, regioncalls=0, ndraw=40, logz=-991.40, remainder_fraction=100.0000%, Lmin=-984.23, Lmax=-97.02
11:56:57 [ultranest] [DEBUG] iteration=640, ncalls=226873, regioncalls=0, ndraw=40, logz=-922.89, remainder_fraction=100.0000%, Lmin=-912.23, Lmax=-97.02
11:56:57 [ultranest] [DEBUG] iteration=682, ncalls=226873, regioncalls=0, ndraw=40, logz=-791.93, remainder_fraction=100.0000%, Lmin=-782.68, Lmax=-97.02
11:56:58 [ultranest] [DEBUG] iteration=716, ncalls=226873, regioncalls=0, ndraw=40, logz=-658.72, remainder_fraction=100.0000%, Lmin=-651.21, Lmax=-97.02
11:56:58 [ultranest] [DEBUG] iteration=760, ncalls=226873, regioncalls=0, ndraw=40, logz=-522.11, remainder_fraction=100.0000%, Lmin=-514.69, Lmax=-97.02
11:56:58 [ultranest] [DEBUG] iteration=796, ncalls=226873, regioncalls=0, ndraw=40, logz=-443.21, remainder_fraction=100.0000%, Lmin=-430.28, Lmax=-97.02
11:56:58 [ultranest] [DEBUG] iteration=800, ncalls=226873, regioncalls=0, ndraw=40, logz=-430.54, remainder_fraction=100.0000%, Lmin=-419.72, Lmax=-97.02
