logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.600000000000000000e+03 -7.613693662797963771e+04 -7.614431469937159272e+04 1.933750000000000080e+00
-7.614431469937159272e+04 nan -6.250000000000000130e-04 1.600000000000000000e+03 -7.261647913552577666e+04 -7.262385783191773226e+04 8.399999999999999689e-01
-7.262385783191773226e+04 nan -1.250000000000000026e-03 1.600000000000000000e+03 -7.122318051066364569e+04 -7.123055983205560187e+04 5.787499999999999867e-01
-7.123055983205560187e+04 3.850715199529628308e+02 -1.874999999999999931e-03 1.600000000000000000e+03 -6.177726374373170256e+04 -6.178464369012365205e+04 8.912499999999999867e-01
-6.178464369012365205e+04 4.723008582240614487e+03 -2.500000000000000052e-03 1.600000000000000000e+03 -5.955207672246221773e+04 -5.955945729385416780e+04 9.625000000000000222e-02
-5.955945729385416780e+04 4.262228448548336019e+03 -3.125000000000000173e-03 1.600000000000000000e+03 -5.918553876703987771e+04 -5.919291996343182836e+04 1.858749999999999902e+00
-5.919291996343182836e+04 3.275450027456237422e+03 -3.750000000000000295e-03 1.600000000000000000e+03 -5.758319331847752619e+04 -5.759057513986947743e+04 1.801250000000000018e+00
-5.759057513986947743e+04 1.278199768524611500e+03 -4.375000000000000416e-03 1.600000000000000000e+03 -5.496832311436835153e+04 -5.497570556076030334e+04 9.362500000000000266e-01
-5.497570556076030334e+04 1.928042845830739452e+03 -5.000000000000000104e-03 1.600000000000000000e+03 -5.407019448156619910e+04 -5.407757755295815150e+04 1.232499999999999929e+00
-5.407757755295815150e+04 2.112399665110598107e+03 -5.624999999999999792e-03 1.600000000000000000e+03 -5.078458821936002641e+04 -5.079197191575197940e+04 8.499999999999999778e-01
-5.079197191575197940e+04 1.566962810785862075e+03 -6.249999999999999480e-03 1.600000000000000000e+03 -4.831701848084522499e+04 -4.832440280223717855e+04 1.617499999999999938e+00
-4.832440280223717855e+04 1.758085417326890820e+03 -6.874999999999999167e-03 1.600000000000000000e+03 -4.755717496531415964e+04 -4.756455991170611378e+04 4.487499999999999822e-01
-4.756455991170611378e+04 1.882152350424402357e+03 -7.499999999999998855e-03 1.600000000000000000e+03 -4.744799583277797501e+04 -4.745538140416992974e+04 1.247500000000000053e+00
-4.745538140416992974e+04 9.277553345045680544e+02 -8.124999999999998543e-03 1.600000000000000000e+03 -4.549179856138814648e+04 -4.549918475778010179e+04 7.862500000000000044e-01
-4.549918475778010179e+04 8.472428575145668219e+02 -8.749999999999999098e-03 1.600000000000000000e+03 -4.516621607264614431e+04 -4.517360289403809293e+04 1.073749999999999982e+00
-4.517360289403809293e+04 8.033074020632902830e+02 -9.374999999999999653e-03 1.600000000000000000e+03 -4.511118935013407463e+04 -4.511857679652602383e+04 1.533749999999999947e+00
-4.511857679652602383e+04 8.329559483691975856e+02 -1.000000000000000021e-02 1.600000000000000000e+03 -4.450318612349375326e+04 -4.451057419488570304e+04 1.047500000000000098e+00
-4.451057419488570304e+04 3.951416753808379667e+02 -1.062500000000000076e-02 1.600000000000000000e+03 -4.380154341902678425e+04 -4.380893211541873461e+04 4.612499999999999933e-01
-4.380893211541873461e+04 5.149190091856067966e+02 -1.125000000000000132e-02 1.600000000000000000e+03 -4.344558597818842827e+04 -4.345297529958037921e+04 1.212499999999999911e+00
-4.345297529958037921e+04 2.995946153204692450e+02 -1.187500000000000187e-02 1.600000000000000000e+03 -4.336380967307846731e+04 -4.337119961947041884e+04 3.749999999999999861e-03
-4.337119961947041884e+04 3.069304533659878231e+01 -1.250000000000000243e-02 1.600000000000000000e+03 -4.230140511043249717e+04 -4.230879568182444928e+04 6.962500000000000355e-01
-4.230879568182444928e+04 5.298846095446506297e+02 -1.312500000000000298e-02 1.600000000000000000e+03 -4.210430433453769365e+04 -4.211169553092964634e+04 1.604999999999999982e+00
-4.211169553092964634e+04 5.229341658731162852e+02 -1.375000000000000354e-02 1.600000000000000000e+03 -4.121232896969202557e+04 -4.121972079108397884e+04 1.486250000000000071e+00
-4.121972079108397884e+04 6.644978885933650190e+02 -1.437500000000000409e-02 1.600000000000000000e+03 -4.119624093301147514e+04 -4.120363337940342899e+04 7.437500000000000222e-01
-4.120363337930031412e+04 3.757449578457601547e+02 -1.500000000000000465e-02 1.600000000000000000e+03 -4.105981083970932377e+04 -4.106720391110127821e+04 1.187500000000000000e+00
-4.106720391110127821e+04 2.881626679441938563e+02 -1.562500000000000347e-02 1.600000000000000000e+03 -4.010963654543425218e+04 -4.011703024182620720e+04 1.962499999999999911e+00
-4.011703024182620720e+04 6.287060432832386141e+02 -1.625000000000000402e-02 1.600000000000000000e+03 -4.005759987991645175e+04 -4.006499420130840008e+04 1.179999999999999938e+00
-4.006499420130840008e+04 2.257216832594474454e+01 -1.687500000000000458e-02 1.600000000000000000e+03 -3.983089349847145786e+04 -3.983828844486340677e+04 1.662500000000000089e-01
-3.983828844486340677e+04 1.181759548131688575e+02 -1.750000000000000513e-02 1.600000000000000000e+03 -3.965763648793519678e+04 -3.966503205932714627e+04 4.662499999999999978e-01
