11:56:53 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/157/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:56:55 [ultranest] [DEBUG] Testing resume consistency: [-17.55750559 -16.69506201   0.           0.43134713   0.49580394
   0.21872651   0.20841526   0.0742897    0.59640308   0.09826923
   0.19320831   0.27253885   0.04983216   0.58749061   0.8833661
   0.62971588   0.59640308  -1.24103846  19.32083117]: u=[0.43134713 0.49580394 0.21872651 0.20841526 0.0742897  0.59640308
 0.09826923 0.19320831] -> p=[ 0.27253885  0.04983216  0.58749061  0.8833661   0.62971588  0.59640308
 -1.24103846 19.32083117] -> L=-16.69506200978217 
11:56:55 [ultranest] [INFO] Resuming from 26302 stored points
11:56:55 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
11:56:55 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
11:56:55 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
11:56:56 [ultranest] [DEBUG] iteration=0, ncalls=564680, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-33847.37, Lmax=-116.83
11:56:56 [ultranest] [DEBUG] iteration=26, ncalls=564680, regioncalls=0, ndraw=40, logz=-19826.87, remainder_fraction=100.0000%, Lmin=-19713.40, Lmax=-116.83
11:56:56 [ultranest] [DEBUG] iteration=53, ncalls=564680, regioncalls=0, ndraw=40, logz=-15743.51, remainder_fraction=100.0000%, Lmin=-15713.67, Lmax=-116.83
11:56:56 [ultranest] [DEBUG] iteration=87, ncalls=564680, regioncalls=0, ndraw=40, logz=-12295.74, remainder_fraction=100.0000%, Lmin=-12249.93, Lmax=-116.83
11:56:56 [ultranest] [DEBUG] iteration=134, ncalls=564680, regioncalls=0, ndraw=40, logz=-9074.43, remainder_fraction=100.0000%, Lmin=-9015.60, Lmax=-116.83
11:56:56 [ultranest] [DEBUG] iteration=160, ncalls=564680, regioncalls=0, ndraw=40, logz=-7792.07, remainder_fraction=100.0000%, Lmin=-7750.04, Lmax=-116.83
11:56:56 [ultranest] [DEBUG] iteration=206, ncalls=564680, regioncalls=0, ndraw=40, logz=-6160.03, remainder_fraction=100.0000%, Lmin=-6129.00, Lmax=-116.83
11:56:56 [ultranest] [DEBUG] iteration=247, ncalls=564680, regioncalls=0, ndraw=40, logz=-5552.53, remainder_fraction=100.0000%, Lmin=-5542.48, Lmax=-116.83
11:56:56 [ultranest] [DEBUG] iteration=280, ncalls=564680, regioncalls=0, ndraw=40, logz=-5214.81, remainder_fraction=100.0000%, Lmin=-5196.52, Lmax=-116.83
11:56:57 [ultranest] [DEBUG] iteration=311, ncalls=564680, regioncalls=0, ndraw=40, logz=-4868.25, remainder_fraction=100.0000%, Lmin=-4859.91, Lmax=-116.83
11:56:57 [ultranest] [DEBUG] iteration=320, ncalls=564680, regioncalls=0, ndraw=40, logz=-4788.08, remainder_fraction=100.0000%, Lmin=-4775.44, Lmax=-116.83
11:56:57 [ultranest] [DEBUG] iteration=358, ncalls=564680, regioncalls=0, ndraw=40, logz=-4345.21, remainder_fraction=100.0000%, Lmin=-4325.36, Lmax=-116.83
11:56:57 [ultranest] [DEBUG] iteration=405, ncalls=564680, regioncalls=0, ndraw=40, logz=-3906.62, remainder_fraction=100.0000%, Lmin=-3896.80, Lmax=-116.83
11:56:57 [ultranest] [DEBUG] iteration=453, ncalls=564680, regioncalls=0, ndraw=40, logz=-3616.89, remainder_fraction=100.0000%, Lmin=-3602.65, Lmax=-116.83
11:56:57 [ultranest] [DEBUG] iteration=480, ncalls=564680, regioncalls=0, ndraw=40, logz=-3392.52, remainder_fraction=100.0000%, Lmin=-3380.29, Lmax=-116.83
11:56:57 [ultranest] [DEBUG] iteration=528, ncalls=564680, regioncalls=0, ndraw=40, logz=-3102.17, remainder_fraction=100.0000%, Lmin=-3093.88, Lmax=-65.43
11:56:57 [ultranest] [DEBUG] iteration=576, ncalls=564680, regioncalls=0, ndraw=40, logz=-2816.69, remainder_fraction=100.0000%, Lmin=-2799.38, Lmax=-65.43
11:56:57 [ultranest] [DEBUG] iteration=609, ncalls=564680, regioncalls=0, ndraw=40, logz=-2632.43, remainder_fraction=100.0000%, Lmin=-2621.02, Lmax=-65.43
11:56:57 [ultranest] [DEBUG] iteration=640, ncalls=564680, regioncalls=0, ndraw=40, logz=-2398.05, remainder_fraction=100.0000%, Lmin=-2389.81, Lmax=-65.43
11:56:58 [ultranest] [DEBUG] iteration=674, ncalls=564680, regioncalls=0, ndraw=40, logz=-2154.63, remainder_fraction=100.0000%, Lmin=-2144.40, Lmax=-65.43
11:56:58 [ultranest] [DEBUG] iteration=713, ncalls=564680, regioncalls=0, ndraw=40, logz=-1877.36, remainder_fraction=100.0000%, Lmin=-1852.00, Lmax=-65.43
11:56:58 [ultranest] [DEBUG] iteration=716, ncalls=564680, regioncalls=0, ndraw=40, logz=-1849.97, remainder_fraction=100.0000%, Lmin=-1835.45, Lmax=-65.43
11:56:58 [ultranest] [DEBUG] iteration=767, ncalls=564680, regioncalls=0, ndraw=40, logz=-1627.71, remainder_fraction=100.0000%, Lmin=-1619.15, Lmax=-65.43
11:56:58 [ultranest] [DEBUG] iteration=800, ncalls=564680, regioncalls=0, ndraw=40, logz=-1591.98, remainder_fraction=100.0000%, Lmin=-1582.40, Lmax=-65.43
11:56:58 [ultranest] [DEBUG] iteration=852, ncalls=564680, regioncalls=0, ndraw=40, logz=-1544.63, remainder_fraction=100.0000%, Lmin=-1537.28, Lmax=-65.43
