weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -6.939439397054284927e+04 1.382837173744450865e-01 6.686377378537994298e-02 5.727181016245889156e-01 8.307686169416799160e-01 8.391083200762424754e-01 9.247841439478354797e-01 -1.130760526325020665e+00 2.420178896111105971e+01
0.000000000000000000e+00 -6.242998774810627947e+04 1.012589486175036052e-01 5.718866200740156669e-02 6.957268478378186849e-01 8.430661448787873935e-01 9.602562059536647876e-01 6.586933013412742399e-01 -1.213297750482999149e+00 2.454729969536495560e+01
0.000000000000000000e+00 -5.972361514453183918e+04 1.144696081416757966e-01 6.787366950098307206e-02 7.804460862665822951e-01 9.554022437706501947e-01 9.907434083519628398e-01 3.632252933108367499e-01 -7.145433322678882426e-01 2.619562363561701446e+01
0.000000000000000000e+00 -5.620181329919525160e+04 1.045983760342725777e-01 4.819396027100437963e-02 6.114289041033139638e-01 1.010461604859440365e+00 9.379694879637251459e-01 4.715618769653326936e-01 -7.649958327868172647e-01 2.241297452395718537e+01
0.000000000000000000e+00 -5.374838544743454986e+04 1.858308456141491427e-01 5.772220008515227541e-02 5.752387584203619841e-01 8.440963984940957898e-01 8.067739309318331387e-01 6.092826691218677926e-01 -1.285341238512691220e+00 2.422299724607028892e+01
0.000000000000000000e+00 -5.090606790137392090e+04 1.361140851490088011e-01 6.469596021240014982e-02 6.099388395087004255e-01 9.900995064522173372e-01 8.138171497087665074e-01 8.078938485959127336e-01 -1.168781732346025670e+00 2.079117263626045897e+01
0.000000000000000000e+00 -4.953370809344035661e+04 1.167550038733257828e-01 5.982237481016769443e-02 5.655807554557378269e-01 1.056026565316477761e+00 7.911247266867588168e-01 7.574077450650845700e-01 -8.998666850260825800e-01 2.608304891278534399e+01
0.000000000000000000e+00 -4.625240672938163334e+04 1.059520230324342283e-01 5.695670988974896320e-02 8.118932702399395129e-01 8.115980556135327095e-01 6.827866813774599031e-01 9.774768249375260787e-01 -7.363490184925677307e-01 2.717992733627960789e+01
0.000000000000000000e+00 -4.606753533691369375e+04 1.126111837838043306e-01 6.798525095102245230e-02 7.070282977243355083e-01 9.698360156628837991e-01 9.325078488137709121e-01 6.454240545143047347e-01 -9.429002628820071230e-01 2.805377474624773981e+01
0.000000000000000000e+00 -4.364672866016222542e+04 2.646399841135308462e-01 6.372053866991453375e-02 5.133152599974022401e-01 8.366528307000774545e-01 9.247091979768912173e-01 5.438332447655896962e-01 -1.099996331448165110e+00 2.470358476339152887e+01
0.000000000000000000e+00 -4.184886633695081400e+04 1.676893462667897183e-01 5.208438427578057639e-02 5.992207037591156249e-01 8.745355402396660649e-01 7.155005164003824802e-01 6.971846770889104095e-01 -9.022831483134572395e-01 2.312053893881734723e+01
0.000000000000000000e+00 -4.121882280591879680e+04 1.976483321138480242e-01 5.163328447592802073e-02 5.656095103457199347e-01 8.081564396703666553e-01 7.792609248633566299e-01 7.290948815488295098e-01 -1.262405290611470887e+00 2.931356978223840315e+01
0.000000000000000000e+00 -4.100834607347946439e+04 1.386320887410530112e-01 6.656110450513136323e-02 7.122393904498729444e-01 1.129981441689300148e+00 7.629133584991421024e-01 5.817495396499743343e-01 -1.029510506868090092e+00 2.175675775551028224e+01
0.000000000000000000e+00 -4.070537725148112804e+04 1.698755416715236888e-01 6.651576936815233043e-02 6.128238287228853221e-01 1.044346998418314909e+00 9.728119144864393331e-01 8.727300294900448563e-01 -1.263934821836558031e+00 2.046968578087444612e+01
0.000000000000000000e+00 -3.992830043033272523e+04 1.073923929704182767e-01 6.367210377708165669e-02 6.332526266732989573e-01 9.358485035397305918e-01 7.022931833632234389e-01 8.573863992568171444e-01 -8.707796798459410681e-01 2.877468130248396250e+01
0.000000000000000000e+00 -3.903806111108720506e+04 1.908481977473072411e-01 6.453147119322585890e-02 7.820102422301489220e-01 9.102339697712188427e-01 7.831406534978002654e-01 3.633147644097044493e-01 -7.215190175587747889e-01 2.337614620240594476e+01
0.000000000000000000e+00 -3.878596366840900009e+04 1.165273901013494096e-01 6.701118518124268841e-02 8.740846288517249985e-01 1.127276671806989761e+00 9.971907910707497047e-01 3.069065801581032371e-01 -8.661276930074988112e-01 1.945240913182131237e+01
0.000000000000000000e+00 -3.860697997704476438e+04 1.853576963258263266e-01 4.720858953935197500e-02 8.610843440097761814e-01 8.195745118361026371e-01 8.847192527013716390e-01 9.424673107957146634e-01 -1.249661005924940227e+00 2.548293901041485299e+01
0.000000000000000000e+00 -3.807309036563886912e+04 2.100223597544358667e-01 6.962133037695775184e-02 5.810874459294689265e-01 1.052772445736220197e+00 8.486924304032396060e-01 1.792109736283848953e-01 -1.094852193405667862e+00 2.525912779558766630e+01
0.000000000000000000e+00 -3.804068901311325317e+04 2.587251291720141233e-01 6.421073879754501945e-02 7.592825209124294261e-01 8.373181735159708206e-01 8.260522436552658609e-01 6.272652435513473845e-01 -1.286503338364184845e+00 3.024093703048049520e+01
0.000000000000000000e+00 -3.676869628387749253e+04 1.445448929914274483e-01 6.031500105017804925e-02 7.321524320631020988e-01 1.152534366050043335e+00 9.844089796695230099e-01 9.075895134674643039e-01 -1.067569662779325412e+00 1.948768061023101694e+01
0.000000000000000000e+00 -3.664931067712408549e+04 1.226728621562858668e-01 5.159241278231220529e-02 5.703444596539546385e-01 9.699964698390323159e-01 6.654189589467974786e-01 6.886815808586197463e-01 -7.880317441042384852e-01 2.860898674218569226e+01
0.000000000000000000e+00 -3.628793588818629360e+04 2.102419347727368659e-01 4.791953650097505180e-02 8.698486488009538053e-01 1.004778776185247136e+00 9.259314177983011263e-01 7.686589063771697150e-01 -1.052491469216931597e+00 2.720169704387965837e+01
0.000000000000000000e+00 -3.539865945388156979e+04 1.421351894591905696e-01 4.897443275877523539e-02 8.166712978025743030e-01 1.139565822108409066e+00 9.317498934983101666e-01 8.728225879455674407e-01 -8.073703302930529402e-01 2.682328326841035704e+01
0.000000000000000000e+00 -3.480301815651413926e+04 1.206911204804947957e-01 5.619850653753369341e-02 6.162174399623370213e-01 1.069849363614642224e+00 6.890299042551365494e-01 1.655936358105253303e-01 -8.022143086781613475e-01 2.717370637935080424e+01
0.000000000000000000e+00 -3.455234767637352343e+04 1.389476477584961067e-01 5.777338966473193754e-02 8.564704173472722504e-01 1.029744250333627376e+00 6.743597631564691719e-01 9.922960624487452419e-01 -8.090649238337901394e-01 2.624868287524002497e+01
0.000000000000000000e+00 -3.427816431653929612e+04 2.376410284449904931e-01 5.230066446008541092e-02 5.712518854579806682e-01 8.533435339583386181e-01 6.622737440834269851e-01 5.686880138120193884e-01 -9.347320574692626893e-01 2.918770300140841556e+01
0.000000000000000000e+00 -3.407095473687391495e+04 3.008591904422355245e-01 6.484297681803974367e-02 5.266947354568647377e-01 8.402699831734177227e-01 8.220974784365636667e-01 8.077750520929433131e-01 -1.258315557070234680e+00 2.990565416211191518e+01
0.000000000000000000e+00 -3.400147361867708241e+04 2.646078869186002658e-01 6.229235544836799615e-02 8.049858106354504939e-01 8.289727075334665241e-01 7.573158779303255095e-01 7.577489831519026442e-01 -1.081548953831866999e+00 3.003444659024338037e+01
0.000000000000000000e+00 -3.341709641921947332e+04 1.155913952424628965e-01 3.039176686218583376e-02 6.657256934655688685e-01 8.827087032925853283e-01 8.430150870756405457e-01 4.938370021254592235e-01 -7.389783757790452379e-01 2.080448991534774450e+01
0.000000000000000000e+00 -3.338473680512509600e+04 2.324696702553220862e-01 3.693860299183668316e-02 6.822814540258193006e-01 9.077548424019220574e-01 9.481026863341298627e-01 6.059751009961693580e-01 -8.685019685532426870e-01 2.405473995152640398e+01
0.000000000000000000e+00 -3.313118625958865596e+04 1.400875707904440659e-01 5.069192755988437271e-02 5.994390831176723555e-01 1.121541881308593336e+00 9.822198995567570368e-01 1.662282823270322396e-01 -7.386382444050261231e-01 2.055070452029865891e+01
0.000000000000000000e+00 -3.232654563446518296e+04 1.374064769235292527e-01 5.421374093119442350e-02 6.545723155631336665e-01 8.313997747940009564e-01 7.991916218160265428e-01 9.343688676795615100e-01 -9.297810665264127916e-01 3.065232631733246649e+01
0.000000000000000000e+00 -3.208158402504341575e+04 1.326049677357270529e-01 5.345389501186841724e-02 8.609803064572103537e-01 8.514354589605777068e-01 7.048809223633838439e-01 3.825435176182777619e-01 -9.247110307987851385e-01 3.200015288526678603e+01
0.000000000000000000e+00 -3.161723650686557812e+04 3.249602690012305950e-01 6.808293977272025788e-02 5.798453582754755642e-01 8.395032639934031371e-01 8.033242100015228759e-01 3.764769810153463236e-01 -7.083751091996941529e-01 2.776469619228624097e+01
0.000000000000000000e+00 -3.127018851446902408e+04 1.224520605151130648e-01 4.783163524173412312e-02 7.841209038910519347e-01 8.347476526507231487e-01 6.835200056399199919e-01 8.510252312485045989e-01 -7.836766675984161434e-01 3.049602149525205874e+01
0.000000000000000000e+00 -3.074566934252245483e+04 2.703889035363858939e-01 6.407843940352214718e-02 5.467683167339794092e-01 8.570920535423045550e-01 6.593578590670864381e-01 8.648652382655328541e-01 -8.311491133476494042e-01 2.627899820818554488e+01
