11:56:53 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/162/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:56:55 [ultranest] [DEBUG] Testing resume consistency: [-8.21166504 -7.35497946  0.          0.82140357  0.24567932  0.40943302
  0.92819534  0.20936176  0.14270233  0.52222973  0.14486448  0.42856143
  0.03982717  0.66377321  1.17127814  0.6837447   0.14270233 -0.98666216
 14.48644751]: u=[0.82140357 0.24567932 0.40943302 0.92819534 0.20936176 0.14270233
 0.52222973 0.14486448] -> p=[ 0.42856143  0.03982717  0.66377321  1.17127814  0.6837447   0.14270233
 -0.98666216 14.48644751] -> L=-7.354979458988893 
11:56:55 [ultranest] [INFO] Resuming from 24512 stored points
11:56:55 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
11:56:55 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
11:56:55 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
11:56:56 [ultranest] [DEBUG] iteration=0, ncalls=174528, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-61907.44, Lmax=-54.67
11:56:56 [ultranest] [DEBUG] iteration=34, ncalls=174528, regioncalls=0, ndraw=40, logz=-36417.47, remainder_fraction=100.0000%, Lmin=-35906.73, Lmax=-54.67
11:56:56 [ultranest] [DEBUG] iteration=71, ncalls=174528, regioncalls=0, ndraw=40, logz=-27308.18, remainder_fraction=100.0000%, Lmin=-27263.45, Lmax=-54.67
11:56:56 [ultranest] [DEBUG] iteration=108, ncalls=174528, regioncalls=0, ndraw=40, logz=-22441.55, remainder_fraction=100.0000%, Lmin=-22432.52, Lmax=-54.67
11:56:56 [ultranest] [DEBUG] iteration=143, ncalls=174528, regioncalls=0, ndraw=40, logz=-18379.00, remainder_fraction=100.0000%, Lmin=-18260.56, Lmax=-54.67
11:56:56 [ultranest] [DEBUG] iteration=160, ncalls=174528, regioncalls=0, ndraw=40, logz=-17123.28, remainder_fraction=100.0000%, Lmin=-17108.77, Lmax=-54.67
11:56:56 [ultranest] [DEBUG] iteration=206, ncalls=174528, regioncalls=0, ndraw=40, logz=-13895.02, remainder_fraction=100.0000%, Lmin=-13874.44, Lmax=-54.67
11:56:56 [ultranest] [DEBUG] iteration=257, ncalls=174528, regioncalls=0, ndraw=40, logz=-10463.82, remainder_fraction=100.0000%, Lmin=-10405.23, Lmax=-54.67
11:56:56 [ultranest] [DEBUG] iteration=308, ncalls=174528, regioncalls=0, ndraw=40, logz=-8553.60, remainder_fraction=100.0000%, Lmin=-8535.08, Lmax=-54.67
11:56:56 [ultranest] [DEBUG] iteration=320, ncalls=174528, regioncalls=0, ndraw=40, logz=-7875.96, remainder_fraction=100.0000%, Lmin=-7760.25, Lmax=-54.67
11:56:57 [ultranest] [DEBUG] iteration=358, ncalls=174528, regioncalls=0, ndraw=40, logz=-6846.15, remainder_fraction=100.0000%, Lmin=-6821.82, Lmax=-54.67
11:56:57 [ultranest] [DEBUG] iteration=408, ncalls=174528, regioncalls=0, ndraw=40, logz=-5617.85, remainder_fraction=100.0000%, Lmin=-5605.59, Lmax=-54.67
11:56:57 [ultranest] [DEBUG] iteration=458, ncalls=174528, regioncalls=0, ndraw=40, logz=-4790.83, remainder_fraction=100.0000%, Lmin=-4765.00, Lmax=-54.67
11:56:57 [ultranest] [DEBUG] iteration=480, ncalls=174528, regioncalls=0, ndraw=40, logz=-4586.73, remainder_fraction=100.0000%, Lmin=-4565.01, Lmax=-54.67
11:56:57 [ultranest] [DEBUG] iteration=531, ncalls=174528, regioncalls=0, ndraw=40, logz=-4104.35, remainder_fraction=100.0000%, Lmin=-4095.42, Lmax=-54.67
11:56:57 [ultranest] [DEBUG] iteration=582, ncalls=174528, regioncalls=0, ndraw=40, logz=-3811.39, remainder_fraction=100.0000%, Lmin=-3802.68, Lmax=-54.67
11:56:57 [ultranest] [DEBUG] iteration=633, ncalls=174528, regioncalls=0, ndraw=40, logz=-3705.95, remainder_fraction=100.0000%, Lmin=-3697.80, Lmax=-54.67
11:56:57 [ultranest] [DEBUG] iteration=640, ncalls=174528, regioncalls=0, ndraw=40, logz=-3695.69, remainder_fraction=100.0000%, Lmin=-3681.23, Lmax=-54.67
11:56:57 [ultranest] [DEBUG] iteration=691, ncalls=174528, regioncalls=0, ndraw=40, logz=-3633.63, remainder_fraction=100.0000%, Lmin=-3625.32, Lmax=-54.67
11:56:57 [ultranest] [DEBUG] iteration=716, ncalls=174528, regioncalls=0, ndraw=40, logz=-3613.44, remainder_fraction=100.0000%, Lmin=-3605.98, Lmax=-54.67
11:56:58 [ultranest] [DEBUG] iteration=767, ncalls=174528, regioncalls=0, ndraw=40, logz=-3583.32, remainder_fraction=100.0000%, Lmin=-3574.93, Lmax=-54.67
