11:56:53 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/168/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:56:55 [ultranest] [DEBUG] Testing resume consistency: [-7.28626642e+01 -6.15856615e+01  0.00000000e+00  5.65781111e-02
  4.27585124e-01  5.04487520e-01  6.09113808e-01  5.13015667e-01
  9.10400005e-02  8.59718426e-01  1.65180662e-01  1.22631244e-01
  4.71034050e-02  7.01795008e-01  1.04364552e+00  8.05206267e-01
  9.10400005e-02 -7.84168945e-01  1.65180662e+01]: u=[0.05657811 0.42758512 0.50448752 0.60911381 0.51301567 0.09104
 0.85971843 0.16518066] -> p=[ 0.12263124  0.0471034   0.70179501  1.04364552  0.80520627  0.09104
 -0.78416894 16.51806615] -> L=-61.585661510005444 
11:56:55 [ultranest] [INFO] Resuming from 16994 stored points
11:56:55 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
11:56:55 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
11:56:55 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
11:56:56 [ultranest] [DEBUG] iteration=0, ncalls=118576, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-38840.30, Lmax=-114.92
11:56:56 [ultranest] [DEBUG] iteration=29, ncalls=118576, regioncalls=0, ndraw=40, logz=-15375.42, remainder_fraction=100.0000%, Lmin=-15149.38, Lmax=-114.92
11:56:56 [ultranest] [DEBUG] iteration=59, ncalls=118576, regioncalls=0, ndraw=40, logz=-12078.24, remainder_fraction=100.0000%, Lmin=-12021.77, Lmax=-114.92
11:56:56 [ultranest] [DEBUG] iteration=95, ncalls=118576, regioncalls=0, ndraw=40, logz=-10788.10, remainder_fraction=100.0000%, Lmin=-10726.14, Lmax=-114.92
11:56:56 [ultranest] [DEBUG] iteration=145, ncalls=118576, regioncalls=0, ndraw=40, logz=-9772.08, remainder_fraction=100.0000%, Lmin=-9712.82, Lmax=-114.92
11:56:56 [ultranest] [DEBUG] iteration=160, ncalls=118576, regioncalls=0, ndraw=40, logz=-9449.91, remainder_fraction=100.0000%, Lmin=-9408.57, Lmax=-114.92
11:56:56 [ultranest] [DEBUG] iteration=210, ncalls=118576, regioncalls=0, ndraw=40, logz=-8551.83, remainder_fraction=100.0000%, Lmin=-8533.09, Lmax=-114.92
11:56:56 [ultranest] [DEBUG] iteration=259, ncalls=118576, regioncalls=0, ndraw=40, logz=-8015.42, remainder_fraction=100.0000%, Lmin=-8004.76, Lmax=-114.92
11:56:56 [ultranest] [DEBUG] iteration=309, ncalls=118576, regioncalls=0, ndraw=40, logz=-7442.80, remainder_fraction=100.0000%, Lmin=-7414.95, Lmax=-114.92
11:56:56 [ultranest] [DEBUG] iteration=320, ncalls=118576, regioncalls=0, ndraw=40, logz=-7355.60, remainder_fraction=100.0000%, Lmin=-7347.56, Lmax=-114.92
11:56:57 [ultranest] [DEBUG] iteration=358, ncalls=118576, regioncalls=0, ndraw=40, logz=-6873.46, remainder_fraction=100.0000%, Lmin=-6858.61, Lmax=-114.92
11:56:57 [ultranest] [DEBUG] iteration=408, ncalls=118576, regioncalls=0, ndraw=40, logz=-6354.75, remainder_fraction=100.0000%, Lmin=-6343.19, Lmax=-114.92
11:56:57 [ultranest] [DEBUG] iteration=457, ncalls=118576, regioncalls=0, ndraw=40, logz=-5861.80, remainder_fraction=100.0000%, Lmin=-5848.33, Lmax=-114.92
11:56:57 [ultranest] [DEBUG] iteration=480, ncalls=118576, regioncalls=0, ndraw=40, logz=-5555.25, remainder_fraction=100.0000%, Lmin=-5534.68, Lmax=-114.92
11:56:57 [ultranest] [DEBUG] iteration=530, ncalls=118576, regioncalls=0, ndraw=40, logz=-5061.08, remainder_fraction=100.0000%, Lmin=-5045.49, Lmax=-114.92
11:56:57 [ultranest] [DEBUG] iteration=577, ncalls=118576, regioncalls=0, ndraw=40, logz=-4499.30, remainder_fraction=100.0000%, Lmin=-4490.93, Lmax=-114.92
11:56:57 [ultranest] [DEBUG] iteration=628, ncalls=118576, regioncalls=0, ndraw=40, logz=-3811.07, remainder_fraction=100.0000%, Lmin=-3768.68, Lmax=-114.92
11:56:57 [ultranest] [DEBUG] iteration=640, ncalls=118576, regioncalls=0, ndraw=40, logz=-3631.78, remainder_fraction=100.0000%, Lmin=-3621.60, Lmax=-114.92
11:56:57 [ultranest] [DEBUG] iteration=689, ncalls=118576, regioncalls=0, ndraw=40, logz=-3561.83, remainder_fraction=100.0000%, Lmin=-3554.92, Lmax=-114.92
11:56:58 [ultranest] [DEBUG] iteration=716, ncalls=118576, regioncalls=0, ndraw=40, logz=-3554.58, remainder_fraction=100.0000%, Lmin=-3548.40, Lmax=-114.92
11:56:58 [ultranest] [DEBUG] iteration=767, ncalls=118576, regioncalls=0, ndraw=40, logz=-3544.66, remainder_fraction=100.0000%, Lmin=-3538.43, Lmax=-114.92
11:56:58 [ultranest] [DEBUG] iteration=800, ncalls=118576, regioncalls=0, ndraw=40, logz=-3538.23, remainder_fraction=100.0000%, Lmin=-3532.20, Lmax=-114.92
11:56:58 [ultranest] [DEBUG] iteration=851, ncalls=118576, regioncalls=0, ndraw=40, logz=-3530.76, remainder_fraction=100.0000%, Lmin=-3524.77, Lmax=-114.92
11:56:58 [ultranest] [DEBUG] iteration=903, ncalls=118576, regioncalls=0, ndraw=40, logz=-3523.98, remainder_fraction=100.0000%, Lmin=-3518.01, Lmax=-114.92
11:56:58 [ultranest] [DEBUG] iteration=954, ncalls=118576, regioncalls=0, ndraw=40, logz=-3517.60, remainder_fraction=100.0000%, Lmin=-3511.95, Lmax=-114.92
11:56:58 [ultranest] [DEBUG] iteration=960, ncalls=118576, regioncalls=0, ndraw=40, logz=-3516.99, remainder_fraction=100.0000%, Lmin=-3511.30, Lmax=-114.92
11:56:58 [ultranest] [DEBUG] iteration=1012, ncalls=118576, regioncalls=0, ndraw=40, logz=-3511.53, remainder_fraction=100.0000%, Lmin=-3505.99, Lmax=-114.92
11:56:58 [ultranest] [DEBUG] iteration=1063, ncalls=118576, regioncalls=0, ndraw=40, logz=-3507.34, remainder_fraction=100.0000%, Lmin=-3501.83, Lmax=-114.92
11:56:59 [ultranest] [DEBUG] iteration=1074, ncalls=118576, regioncalls=0, ndraw=40, logz=-3506.11, remainder_fraction=100.0000%, Lmin=-3500.09, Lmax=-114.92
11:56:59 [ultranest] [DEBUG] iteration=1120, ncalls=118576, regioncalls=0, ndraw=40, logz=-3501.95, remainder_fraction=100.0000%, Lmin=-3496.38, Lmax=-114.92
11:56:59 [ultranest] [DEBUG] iteration=1172, ncalls=118576, regioncalls=0, ndraw=40, logz=-3497.11, remainder_fraction=100.0000%, Lmin=-3491.43, Lmax=-114.92
11:56:59 [ultranest] [DEBUG] iteration=1223, ncalls=118576, regioncalls=0, ndraw=40, logz=-3493.02, remainder_fraction=100.0000%, Lmin=-3487.53, Lmax=-114.92
11:56:59 [ultranest] [DEBUG] iteration=1274, ncalls=118576, regioncalls=0, ndraw=40, logz=-3489.67, remainder_fraction=100.0000%, Lmin=-3484.29, Lmax=-114.92
11:56:59 [ultranest] [DEBUG] iteration=1280, ncalls=118576, regioncalls=0, ndraw=40, logz=-3489.33, remainder_fraction=100.0000%, Lmin=-3484.10, Lmax=-114.92
11:56:59 [ultranest] [DEBUG] iteration=1331, ncalls=118576, regioncalls=0, ndraw=40, logz=-3486.99, remainder_fraction=100.0000%, Lmin=-3481.82, Lmax=-114.92
11:56:59 [ultranest] [DEBUG] iteration=1382, ncalls=118576, regioncalls=0, ndraw=40, logz=-3484.86, remainder_fraction=100.0000%, Lmin=-3479.76, Lmax=-114.92
11:56:59 [ultranest] [DEBUG] iteration=1432, ncalls=118576, regioncalls=0, ndraw=40, logz=-3483.03, remainder_fraction=100.0000%, Lmin=-3477.96, Lmax=-114.92
11:56:59 [ultranest] [DEBUG] iteration=1440, ncalls=118576, regioncalls=0, ndraw=40, logz=-3482.73, remainder_fraction=100.0000%, Lmin=-3477.64, Lmax=-114.92
11:57:00 [ultranest] [DEBUG] iteration=1492, ncalls=118576, regioncalls=0, ndraw=40, logz=-3480.86, remainder_fraction=100.0000%, Lmin=-3475.94, Lmax=-114.92
11:57:00 [ultranest] [DEBUG] iteration=1544, ncalls=118576, regioncalls=0, ndraw=40, logz=-3479.20, remainder_fraction=100.0000%, Lmin=-3474.53, Lmax=-114.92
11:57:00 [ultranest] [DEBUG] iteration=1598, ncalls=118576, regioncalls=0, ndraw=40, logz=-3478.09, remainder_fraction=100.0000%, Lmin=-3473.40, Lmax=-114.92
11:57:00 [ultranest] [DEBUG] iteration=1600, ncalls=118576, regioncalls=0, ndraw=40, logz=-3478.04, remainder_fraction=100.0000%, Lmin=-3473.38, Lmax=-114.92
11:57:00 [ultranest] [DEBUG] iteration=1654, ncalls=118576, regioncalls=0, ndraw=40, logz=-3476.30, remainder_fraction=100.0000%, Lmin=-3471.14, Lmax=-114.92
11:57:00 [ultranest] [DEBUG] iteration=1706, ncalls=118576, regioncalls=0, ndraw=40, logz=-3474.17, remainder_fraction=100.0000%, Lmin=-3468.98, Lmax=-114.92
11:57:00 [ultranest] [DEBUG] iteration=1760, ncalls=118576, regioncalls=0, ndraw=40, logz=-3471.56, remainder_fraction=100.0000%, Lmin=-3466.13, Lmax=-114.92
11:57:00 [ultranest] [DEBUG] iteration=1790, ncalls=118576, regioncalls=0, ndraw=40, logz=-3470.01, remainder_fraction=100.0000%, Lmin=-3464.56, Lmax=-114.92
11:57:00 [ultranest] [DEBUG] iteration=1839, ncalls=118576, regioncalls=0, ndraw=40, logz=-3467.30, remainder_fraction=100.0000%, Lmin=-3461.58, Lmax=-92.84
11:57:01 [ultranest] [DEBUG] iteration=1888, ncalls=118576, regioncalls=0, ndraw=40, logz=-3463.98, remainder_fraction=100.0000%, Lmin=-3458.04, Lmax=-92.84
11:57:01 [ultranest] [DEBUG] iteration=1920, ncalls=118576, regioncalls=0, ndraw=40, logz=-3461.69, remainder_fraction=100.0000%, Lmin=-3455.62, Lmax=-92.84
11:57:01 [ultranest] [DEBUG] iteration=1970, ncalls=118576, regioncalls=0, ndraw=40, logz=-3458.42, remainder_fraction=100.0000%, Lmin=-3452.94, Lmax=-92.84
11:57:01 [ultranest] [DEBUG] iteration=2020, ncalls=118576, regioncalls=0, ndraw=40, logz=-3455.33, remainder_fraction=100.0000%, Lmin=-3449.33, Lmax=-92.84
11:57:01 [ultranest] [DEBUG] iteration=2070, ncalls=118576, regioncalls=0, ndraw=40, logz=-3452.38, remainder_fraction=100.0000%, Lmin=-3446.56, Lmax=-92.84
11:57:01 [ultranest] [DEBUG] iteration=2080, ncalls=118576, regioncalls=0, ndraw=40, logz=-3451.86, remainder_fraction=100.0000%, Lmin=-3446.17, Lmax=-92.84
11:57:01 [ultranest] [DEBUG] iteration=2130, ncalls=118576, regioncalls=0, ndraw=40, logz=-3448.62, remainder_fraction=100.0000%, Lmin=-3442.57, Lmax=-92.84
11:57:01 [ultranest] [DEBUG] iteration=2148, ncalls=118576, regioncalls=0, ndraw=40, logz=-3447.48, remainder_fraction=100.0000%, Lmin=-3441.63, Lmax=-92.84
11:57:01 [ultranest] [DEBUG] iteration=2197, ncalls=118576, regioncalls=0, ndraw=40, logz=-3444.54, remainder_fraction=100.0000%, Lmin=-3438.51, Lmax=-92.84
11:57:01 [ultranest] [DEBUG] iteration=2240, ncalls=118576, regioncalls=0, ndraw=40, logz=-3441.69, remainder_fraction=100.0000%, Lmin=-3435.72, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2290, ncalls=118576, regioncalls=0, ndraw=40, logz=-3438.74, remainder_fraction=100.0000%, Lmin=-3432.90, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2340, ncalls=118576, regioncalls=0, ndraw=40, logz=-3435.81, remainder_fraction=100.0000%, Lmin=-3429.88, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2390, ncalls=118576, regioncalls=0, ndraw=40, logz=-3432.71, remainder_fraction=100.0000%, Lmin=-3426.73, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2400, ncalls=118576, regioncalls=0, ndraw=40, logz=-3432.08, remainder_fraction=100.0000%, Lmin=-3425.93, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2451, ncalls=118576, regioncalls=0, ndraw=40, logz=-3429.06, remainder_fraction=100.0000%, Lmin=-3422.96, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2502, ncalls=118576, regioncalls=0, ndraw=40, logz=-3426.11, remainder_fraction=100.0000%, Lmin=-3420.18, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2506, ncalls=118576, regioncalls=0, ndraw=40, logz=-3425.92, remainder_fraction=100.0000%, Lmin=-3419.98, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2557, ncalls=118576, regioncalls=0, ndraw=40, logz=-3423.59, remainder_fraction=100.0000%, Lmin=-3417.76, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2560, ncalls=118576, regioncalls=0, ndraw=40, logz=-3423.46, remainder_fraction=100.0000%, Lmin=-3417.59, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2610, ncalls=118576, regioncalls=0, ndraw=40, logz=-3421.41, remainder_fraction=100.0000%, Lmin=-3415.57, Lmax=-92.84
11:57:02 [ultranest] [DEBUG] iteration=2661, ncalls=118576, regioncalls=0, ndraw=40, logz=-3418.95, remainder_fraction=100.0000%, Lmin=-3412.92, Lmax=-92.84
11:57:03 [ultranest] [DEBUG] iteration=2712, ncalls=118576, regioncalls=0, ndraw=40, logz=-3416.15, remainder_fraction=100.0000%, Lmin=-3409.77, Lmax=-92.84
11:57:03 [ultranest] [DEBUG] iteration=2720, ncalls=118576, regioncalls=0, ndraw=40, logz=-3415.64, remainder_fraction=100.0000%, Lmin=-3409.33, Lmax=-92.84
11:57:03 [ultranest] [DEBUG] iteration=2771, ncalls=118576, regioncalls=0, ndraw=40, logz=-3413.20, remainder_fraction=100.0000%, Lmin=-3407.16, Lmax=-92.84
11:57:03 [ultranest] [DEBUG] iteration=2822, ncalls=118576, regioncalls=0, ndraw=40, logz=-3411.16, remainder_fraction=100.0000%, Lmin=-3405.23, Lmax=-92.84
11:57:03 [ultranest] [DEBUG] iteration=2864, ncalls=118576, regioncalls=0, ndraw=40, logz=-3409.12, remainder_fraction=100.0000%, Lmin=-3402.99, Lmax=-92.84
11:57:03 [ultranest] [DEBUG] iteration=2880, ncalls=118576, regioncalls=0, ndraw=40, logz=-3408.41, remainder_fraction=100.0000%, Lmin=-3402.41, Lmax=-92.84
11:57:03 [ultranest] [DEBUG] iteration=2927, ncalls=118576, regioncalls=0, ndraw=40, logz=-3406.41, remainder_fraction=100.0000%, Lmin=-3400.30, Lmax=-92.84
