Om Ob h ns s8 Mnu w scale_factor
1.489534945420738499e-01 5.206420021334182829e-02 7.200704056483115956e-01 1.115511827186680183e+00 7.170186307687345106e-01 7.337368563035129299e-02 -9.974201457268234705e-01 1.623522350757436783e+01
2.199261364621881987e-01 3.760186489810279920e-02 5.609235359751525429e-01 1.047411756140474992e+00 7.403427336703150008e-01 9.529077457104158100e-01 -1.240865011263847517e+00 1.609674711757040910e+01
1.707812814549866665e-01 3.709758276127529675e-02 7.120833136010753517e-01 1.078382149747390661e+00 7.102056105003758946e-01 8.823855655910437523e-01 -8.307792851140338719e-01 1.605133083859590215e+01
1.687016220938513666e-01 5.507588106835552971e-02 6.249482232685783512e-01 1.134277027347438516e+00 6.857941392714139717e-01 3.280015847120139050e-01 -9.592295781633967122e-01 1.621916808890547657e+01
1.370977439430660361e-01 4.399577733104102079e-02 6.305178537474762646e-01 1.159107749100596330e+00 7.433092656232745954e-01 1.315608483923014216e-02 -9.888186143034123354e-01 1.622530409676490493e+01
1.323354798906782592e-01 3.806732437380966338e-02 5.882487226605478403e-01 1.184209369701791914e+00 7.504443147376688161e-01 4.506203147989318314e-02 -1.003187086498008362e+00 1.614621415099812651e+01
2.501470691548556280e-01 6.199419869062604976e-02 5.456607426592297028e-01 1.044825686320827174e+00 7.016058585852655849e-01 9.149410681554805969e-01 -1.286176671926144266e+00 1.627915228769932909e+01
1.421993487876424822e-01 3.526624433935401232e-02 7.887569120434680947e-01 1.136596498893225560e+00 6.968922267360336820e-01 9.263498542099528610e-01 -9.044567266967524777e-01 1.607066448475730880e+01
2.203384668601176821e-01 5.773959041953220794e-02 6.923718666247730136e-01 1.013797155591919408e+00 7.193457438459275322e-01 9.511944402967094092e-01 -1.250441254829793847e+00 1.644817159806797946e+01
1.911979350680372003e-01 5.714367884464612718e-02 6.110642095929175177e-01 1.094485627605123357e+00 6.882903246109881579e-01 4.926827709784074028e-01 -1.007243107272622895e+00 1.635439870072416468e+01
2.159906393589454410e-01 6.566774358336159578e-02 5.878632240423073974e-01 1.077124241611725708e+00 6.987245925135170399e-01 6.047300943871647405e-01 -1.081908026561410940e+00 1.624607901318178804e+01
1.427474269510443095e-01 4.762547452034253392e-02 5.949393096402715297e-01 1.180801280955093624e+00 7.108574857287089932e-01 4.960121367180103658e-02 -8.204582279120067323e-01 1.608118955011795848e+01
2.252992801384873511e-01 5.141373648433925081e-02 5.345833127907423377e-01 1.070819779893810164e+00 7.002987023304304559e-01 7.621651258459922751e-01 -1.081061600462503547e+00 1.627578989836544210e+01
1.574821215311918710e-01 5.090164006797316676e-02 5.803266522689278784e-01 1.177394175382920460e+00 7.028090475310855290e-01 2.670162879546155721e-01 -1.063252767740931581e+00 1.616079778786271604e+01
2.515546192875395271e-01 6.846294373781451614e-02 5.642845257438960926e-01 1.042179069970079253e+00 6.724904366311434956e-01 8.780110433476016052e-01 -7.228463327664448324e-01 1.620768291395106431e+01
2.214803456253460201e-01 3.039044431063869789e-02 5.378581066897138996e-01 1.035802118194961485e+00 7.472699462675468363e-01 8.812552008759921840e-01 -1.299329001737395295e+00 1.622091386033977756e+01
1.925919121659702971e-01 3.343683402222295820e-02 5.672967181108036216e-01 1.085174443183694715e+00 7.169030109122951355e-01 7.871698986306445711e-01 -1.229546568898421510e+00 1.629690846813002736e+01
1.608280137242737995e-01 4.317326199910793971e-02 6.637984462976019850e-01 1.118056055650608727e+00 7.008955115948143355e-01 5.681633717690404151e-01 -1.120393946705123156e+00 1.637027259612107599e+01
2.644193490418039749e-01 5.785167136855089154e-02 5.622079613999729775e-01 9.852150112927404724e-01 7.283807803409902970e-01 9.541191774736319520e-01 -1.194184519979470060e+00 1.643078688473325855e+01
1.868090434644759934e-01 3.597563040104148624e-02 6.349508975115552012e-01 1.063288702080318338e+00 7.170916424491486918e-01 8.908242924636924354e-01 -1.003121115794877172e+00 1.620178946996285418e+01
2.185033889102161453e-01 3.652273855984860401e-02 5.745815258816222570e-01 1.031042814489991688e+00 7.320123551046773258e-01 8.438801005316125536e-01 -1.095969635588996072e+00 1.621376797669420000e+01
1.556922539914125103e-01 4.375947949233159606e-02 7.106788711136343695e-01 1.106141579313884682e+00 7.140978668971552645e-01 5.196570853633180054e-01 -1.162041961406822255e+00 1.632880568345257544e+01
2.193697238056157850e-01 4.596029834662850727e-02 5.392255224170607875e-01 1.079914433035874755e+00 7.093640651437005396e-01 8.049637361554216053e-01 -1.267729368847634319e+00 1.632595100968129032e+01
1.824771920887195142e-01 6.656041257912162501e-02 5.870513948415185812e-01 1.117593675935290021e+00 7.046093735513530021e-01 5.504033668967001081e-02 -1.147589791477949595e+00 1.649598607006268480e+01
2.441990523208722730e-01 5.630331799230216261e-02 5.004004901454092158e-01 1.065841407105082794e+00 7.123093594992357946e-01 6.315078791654580304e-01 -1.238426211955660383e+00 1.641517787394678862e+01
2.481622961849043740e-01 4.971224183291214627e-02 5.649902920214715518e-01 1.020270245453291036e+00 7.253790114497468133e-01 9.732923279129939154e-01 -1.038901380997893753e+00 1.621405712568119029e+01
1.681716133258012169e-01 3.643326949047416552e-02 6.403937063915975392e-01 1.119358692738161132e+00 6.999434169043616816e-01 7.992488977748978263e-01 -9.858254180926482313e-01 1.620664504693164076e+01
2.383305719719892302e-01 5.834865152454907222e-02 6.729635358712960924e-01 9.637015761288357796e-01 7.303858305173137611e-01 9.272541307341535255e-01 -1.045449412093368169e+00 1.629499439547302586e+01
1.412884523548138260e-01 3.321933497728687262e-02 5.910886671296891048e-01 1.134782243428895887e+00 7.593428058481601628e-01 1.797056425010090108e-01 -1.164412593446062516e+00 1.634601246218096193e+01
2.092925165031745971e-01 5.951255361262916543e-02 6.638095950671767387e-01 1.040190770994360525e+00 6.988779969097049793e-01 7.878669337175085996e-01 -1.057604476188280351e+00 1.624393729395182007e+01
1.676620876810570593e-01 3.804222033310748069e-02 7.233143991439993092e-01 1.080000637877791991e+00 7.178747496033076603e-01 9.425846487586322375e-01 -1.222241163954170595e+00 1.636722737849288123e+01
1.755084712705315964e-01 4.713475415808369984e-02 7.119432449305516108e-01 1.066134144184506916e+00 7.120185843826745131e-01 8.136138758198613319e-01 -1.146459790556032754e+00 1.619881893368613390e+01
2.055468989038594929e-01 4.074294540916515578e-02 5.120796530561348980e-01 1.129504611429450245e+00 6.903540931045790696e-01 7.819517515752718584e-01 -9.446456178258502145e-01 1.600835069038219771e+01
1.438343940481297267e-01 3.758850954453168969e-02 6.007093076379292906e-01 1.164921944131883214e+00 7.382376453053114407e-01 2.005362798472369312e-01 -9.526232279950357373e-01 1.603057402801382381e+01
1.442016188067961890e-01 3.548172875911505958e-02 5.479155656278360542e-01 1.146794895992540475e+00 7.649688792871577325e-01 1.412410431732157301e-01 -1.199466641559615354e+00 1.629627542429332365e+01
2.026012460563211270e-01 6.373561219724736826e-02 5.726297301098561832e-01 1.112989702702395833e+00 6.872604117407115076e-01 5.042148290120538334e-01 -1.231973110422682538e+00 1.633682427354805711e+01
2.102276252868837403e-01 6.455410174655379363e-02 5.657300029967071708e-01 1.088928221000113883e+00 7.053230856873498045e-01 4.532874175660361327e-01 -1.259738344142387945e+00 1.632316143855750212e+01
2.434305933590911741e-01 3.875924979938719095e-02 5.201515918130523719e-01 1.042718999507993516e+00 7.192508697660762174e-01 9.483025420621753465e-01 -1.061411787855004674e+00 1.624755093357666169e+01
2.296875053932006805e-01 5.853721620789964497e-02 6.525702430127480191e-01 9.833575778530190270e-01 7.329642377305853884e-01 9.325091632241545581e-01 -1.264620208888608266e+00 1.626031015744756658e+01
2.172637076320267924e-01 6.588832950997586257e-02 6.114488180055783761e-01 1.096432269766787426e+00 6.607143361553773353e-01 7.067898651353778927e-01 -7.450468494237401096e-01 1.618712614817282969e+01
1.724911334609426361e-01 3.264209094174692211e-02 5.565642290612483611e-01 1.108216680037041879e+00 7.295389753765630925e-01 5.441630145787637041e-01 -1.204393243669918290e+00 1.622649699497467779e+01
2.493712721920114950e-01 6.980320792768326954e-02 5.926759580323980314e-01 1.034415008528397184e+00 7.020812671146466899e-01 8.841958256152198103e-01 -1.207945922005050576e+00 1.631640145950454368e+01
2.053001579400468013e-01 6.414860337775354915e-02 6.605605403595385949e-01 1.099339077202991399e+00 6.629648882493375250e-01 8.512581942793778778e-01 -7.084733636396906009e-01 1.586747675508571831e+01
2.256003184538084572e-01 6.952374447290116111e-02 5.774917304867078771e-01 1.103458459055598251e+00 6.740286985346183313e-01 7.063971367708830051e-01 -1.278868210107544146e+00 1.648337830473973753e+01
2.230835302034203660e-01 5.376071050215969205e-02 5.015725033278460865e-01 1.108918074258097297e+00 6.775919078721850397e-01 6.585951227364411631e-01 -7.706501447892190049e-01 1.609824396458716578e+01
2.564274689418120645e-01 6.073791958023767867e-02 5.669304220949754614e-01 1.026789136909002087e+00 7.147366364861403865e-01 9.693946704651827950e-01 -1.234691693029017934e+00 1.639538615450397430e+01
1.504129047474657421e-01 4.675291921444072601e-02 5.825289281585140921e-01 1.160335530054571018e+00 7.439432126730616268e-01 2.907535519470949570e-02 -1.066377086112588302e+00 1.629333855583605484e+01
1.690604458224347351e-01 5.740131279568222444e-02 5.508282639912459588e-01 1.150407357047417145e+00 7.028582748200973285e-01 1.550162576746981768e-01 -1.185730067113084596e+00 1.639382917904035253e+01
2.663599046275182403e-01 6.018436531120002070e-02 5.715256380103250766e-01 9.902576187534691821e-01 7.171075359917578051e-01 9.115827425741331869e-01 -9.756625693511691289e-01 1.631949578658076661e+01
1.880883001868923488e-01 6.356383601001000527e-02 6.481317874150815950e-01 1.093388178598703409e+00 6.750175884612809041e-01 4.313927041980787358e-01 -9.138725205862607837e-01 1.628743445134563572e+01
1.383596904604865729e-01 4.492090783723325792e-02 8.278262505598779075e-01 1.112051033057352312e+00 7.007312375552375849e-01 3.209413891557517107e-01 -7.304374286064049260e-01 1.599849681217310682e+01
1.366599261741264226e-01 3.151695180409436192e-02 7.659131168388444433e-01 1.112855948179855003e+00 7.201692207799093026e-01 7.689562302421046880e-01 -1.206000280332528929e+00 1.639310088421730782e+01
1.813979927249399493e-01 6.859010616668428928e-02 5.355527983079270138e-01 1.177170379532452849e+00 6.720325907566581103e-01 1.444628503239809292e-01 -1.012790812109379823e+00 1.636255778648510883e+01
1.830079726282001773e-01 3.604859128559577408e-02 6.644141403617747077e-01 1.064180289499198961e+00 7.293500503733028051e-01 9.402016732059843562e-01 -1.031561527438441317e+00 1.604534010418720413e+01
2.799971563563611321e-01 4.011395414483837768e-02 5.353960761512124300e-01 9.163146875714387463e-01 7.556033513770747945e-01 9.996607175873402085e-01 -1.127067342671982830e+00 1.628595004708014926e+01
2.283775377133224760e-01 4.090692198590698686e-02 5.003638728795175572e-01 1.098703962927402689e+00 7.001807283110275115e-01 9.139893444595635907e-01 -1.074659666136782210e+00 1.610500744199647016e+01
2.268861416321732438e-01 6.000453267339289631e-02 5.988716099211086608e-01 1.063424588370865731e+00 6.969381623622128430e-01 8.801065282646056698e-01 -1.243739093647042493e+00 1.642500504962485408e+01
1.879624907695105485e-01 3.921610000407169810e-02 5.981498071969425512e-01 1.077629922355992864e+00 7.105453070633289681e-01 7.493284495289016522e-01 -1.040992775225098033e+00 1.617184095126581767e+01
2.321711919099660459e-01 6.770530441172553648e-02 6.625211551598033655e-01 1.025235271526893754e+00 6.964910384541322941e-01 9.742676718843050754e-01 -1.213485690411944429e+00 1.644335301901503499e+01
2.186445813988295017e-01 6.412749529867226017e-02 5.414347339336011977e-01 1.105324765184135805e+00 6.803681728944016571e-01 6.585358457012424616e-01 -1.260918563308323970e+00 1.637275632198954867e+01
1.590032487703013364e-01 3.405203435759038277e-02 5.179184805509974288e-01 1.144802684470080489e+00 7.351215277869790343e-01 3.296684489276020535e-01 -1.294381373494836618e+00 1.634594378334513820e+01
1.656674590389615176e-01 5.731429180548863744e-02 6.118165421037037310e-01 1.106316372560806727e+00 7.432204409688363267e-01 2.280488261376600878e-02 -1.277693166599963348e+00 1.641689485454967823e+01
1.726022281063031572e-01 6.306553868083653036e-02 6.214628640112228597e-01 1.142460763807747082e+00 6.772186278285732275e-01 1.690089587111860969e-01 -8.280135100927321634e-01 1.611025666764635034e+01
1.319123480877229526e-01 3.009563102304494905e-02 5.831457876819898800e-01 1.180262399547496788e+00 7.454819756362194294e-01 2.037196429771270245e-01 -1.007770396399273016e+00 1.623549177299593538e+01
1.527858173048793899e-01 4.583027683221511939e-02 5.361576479346107371e-01 1.154994404113342421e+00 7.413515933133904001e-01 8.529573001228302198e-02 -1.156559746856838933e+00 1.632413074330615288e+01
2.399049909684407567e-01 6.641382257209371698e-02 5.947874256891221290e-01 1.077344479613598027e+00 7.020785553165947990e-01 9.831324395944960326e-01 -1.120721504708543259e+00 1.618268946373427397e+01
1.754354196647997799e-01 6.999128013653674318e-02 6.527544011163517457e-01 1.146326491416050253e+00 6.798184655445864699e-01 1.738652816973275117e-01 -1.002582283812117003e+00 1.622957166415235974e+01
2.116097891876832504e-01 6.878306900774464050e-02 6.667443702769576541e-01 1.060486766518579094e+00 6.911107552832649326e-01 6.831301654187432737e-01 -1.145849910031105034e+00 1.629879267547406130e+01
1.848920286241987898e-01 6.413666400638035059e-02 6.079823422578823910e-01 1.114357129331901897e+00 6.906680601544965548e-01 2.966678372136430930e-01 -1.128252000619306417e+00 1.643202298478994905e+01
1.762823983983619613e-01 3.703685959728754418e-02 5.323538917140002713e-01 1.154901257759661792e+00 7.020565461421288678e-01 6.179830195108660940e-01 -1.244261504844597965e+00 1.626394386198278497e+01
