13:04:02 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/31/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
13:04:04 [ultranest] [DEBUG] Testing resume consistency: [-12.36605756 -12.19841805   0.           0.17030783   0.26105616
   0.12482144   0.14769356   0.04797405   0.39654073   0.6720539
   0.20619919   0.16812313   0.04044225   0.54992858   0.85907742
   0.61918962   0.39654073  -0.89676766  20.61991943]: u=[0.17030783 0.26105616 0.12482144 0.14769356 0.04797405 0.39654073
 0.6720539  0.20619919] -> p=[ 0.16812313  0.04044225  0.54992858  0.85907742  0.61918962  0.39654073
 -0.89676766 20.61991943] -> L=-12.198418050654409 
13:04:04 [ultranest] [INFO] Resuming from 34894 stored points
13:04:04 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
13:04:04 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
13:04:04 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
13:04:05 [ultranest] [DEBUG] iteration=0, ncalls=1242562, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-31392.74, Lmax=-133.29
13:04:05 [ultranest] [DEBUG] iteration=35, ncalls=1242562, regioncalls=0, ndraw=40, logz=-15904.33, remainder_fraction=100.0000%, Lmin=-15829.12, Lmax=-133.29
13:04:05 [ultranest] [DEBUG] iteration=60, ncalls=1242562, regioncalls=0, ndraw=40, logz=-14502.59, remainder_fraction=100.0000%, Lmin=-14429.15, Lmax=-133.29
13:04:05 [ultranest] [DEBUG] iteration=96, ncalls=1242562, regioncalls=0, ndraw=40, logz=-13418.61, remainder_fraction=100.0000%, Lmin=-13329.84, Lmax=-133.29
13:04:05 [ultranest] [DEBUG] iteration=132, ncalls=1242562, regioncalls=0, ndraw=40, logz=-12356.79, remainder_fraction=100.0000%, Lmin=-12322.31, Lmax=-133.29
13:04:05 [ultranest] [DEBUG] iteration=160, ncalls=1242562, regioncalls=0, ndraw=40, logz=-11826.44, remainder_fraction=100.0000%, Lmin=-11794.30, Lmax=-133.29
13:04:05 [ultranest] [DEBUG] iteration=195, ncalls=1242562, regioncalls=0, ndraw=40, logz=-11143.96, remainder_fraction=100.0000%, Lmin=-11117.87, Lmax=-133.29
13:04:05 [ultranest] [DEBUG] iteration=231, ncalls=1242562, regioncalls=0, ndraw=40, logz=-10403.21, remainder_fraction=100.0000%, Lmin=-10388.88, Lmax=-133.29
13:04:05 [ultranest] [DEBUG] iteration=264, ncalls=1242562, regioncalls=0, ndraw=40, logz=-10021.86, remainder_fraction=100.0000%, Lmin=-10009.12, Lmax=-133.29
13:04:05 [ultranest] [DEBUG] iteration=299, ncalls=1242562, regioncalls=0, ndraw=40, logz=-9466.25, remainder_fraction=100.0000%, Lmin=-9449.67, Lmax=-133.29
13:04:06 [ultranest] [DEBUG] iteration=320, ncalls=1242562, regioncalls=0, ndraw=40, logz=-9115.85, remainder_fraction=100.0000%, Lmin=-9085.27, Lmax=-133.29
