11:56:53 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/52/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:56:55 [ultranest] [DEBUG] Testing resume consistency: [-1.22573212e+01 -1.19166604e+01  0.00000000e+00  2.56400318e-01
  2.21475619e-02  7.92894402e-02  4.67547442e-01  8.69355860e-02
  5.77354542e-01  7.54532423e-03  1.90463232e-01  2.02560127e-01
  3.08859025e-02  5.31715776e-01  9.87018977e-01  6.34774234e-01
  5.77354542e-01 -1.29547281e+00  1.90463232e+01]: u=[0.25640032 0.02214756 0.07928944 0.46754744 0.08693559 0.57735454
 0.00754532 0.19046323] -> p=[ 0.20256013  0.0308859   0.53171578  0.98701898  0.63477423  0.57735454
 -1.29547281 19.04632316] -> L=-11.91666039793287 
11:56:55 [ultranest] [INFO] Resuming from 35252 stored points
11:56:55 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
11:56:55 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
11:56:55 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
11:56:55 [ultranest] [DEBUG] iteration=0, ncalls=6555886, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-40931.56, Lmax=-103.38
11:56:56 [ultranest] [DEBUG] iteration=35, ncalls=6555886, regioncalls=0, ndraw=40, logz=-18347.82, remainder_fraction=100.0000%, Lmin=-18282.92, Lmax=-103.38
11:56:56 [ultranest] [DEBUG] iteration=70, ncalls=6555886, regioncalls=0, ndraw=40, logz=-12572.15, remainder_fraction=100.0000%, Lmin=-12450.89, Lmax=-103.38
11:56:56 [ultranest] [DEBUG] iteration=108, ncalls=6555886, regioncalls=0, ndraw=40, logz=-9487.39, remainder_fraction=100.0000%, Lmin=-9417.06, Lmax=-103.38
11:56:56 [ultranest] [DEBUG] iteration=154, ncalls=6555886, regioncalls=0, ndraw=40, logz=-7465.81, remainder_fraction=100.0000%, Lmin=-7431.16, Lmax=-103.38
11:56:56 [ultranest] [DEBUG] iteration=160, ncalls=6555886, regioncalls=0, ndraw=40, logz=-7264.27, remainder_fraction=100.0000%, Lmin=-7210.44, Lmax=-103.38
11:56:56 [ultranest] [DEBUG] iteration=220, ncalls=6555886, regioncalls=0, ndraw=40, logz=-6233.43, remainder_fraction=100.0000%, Lmin=-6208.88, Lmax=-103.38
11:56:56 [ultranest] [DEBUG] iteration=279, ncalls=6555886, regioncalls=0, ndraw=40, logz=-5585.58, remainder_fraction=100.0000%, Lmin=-5570.18, Lmax=-103.38
11:56:56 [ultranest] [DEBUG] iteration=320, ncalls=6555886, regioncalls=0, ndraw=40, logz=-5169.05, remainder_fraction=100.0000%, Lmin=-5149.19, Lmax=-103.38
11:56:56 [ultranest] [DEBUG] iteration=358, ncalls=6555886, regioncalls=0, ndraw=40, logz=-4699.26, remainder_fraction=100.0000%, Lmin=-4688.49, Lmax=-103.38
11:56:56 [ultranest] [DEBUG] iteration=404, ncalls=6555886, regioncalls=0, ndraw=40, logz=-4393.79, remainder_fraction=100.0000%, Lmin=-4381.61, Lmax=-103.38
