13:04:02 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/53/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
13:04:04 [ultranest] [INFO] Sampling 1600 live points from prior ...
13:04:32 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
13:04:32 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
13:04:32 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
13:04:33 [ultranest] [DEBUG] iteration=0, ncalls=1601, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-37617.08, Lmax=-160.78
13:04:33 [ultranest] [DEBUG] iteration=5, ncalls=1606, regioncalls=240, ndraw=40, logz=-29038.34, remainder_fraction=100.0000%, Lmin=-28397.47, Lmax=-160.78
13:04:33 [ultranest] [DEBUG] iteration=10, ncalls=1611, regioncalls=440, ndraw=40, logz=-22646.17, remainder_fraction=100.0000%, Lmin=-22626.37, Lmax=-160.78
13:04:33 [ultranest] [DEBUG] iteration=15, ncalls=1616, regioncalls=640, ndraw=40, logz=-21824.00, remainder_fraction=100.0000%, Lmin=-21540.62, Lmax=-160.78
13:04:33 [ultranest] [DEBUG] iteration=20, ncalls=1621, regioncalls=840, ndraw=40, logz=-19791.99, remainder_fraction=100.0000%, Lmin=-19431.22, Lmax=-160.78
13:04:33 [ultranest] [DEBUG] iteration=25, ncalls=1626, regioncalls=1040, ndraw=40, logz=-19239.42, remainder_fraction=100.0000%, Lmin=-19172.45, Lmax=-160.78
13:04:33 [ultranest] [DEBUG] iteration=30, ncalls=1631, regioncalls=1240, ndraw=40, logz=-18942.23, remainder_fraction=100.0000%, Lmin=-18832.21, Lmax=-160.78
13:04:33 [ultranest] [DEBUG] iteration=35, ncalls=1636, regioncalls=1440, ndraw=40, logz=-18027.76, remainder_fraction=100.0000%, Lmin=-17738.35, Lmax=-160.78
13:04:34 [ultranest] [DEBUG] iteration=40, ncalls=1641, regioncalls=1640, ndraw=40, logz=-17573.12, remainder_fraction=100.0000%, Lmin=-17526.33, Lmax=-160.78
13:04:34 [ultranest] [DEBUG] iteration=45, ncalls=1646, regioncalls=1840, ndraw=40, logz=-15604.17, remainder_fraction=100.0000%, Lmin=-15375.47, Lmax=-160.78
13:04:34 [ultranest] [DEBUG] iteration=50, ncalls=1651, regioncalls=2040, ndraw=40, logz=-15117.92, remainder_fraction=100.0000%, Lmin=-15055.87, Lmax=-160.78
