13:04:02 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/58/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
13:04:04 [ultranest] [DEBUG] Testing resume consistency: [-6.89863869 -6.84524809  0.          0.10499331  0.72654177  0.08818672
  0.46960465  0.25409877  0.19776889  0.68711665  0.17790354  0.14199733
  0.05906167  0.53527469  0.98784186  0.70163951  0.19776889 -0.88773001
 17.790354  ]: u=[0.10499331 0.72654177 0.08818672 0.46960465 0.25409877 0.19776889
 0.68711665 0.17790354] -> p=[ 0.14199733  0.05906167  0.53527469  0.98784186  0.70163951  0.19776889
 -0.88773001 17.790354  ] -> L=-6.8452480901784485 
13:04:04 [ultranest] [INFO] Resuming from 32030 stored points
13:04:04 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
13:04:04 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
13:04:04 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
13:04:05 [ultranest] [DEBUG] iteration=0, ncalls=1219099, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-28123.25, Lmax=-409.29
13:04:05 [ultranest] [DEBUG] iteration=21, ncalls=1219099, regioncalls=0, ndraw=40, logz=-16579.51, remainder_fraction=100.0000%, Lmin=-16514.27, Lmax=-409.29
13:04:05 [ultranest] [DEBUG] iteration=41, ncalls=1219099, regioncalls=0, ndraw=40, logz=-15123.04, remainder_fraction=100.0000%, Lmin=-15108.68, Lmax=-409.29
13:04:05 [ultranest] [DEBUG] iteration=62, ncalls=1219099, regioncalls=0, ndraw=40, logz=-14236.17, remainder_fraction=100.0000%, Lmin=-14190.43, Lmax=-409.29
13:04:05 [ultranest] [DEBUG] iteration=83, ncalls=1219099, regioncalls=0, ndraw=40, logz=-13712.38, remainder_fraction=100.0000%, Lmin=-13665.83, Lmax=-409.29
13:04:05 [ultranest] [DEBUG] iteration=111, ncalls=1219099, regioncalls=0, ndraw=40, logz=-13065.00, remainder_fraction=100.0000%, Lmin=-13049.99, Lmax=-409.29
13:04:05 [ultranest] [DEBUG] iteration=145, ncalls=1219099, regioncalls=0, ndraw=40, logz=-12521.29, remainder_fraction=100.0000%, Lmin=-12508.57, Lmax=-409.29
13:04:05 [ultranest] [DEBUG] iteration=160, ncalls=1219099, regioncalls=0, ndraw=40, logz=-12261.58, remainder_fraction=100.0000%, Lmin=-12234.37, Lmax=-409.29
13:04:05 [ultranest] [DEBUG] iteration=194, ncalls=1219099, regioncalls=0, ndraw=40, logz=-11587.65, remainder_fraction=100.0000%, Lmin=-11565.37, Lmax=-409.29
13:04:05 [ultranest] [DEBUG] iteration=228, ncalls=1219099, regioncalls=0, ndraw=40, logz=-10965.20, remainder_fraction=100.0000%, Lmin=-10915.47, Lmax=-409.29
13:04:06 [ultranest] [DEBUG] iteration=262, ncalls=1219099, regioncalls=0, ndraw=40, logz=-10273.00, remainder_fraction=100.0000%, Lmin=-10222.13, Lmax=-409.29
13:04:06 [ultranest] [DEBUG] iteration=283, ncalls=1219099, regioncalls=0, ndraw=40, logz=-9754.95, remainder_fraction=100.0000%, Lmin=-9729.38, Lmax=-409.29
13:04:06 [ultranest] [DEBUG] iteration=314, ncalls=1219099, regioncalls=0, ndraw=40, logz=-9189.96, remainder_fraction=100.0000%, Lmin=-9166.95, Lmax=-409.29
13:04:06 [ultranest] [DEBUG] iteration=320, ncalls=1219099, regioncalls=0, ndraw=40, logz=-9091.94, remainder_fraction=100.0000%, Lmin=-9079.46, Lmax=-409.29
13:04:06 [ultranest] [DEBUG] iteration=340, ncalls=1219099, regioncalls=0, ndraw=40, logz=-8842.45, remainder_fraction=100.0000%, Lmin=-8834.31, Lmax=-409.29
13:04:07 [ultranest] [DEBUG] iteration=358, ncalls=1219099, regioncalls=0, ndraw=40, logz=-8584.49, remainder_fraction=100.0000%, Lmin=-8561.94, Lmax=-409.29
13:04:07 [ultranest] [DEBUG] iteration=392, ncalls=1219099, regioncalls=0, ndraw=40, logz=-8189.40, remainder_fraction=100.0000%, Lmin=-8132.21, Lmax=-409.29
13:04:07 [ultranest] [DEBUG] iteration=417, ncalls=1219099, regioncalls=0, ndraw=40, logz=-7816.10, remainder_fraction=100.0000%, Lmin=-7797.24, Lmax=-409.29
