13:04:02 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/86/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
13:04:04 [ultranest] [DEBUG] Testing resume consistency: [-10.23429277  -9.51179035   0.           0.78321805   0.95455937
   0.12751821   0.80516242   0.15300898   0.89137125   0.41531298
   0.16076128   0.41328722   0.06818237   0.55100728   1.12206497
   0.66120359   0.89137125  -1.05081221  16.07612803]: u=[0.78321805 0.95455937 0.12751821 0.80516242 0.15300898 0.89137125
 0.41531298 0.16076128] -> p=[ 0.41328722  0.06818237  0.55100728  1.12206497  0.66120359  0.89137125
 -1.05081221 16.07612803] -> L=-9.511790350177309 
13:04:04 [ultranest] [INFO] Resuming from 23796 stored points
13:04:04 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
13:04:04 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
13:04:04 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
13:04:05 [ultranest] [DEBUG] iteration=0, ncalls=306350, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-60116.14, Lmax=-100.89
13:04:05 [ultranest] [DEBUG] iteration=13, ncalls=306350, regioncalls=0, ndraw=40, logz=-37259.12, remainder_fraction=100.0000%, Lmin=-36507.21, Lmax=-100.89
13:04:05 [ultranest] [DEBUG] iteration=31, ncalls=306350, regioncalls=0, ndraw=40, logz=-27875.93, remainder_fraction=100.0000%, Lmin=-27809.38, Lmax=-100.89
13:04:05 [ultranest] [DEBUG] iteration=61, ncalls=306350, regioncalls=0, ndraw=40, logz=-21676.41, remainder_fraction=100.0000%, Lmin=-21632.21, Lmax=-100.89
13:04:05 [ultranest] [DEBUG] iteration=98, ncalls=306350, regioncalls=0, ndraw=40, logz=-16600.85, remainder_fraction=100.0000%, Lmin=-16533.13, Lmax=-100.89
13:04:05 [ultranest] [DEBUG] iteration=135, ncalls=306350, regioncalls=0, ndraw=40, logz=-12955.87, remainder_fraction=100.0000%, Lmin=-12939.85, Lmax=-100.89
13:04:05 [ultranest] [DEBUG] iteration=157, ncalls=306350, regioncalls=0, ndraw=40, logz=-11099.06, remainder_fraction=100.0000%, Lmin=-11058.15, Lmax=-100.89
13:04:05 [ultranest] [DEBUG] iteration=160, ncalls=306350, regioncalls=0, ndraw=40, logz=-10748.32, remainder_fraction=100.0000%, Lmin=-10502.76, Lmax=-100.89
13:04:05 [ultranest] [DEBUG] iteration=183, ncalls=306350, regioncalls=0, ndraw=40, logz=-9157.92, remainder_fraction=100.0000%, Lmin=-9071.99, Lmax=-100.89
13:04:05 [ultranest] [DEBUG] iteration=206, ncalls=306350, regioncalls=0, ndraw=40, logz=-8389.25, remainder_fraction=100.0000%, Lmin=-8342.63, Lmax=-100.89
13:04:05 [ultranest] [DEBUG] iteration=227, ncalls=306350, regioncalls=0, ndraw=40, logz=-7470.27, remainder_fraction=100.0000%, Lmin=-7365.72, Lmax=-100.89
13:04:06 [ultranest] [DEBUG] iteration=253, ncalls=306350, regioncalls=0, ndraw=40, logz=-6009.43, remainder_fraction=100.0000%, Lmin=-5995.04, Lmax=-100.89
13:04:06 [ultranest] [DEBUG] iteration=290, ncalls=306350, regioncalls=0, ndraw=40, logz=-4502.80, remainder_fraction=100.0000%, Lmin=-4424.61, Lmax=-100.89
13:04:06 [ultranest] [DEBUG] iteration=316, ncalls=306350, regioncalls=0, ndraw=40, logz=-3836.21, remainder_fraction=100.0000%, Lmin=-3812.30, Lmax=-100.89
13:04:06 [ultranest] [DEBUG] iteration=320, ncalls=306350, regioncalls=0, ndraw=40, logz=-3738.40, remainder_fraction=100.0000%, Lmin=-3642.55, Lmax=-100.89
13:04:06 [ultranest] [DEBUG] iteration=356, ncalls=306350, regioncalls=0, ndraw=40, logz=-3031.49, remainder_fraction=100.0000%, Lmin=-3022.30, Lmax=-100.89
13:04:06 [ultranest] [DEBUG] iteration=358, ncalls=306350, regioncalls=0, ndraw=40, logz=-3012.35, remainder_fraction=100.0000%, Lmin=-2994.61, Lmax=-100.89
13:04:07 [ultranest] [DEBUG] iteration=370, ncalls=306350, regioncalls=0, ndraw=40, logz=-2866.30, remainder_fraction=100.0000%, Lmin=-2844.10, Lmax=-100.89
13:04:07 [ultranest] [DEBUG] iteration=400, ncalls=306350, regioncalls=0, ndraw=40, logz=-2616.52, remainder_fraction=100.0000%, Lmin=-2599.77, Lmax=-100.89
13:04:07 [ultranest] [DEBUG] iteration=437, ncalls=306350, regioncalls=0, ndraw=40, logz=-2295.18, remainder_fraction=100.0000%, Lmin=-2276.21, Lmax=-100.89
13:04:07 [ultranest] [DEBUG] iteration=474, ncalls=306350, regioncalls=0, ndraw=40, logz=-1887.14, remainder_fraction=100.0000%, Lmin=-1877.12, Lmax=-46.23
13:04:07 [ultranest] [DEBUG] iteration=480, ncalls=306350, regioncalls=0, ndraw=40, logz=-1858.59, remainder_fraction=100.0000%, Lmin=-1827.27, Lmax=-46.23
13:04:07 [ultranest] [DEBUG] iteration=518, ncalls=306350, regioncalls=0, ndraw=40, logz=-1656.33, remainder_fraction=100.0000%, Lmin=-1647.63, Lmax=-46.23
13:04:07 [ultranest] [DEBUG] iteration=556, ncalls=306350, regioncalls=0, ndraw=40, logz=-1467.33, remainder_fraction=100.0000%, Lmin=-1458.23, Lmax=-46.23
13:04:07 [ultranest] [DEBUG] iteration=593, ncalls=306350, regioncalls=0, ndraw=40, logz=-1325.75, remainder_fraction=100.0000%, Lmin=-1309.71, Lmax=-32.76
13:04:07 [ultranest] [DEBUG] iteration=631, ncalls=306350, regioncalls=0, ndraw=40, logz=-1212.67, remainder_fraction=100.0000%, Lmin=-1205.19, Lmax=-32.76
13:04:07 [ultranest] [DEBUG] iteration=640, ncalls=306350, regioncalls=0, ndraw=40, logz=-1198.22, remainder_fraction=100.0000%, Lmin=-1189.04, Lmax=-32.76
13:04:07 [ultranest] [DEBUG] iteration=678, ncalls=306350, regioncalls=0, ndraw=40, logz=-1125.92, remainder_fraction=100.0000%, Lmin=-1115.10, Lmax=-32.76
13:04:07 [ultranest] [DEBUG] iteration=711, ncalls=306350, regioncalls=0, ndraw=40, logz=-1060.11, remainder_fraction=100.0000%, Lmin=-1049.47, Lmax=-32.76
13:04:08 [ultranest] [DEBUG] iteration=716, ncalls=306350, regioncalls=0, ndraw=40, logz=-1049.67, remainder_fraction=100.0000%, Lmin=-1041.72, Lmax=-32.76
13:04:08 [ultranest] [DEBUG] iteration=749, ncalls=306350, regioncalls=0, ndraw=40, logz=-1011.79, remainder_fraction=100.0000%, Lmin=-1001.79, Lmax=-32.76
13:04:08 [ultranest] [DEBUG] iteration=787, ncalls=306350, regioncalls=0, ndraw=40, logz=-967.82, remainder_fraction=100.0000%, Lmin=-956.16, Lmax=-32.76
13:04:08 [ultranest] [DEBUG] iteration=800, ncalls=306350, regioncalls=0, ndraw=40, logz=-947.25, remainder_fraction=100.0000%, Lmin=-939.19, Lmax=-32.76
