Om Ob h ns s8 Mnu w scale_factor
3.518047336086317367e-01 6.368136303790911112e-02 7.747793689235388248e-01 8.813257468141622031e-01 8.053297388718547722e-01 5.746203025751321913e-01 -7.872499613048431488e-01 1.469244445711147762e+01
3.517726698425319709e-01 5.658112791294940547e-02 7.691108710967790030e-01 8.914971205612349792e-01 8.146010579619996639e-01 6.692195435546571813e-01 -1.008072974930874999e+00 1.481524933804220190e+01
3.157901068164419289e-01 6.115426082357211524e-02 8.042791729493841135e-01 9.518263722525890369e-01 7.962505806857986812e-01 7.205108435595282135e-01 -1.129153188458063894e+00 1.483364182191087011e+01
3.446153335135002660e-01 6.131391590852042911e-02 8.247392156112346440e-01 8.425949611361136515e-01 8.294258171636215149e-01 2.269206768424473220e-01 -9.600920789294931090e-01 1.475204006639365950e+01
3.549068859924120467e-01 4.287000346320739980e-02 7.608231136631018465e-01 8.343660540497849221e-01 8.449379242598622497e-01 6.694321350845396923e-01 -1.070018327418127857e+00 1.487396340873696232e+01
3.871717387239602681e-01 4.050766150785815173e-02 5.890717664629142591e-01 8.958436526221118523e-01 8.518533738352564999e-01 2.220009677220891042e-01 -7.607727067465732684e-01 1.478802165492556853e+01
3.473489228349828650e-01 5.492092969008902092e-02 8.143385529207389784e-01 8.736045349478820388e-01 8.235978899599182279e-01 7.727921900373900810e-01 -9.018575914633799595e-01 1.483272572159660996e+01
3.504816649451174548e-01 5.269435793962855968e-02 7.857197994369543581e-01 8.540357253120606229e-01 8.312393646860934959e-01 4.265931789913435246e-01 -8.130977423026035655e-01 1.474711463884964502e+01
3.959699813841471849e-01 3.870020060561399355e-02 5.775488949035381125e-01 9.173492636432150071e-01 8.229446232221748758e-01 4.141881898681936125e-01 -7.817102016894074135e-01 1.488717842293489113e+01
3.369288911604445547e-01 6.133944042980268851e-02 7.262940926809136055e-01 9.852109330738052506e-01 7.865671272781359358e-01 8.418923981206517526e-01 -8.644212864991780432e-01 1.468606436806397575e+01
3.612373958733735568e-01 5.970833074388360445e-02 7.347722967563118379e-01 8.845645742073700024e-01 8.302554947723671530e-01 4.294760815544294563e-01 -8.783168648799515310e-01 1.468203754232438385e+01
3.190450373089575575e-01 5.243919415244792381e-02 8.017934659377483619e-01 9.099391018841604950e-01 8.179054808354944139e-01 7.065278682069620064e-01 -1.048657292986793221e+00 1.482784449913002689e+01
3.991649841160436196e-01 4.509232725910643225e-02 5.580577929541462590e-01 9.311988413522094277e-01 8.293951187956493110e-01 2.729431005829081047e-01 -8.029977302910272785e-01 1.480859742845563787e+01
3.234990983467550540e-01 3.836985627923127085e-02 6.608948773657477016e-01 9.094679208585816355e-01 8.480064215956604201e-01 3.366428596791570804e-02 -8.413273334138411386e-01 1.475151246234540281e+01
3.388372621954918174e-01 4.734208445048750102e-02 7.137970915731943755e-01 9.082233204668617166e-01 8.232009445536148107e-01 4.755663462917942841e-01 -1.056955631868083278e+00 1.485015408778006041e+01
3.429999046043706312e-01 3.858323101930870302e-02 5.643601664803148399e-01 9.980129474091458119e-01 8.061135843554763092e-01 3.149466392287241789e-01 -1.020796705656460190e+00 1.478601405457880880e+01
4.119546254822419318e-01 3.609804836656307220e-02 6.000200009320385552e-01 8.706566800738095857e-01 8.384201748543863575e-01 4.490787666679355028e-01 -8.616751597253655692e-01 1.493986880802199657e+01
3.616064886135735845e-01 3.223605139897808836e-02 7.134935585656526635e-01 8.639448256859880715e-01 8.432267895972614946e-01 8.929167104921404974e-01 -1.009989335991719805e+00 1.485108127398593325e+01
3.584823391206376497e-01 5.136982209426970564e-02 5.965705979521713775e-01 9.628334910532028168e-01 8.190731534431930916e-01 1.696219133593140915e-01 -9.339376105120543725e-01 1.479931803412326197e+01
