logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.203664954751598125e+05 -2.203724881894465070e+05 1.364999999999999991e+00
-2.203724881894465070e+05 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.842035429856501578e+05 -1.842095381999368547e+05 1.379999999999999893e+00
-1.842095381999368547e+05 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.377529759624780563e+05 -1.377589736767647555e+05 4.000000000000000222e-01
-1.377589736767647555e+05 2.189736446898142822e+04 -7.499999999999999722e-03 4.000000000000000000e+02 -1.171046025758046599e+05 -1.171106027900913468e+05 1.004999999999999893e+00
-1.171106027900913468e+05 2.316249921977270060e+04 -1.000000000000000021e-02 4.000000000000000000e+02 -9.604873595834893058e+04 -9.605473867263561988e+04 1.985000000000000098e+00
-9.605473867263561988e+04 1.339378435428316516e+04 -1.250000000000000069e-02 4.000000000000000000e+02 -7.092642113216157304e+04 -7.093242634644826467e+04 7.600000000000000089e-01
-7.093242634644826467e+04 2.158714597424624299e+04 -1.500000000000000118e-02 4.000000000000000000e+02 -5.000758271089970367e+04 -5.001359042518639762e+04 8.800000000000000044e-01
-5.001359042518639762e+04 2.927847090336011752e+04 -1.750000000000000167e-02 4.000000000000000000e+02 -4.275471278790939687e+04 -4.276072300219608587e+04 1.659999999999999920e+00
-4.276072300219608587e+04 1.573585731105182458e+04 -2.000000000000000042e-02 4.000000000000000000e+02 -3.419244579621239973e+04 -3.419845851049909106e+04 8.349999999999999645e-01
-3.419845851049909106e+04 4.036584020729192162e+03 -2.249999999999999917e-02 4.000000000000000000e+02 -3.023156064552477619e+04 -3.023757585981146622e+04 4.000000000000000083e-02
-3.023757585981146622e+04 3.585222576468944681e+03 -2.499999999999999792e-02 4.000000000000000000e+02 -2.526650503516539538e+04 -2.527252274945208774e+04 1.189999999999999947e+00
-2.527252274945208774e+04 5.201769312496349812e+03 -2.749999999999999667e-02 4.000000000000000000e+02 -2.388182465832107118e+04 -2.388784487260776223e+04 8.950000000000000178e-01
-2.388784487260776223e+04 2.808009801659333334e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -2.373875276398463029e+04 -2.374477547827132003e+04 2.849999999999999756e-01
-2.374477547827132003e+04 5.461975318837330633e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -1.888152664164285670e+04 -1.888755185592954876e+04 4.699999999999999734e-01
-1.888755185592954876e+04 2.476985530053891580e+03 -3.499999999999999639e-02 4.000000000000000000e+02 -1.619198916030514010e+04 -1.619801687459183086e+04 2.550000000000000044e-01
