weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -2.203664954751598125e+05 2.005259113230060120e-01 4.682717917536288049e-02 7.676732510602921611e-01 9.270824769353180894e-01 6.924681316414358356e-01 2.959734354976651938e-01 -1.206637958850769410e+00 2.362565586809002127e+01
0.000000000000000000e+00 -1.842035429856501578e+05 1.437126414540138841e-01 4.356574404459979261e-02 5.734218772304786604e-01 9.156001903587462909e-01 9.097900217565942915e-01 9.280173168784497939e-01 -1.152882773101128411e+00 2.035496269275487435e+01
0.000000000000000000e+00 -1.377529759624780563e+05 1.411656240598392620e-01 6.303487632171497768e-02 5.482042952336979580e-01 8.101741586310995391e-01 7.221539139001238450e-01 4.161427401594682829e-01 -8.888462212329613088e-01 2.641716563326638223e+01
0.000000000000000000e+00 -1.171046025758046599e+05 1.302115691014102961e-01 4.965666183858804400e-02 7.810994167018554535e-01 1.177244801459953694e+00 8.626886415331782576e-01 8.922935099523585656e-01 -1.293817731315399122e+00 1.934974862938119244e+01
0.000000000000000000e+00 -9.604873595834893058e+04 1.611056224640168844e-01 6.423999409349084866e-02 6.146660043955355368e-01 8.268075470927749304e-01 9.189920551770847101e-01 8.994325933924519623e-01 -1.155100227404869839e+00 1.913285366241150953e+01
0.000000000000000000e+00 -7.092642113216157304e+04 1.110458490435592555e-01 6.262216071224629976e-02 8.256379580193342616e-01 1.142902156593753826e+00 9.378376515381583456e-01 5.187900368825816289e-01 -8.956379280590689440e-01 2.091795953058775837e+01
0.000000000000000000e+00 -5.000758271089970367e+04 2.062820947701073659e-01 4.045248552576403978e-02 6.698897401372986282e-01 1.130337256162618376e+00 6.055811081671280682e-01 8.526887002492687939e-01 -1.289378359006432051e+00 2.525081396490277541e+01
0.000000000000000000e+00 -4.275471278790939687e+04 1.515172200575286010e-01 5.266185942110578055e-02 5.752823520768249876e-01 8.974976000890121375e-01 9.698950800951490203e-01 3.035543191083331926e-01 -1.276187281467241252e+00 1.825061158423559959e+01
0.000000000000000000e+00 -3.419244579621239973e+04 3.232613556928339293e-01 3.513326598663639444e-02 7.702934153557762231e-01 8.118502095078079517e-01 6.078841336444967824e-01 1.563431070864303996e-01 -1.239616772646837228e+00 2.550029056945459871e+01
0.000000000000000000e+00 -3.023156064552477619e+04 2.764242685499178620e-01 3.926468663135147114e-02 8.488520830309402854e-01 8.204769115824166459e-01 9.047108754645354356e-01 6.385904001762970905e-01 -1.237087519191279128e+00 1.930322838144458331e+01
