weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -2.203664954751598125e+05 2.513147783075150299e-01 4.206794793840720192e-01 6.691831276507302917e-01 3.177061923382950015e-01 2.311703291035897001e-01 2.959734354976651938e-01 1.556034019153842429e-01 2.362565586809002305e-01
0.000000000000000000e+00 -1.842035429856501578e+05 1.092816036350346964e-01 3.391436011149948637e-01 1.835546930761966511e-01 2.890004758968656162e-01 7.744750543914857843e-01 9.280173168784497939e-01 2.451953781647858710e-01 2.035496269275487435e-01
0.000000000000000000e+00 -1.377529759624780563e+05 1.029140601495981411e-01 8.258719080428744697e-01 1.205107380842448395e-01 2.543539657774862572e-02 3.053847847503097235e-01 4.161427401594682829e-01 6.852562979450644853e-01 2.641716563326638179e-01
0.000000000000000000e+00 -1.171046025758046599e+05 7.552892275352574014e-02 4.914165459647010792e-01 7.027485417546387447e-01 9.431120036498839010e-01 6.567216038329457550e-01 8.922935099523585656e-01 1.030378114100138909e-02 1.934974862938119156e-01
0.000000000000000000e+00 -9.604873595834893058e+04 1.527640561600421831e-01 8.559998523372713830e-01 2.866650109888387865e-01 6.701886773193732605e-02 7.974801379427118864e-01 8.994325933924519623e-01 2.414996209918837122e-01 1.913285366241150864e-01
0.000000000000000000e+00 -7.092642113216157304e+04 2.761462260889813169e-02 8.155540178061575496e-01 8.140948950483354318e-01 8.572553914843843437e-01 8.445941288453959750e-01 5.187900368825816289e-01 6.739367865682184267e-01 2.091795953058775970e-01
0.000000000000000000e+00 -5.000758271089970367e+04 2.657052369252683732e-01 2.613121381441009250e-01 4.247243503432466261e-01 8.258431404065456061e-01 1.395277041782017058e-02 8.526887002492687939e-01 1.770273498927998901e-02 2.525081396490277408e-01
0.000000000000000000e+00 -4.275471278790939687e+04 1.287930501438214748e-01 5.665464855276445277e-01 1.882058801920625246e-01 2.437440002225302882e-01 9.247377002378726063e-01 3.035543191083331926e-01 3.968786422126457936e-02 1.825061158423559871e-01
0.000000000000000000e+00 -3.419244579621239973e+04 5.581533892320847956e-01 1.283316496659099304e-01 6.757335383894405023e-01 2.962552376951965716e-02 1.971033411124212265e-02 1.563431070864303996e-01 1.006387122552714342e-01 2.550029056945459782e-01
0.000000000000000000e+00 -3.023156064552477619e+04 4.410606713747946550e-01 2.316171657837867714e-01 8.721302075773506024e-01 5.119227895604139267e-02 7.617771886613387000e-01 6.385904001762970905e-01 1.048541346812016384e-01 1.930322838144458153e-01
