11:22:16 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/MCMC/BC_Pk/result/fza-fof-rsdz, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:22:16 [ultranest] [INFO] Sampling 400 live points from prior ...
11:22:23 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:22:23 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:22:23 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:22:23 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-220366.50, Lmax=-65.98
11:22:23 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-70932.43, remainder_fraction=100.0000%, Lmin=-50007.58, Lmax=-65.98
11:22:23 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-23887.84, remainder_fraction=100.0000%, Lmin=-23738.75, Lmax=-65.98
11:22:23 [ultranest] [DEBUG] iteration=17, ncalls=420, regioncalls=800, ndraw=40, logz=-14450.18, remainder_fraction=100.0000%, Lmin=-12749.61, Lmax=-65.98
11:22:23 [ultranest] [DEBUG] iteration=22, ncalls=426, regioncalls=1040, ndraw=40, logz=-6765.80, remainder_fraction=100.0000%, Lmin=-5963.61, Lmax=-65.98
11:22:23 [ultranest] [DEBUG] iteration=27, ncalls=432, regioncalls=1280, ndraw=40, logz=-4048.89, remainder_fraction=100.0000%, Lmin=-3913.18, Lmax=-65.98
11:22:23 [ultranest] [DEBUG] iteration=33, ncalls=439, regioncalls=1560, ndraw=40, logz=-3128.13, remainder_fraction=100.0000%, Lmin=-2625.17, Lmax=-65.98
11:22:24 [ultranest] [DEBUG] iteration=38, ncalls=445, regioncalls=1800, ndraw=40, logz=-2414.37, remainder_fraction=100.0000%, Lmin=-2326.25, Lmax=-65.98
11:22:24 [ultranest] [DEBUG] iteration=40, ncalls=448, regioncalls=1920, ndraw=40, logz=-2329.29, remainder_fraction=100.0000%, Lmin=-2287.24, Lmax=-65.98
11:22:24 [ultranest] [DEBUG] iteration=44, ncalls=455, regioncalls=2200, ndraw=40, logz=-2281.06, remainder_fraction=100.0000%, Lmin=-2269.65, Lmax=-65.98
11:22:24 [ultranest] [DEBUG] iteration=50, ncalls=461, regioncalls=2440, ndraw=40, logz=-1865.24, remainder_fraction=100.0000%, Lmin=-1846.71, Lmax=-65.98
11:22:24 [ultranest] [DEBUG] iteration=55, ncalls=467, regioncalls=2680, ndraw=40, logz=-1789.54, remainder_fraction=100.0000%, Lmin=-1754.25, Lmax=-65.98
11:22:24 [ultranest] [DEBUG] iteration=61, ncalls=473, regioncalls=2920, ndraw=40, logz=-1687.86, remainder_fraction=100.0000%, Lmin=-1674.47, Lmax=-65.98
11:22:24 [ultranest] [DEBUG] iteration=67, ncalls=479, regioncalls=3160, ndraw=40, logz=-1576.23, remainder_fraction=100.0000%, Lmin=-1558.86, Lmax=-65.98
11:22:24 [ultranest] [DEBUG] iteration=71, ncalls=487, regioncalls=3480, ndraw=40, logz=-1533.02, remainder_fraction=100.0000%, Lmin=-1498.95, Lmax=-65.98
11:22:24 [ultranest] [DEBUG] iteration=76, ncalls=493, regioncalls=3720, ndraw=40, logz=-1456.72, remainder_fraction=100.0000%, Lmin=-1427.75, Lmax=-65.98
11:22:25 [ultranest] [DEBUG] iteration=80, ncalls=498, regioncalls=3920, ndraw=40, logz=-1394.03, remainder_fraction=100.0000%, Lmin=-1384.61, Lmax=-65.98
11:22:25 [ultranest] [DEBUG] iteration=86, ncalls=504, regioncalls=4160, ndraw=40, logz=-1295.44, remainder_fraction=100.0000%, Lmin=-1267.79, Lmax=-65.98
11:22:25 [ultranest] [DEBUG] iteration=90, ncalls=508, regioncalls=4320, ndraw=40, logz=-1258.03, remainder_fraction=100.0000%, Lmin=-1248.77, Lmax=-65.98
11:22:25 [ultranest] [DEBUG] iteration=96, ncalls=514, regioncalls=4560, ndraw=40, logz=-1210.83, remainder_fraction=100.0000%, Lmin=-1204.59, Lmax=-65.98
11:22:25 [ultranest] [DEBUG] iteration=101, ncalls=520, regioncalls=4800, ndraw=40, logz=-1173.73, remainder_fraction=100.0000%, Lmin=-1166.30, Lmax=-65.98
11:22:25 [ultranest] [DEBUG] iteration=107, ncalls=526, regioncalls=5040, ndraw=40, logz=-1112.02, remainder_fraction=100.0000%, Lmin=-1104.33, Lmax=-65.98
11:22:25 [ultranest] [DEBUG] iteration=110, ncalls=532, regioncalls=5280, ndraw=40, logz=-1083.44, remainder_fraction=100.0000%, Lmin=-1063.23, Lmax=-65.98
11:22:25 [ultranest] [DEBUG] iteration=116, ncalls=538, regioncalls=5520, ndraw=40, logz=-1003.21, remainder_fraction=100.0000%, Lmin=-989.36, Lmax=-65.98
11:22:25 [ultranest] [DEBUG] iteration=120, ncalls=543, regioncalls=5720, ndraw=40, logz=-984.13, remainder_fraction=100.0000%, Lmin=-975.95, Lmax=-65.98
11:22:25 [ultranest] [DEBUG] iteration=126, ncalls=549, regioncalls=5960, ndraw=40, logz=-953.99, remainder_fraction=100.0000%, Lmin=-947.07, Lmax=-65.98
11:22:26 [ultranest] [DEBUG] iteration=130, ncalls=556, regioncalls=6240, ndraw=40, logz=-935.27, remainder_fraction=100.0000%, Lmin=-923.59, Lmax=-65.98
11:22:26 [ultranest] [DEBUG] iteration=134, ncalls=562, regioncalls=6480, ndraw=40, logz=-910.98, remainder_fraction=100.0000%, Lmin=-905.01, Lmax=-65.98
11:22:26 [ultranest] [DEBUG] iteration=138, ncalls=569, regioncalls=6760, ndraw=40, logz=-902.44, remainder_fraction=100.0000%, Lmin=-886.04, Lmax=-65.98
11:22:26 [ultranest] [DEBUG] iteration=141, ncalls=575, regioncalls=7000, ndraw=40, logz=-882.18, remainder_fraction=100.0000%, Lmin=-874.64, Lmax=-65.98
11:22:26 [ultranest] [DEBUG] iteration=145, ncalls=581, regioncalls=7240, ndraw=40, logz=-868.43, remainder_fraction=100.0000%, Lmin=-859.97, Lmax=-65.98
11:22:26 [ultranest] [DEBUG] iteration=149, ncalls=587, regioncalls=7480, ndraw=40, logz=-860.91, remainder_fraction=100.0000%, Lmin=-848.93, Lmax=-65.98
11:22:26 [ultranest] [DEBUG] iteration=154, ncalls=593, regioncalls=7720, ndraw=40, logz=-833.47, remainder_fraction=100.0000%, Lmin=-823.76, Lmax=-65.98
11:22:26 [ultranest] [DEBUG] iteration=158, ncalls=601, regioncalls=8040, ndraw=40, logz=-819.20, remainder_fraction=100.0000%, Lmin=-812.80, Lmax=-65.98
11:22:26 [ultranest] [DEBUG] iteration=160, ncalls=609, regioncalls=8360, ndraw=40, logz=-813.00, remainder_fraction=100.0000%, Lmin=-806.00, Lmax=-65.98
11:22:27 [ultranest] [DEBUG] iteration=164, ncalls=617, regioncalls=8680, ndraw=40, logz=-797.26, remainder_fraction=100.0000%, Lmin=-789.48, Lmax=-65.98
11:22:27 [ultranest] [DEBUG] iteration=169, ncalls=624, regioncalls=8960, ndraw=40, logz=-776.81, remainder_fraction=100.0000%, Lmin=-767.84, Lmax=-65.98
11:22:27 [ultranest] [DEBUG] iteration=173, ncalls=630, regioncalls=9200, ndraw=40, logz=-763.87, remainder_fraction=100.0000%, Lmin=-749.27, Lmax=-65.98
11:22:27 [ultranest] [DEBUG] iteration=177, ncalls=635, regioncalls=9400, ndraw=40, logz=-740.80, remainder_fraction=100.0000%, Lmin=-728.11, Lmax=-65.98
11:22:27 [ultranest] [DEBUG] iteration=180, ncalls=639, regioncalls=9560, ndraw=40, logz=-725.52, remainder_fraction=100.0000%, Lmin=-718.86, Lmax=-65.98
11:22:27 [ultranest] [DEBUG] iteration=185, ncalls=647, regioncalls=9880, ndraw=40, logz=-718.19, remainder_fraction=100.0000%, Lmin=-709.56, Lmax=-65.98
11:22:27 [ultranest] [DEBUG] iteration=190, ncalls=653, regioncalls=10120, ndraw=40, logz=-707.69, remainder_fraction=100.0000%, Lmin=-700.73, Lmax=-65.98
11:22:27 [ultranest] [DEBUG] iteration=194, ncalls=660, regioncalls=10400, ndraw=40, logz=-699.76, remainder_fraction=100.0000%, Lmin=-692.70, Lmax=-65.98
11:22:28 [ultranest] [DEBUG] iteration=197, ncalls=666, regioncalls=10640, ndraw=40, logz=-695.88, remainder_fraction=100.0000%, Lmin=-688.72, Lmax=-65.98
11:22:28 [ultranest] [DEBUG] iteration=200, ncalls=670, regioncalls=10800, ndraw=40, logz=-690.35, remainder_fraction=100.0000%, Lmin=-683.12, Lmax=-65.98
11:22:28 [ultranest] [DEBUG] iteration=203, ncalls=678, regioncalls=11120, ndraw=40, logz=-687.00, remainder_fraction=100.0000%, Lmin=-680.89, Lmax=-65.98
11:22:28 [ultranest] [DEBUG] iteration=206, ncalls=687, regioncalls=11480, ndraw=40, logz=-681.14, remainder_fraction=100.0000%, Lmin=-672.54, Lmax=-65.98
11:22:28 [ultranest] [DEBUG] iteration=209, ncalls=694, regioncalls=11760, ndraw=40, logz=-677.15, remainder_fraction=100.0000%, Lmin=-670.28, Lmax=-65.98
11:22:28 [ultranest] [DEBUG] iteration=212, ncalls=701, regioncalls=12040, ndraw=40, logz=-670.46, remainder_fraction=100.0000%, Lmin=-661.70, Lmax=-65.98
11:22:28 [ultranest] [DEBUG] iteration=216, ncalls=709, regioncalls=12360, ndraw=40, logz=-662.80, remainder_fraction=100.0000%, Lmin=-656.33, Lmax=-65.98
11:22:28 [ultranest] [DEBUG] iteration=220, ncalls=715, regioncalls=12600, ndraw=40, logz=-659.21, remainder_fraction=100.0000%, Lmin=-651.88, Lmax=-65.98
11:22:28 [ultranest] [DEBUG] iteration=224, ncalls=722, regioncalls=12880, ndraw=40, logz=-655.05, remainder_fraction=100.0000%, Lmin=-648.11, Lmax=-65.98
11:22:29 [ultranest] [DEBUG] iteration=228, ncalls=732, regioncalls=13280, ndraw=40, logz=-651.59, remainder_fraction=100.0000%, Lmin=-644.40, Lmax=-65.98
11:22:29 [ultranest] [DEBUG] iteration=233, ncalls=738, regioncalls=13520, ndraw=40, logz=-648.11, remainder_fraction=100.0000%, Lmin=-641.99, Lmax=-65.98
11:22:29 [ultranest] [DEBUG] iteration=236, ncalls=746, regioncalls=13840, ndraw=40, logz=-646.71, remainder_fraction=100.0000%, Lmin=-639.52, Lmax=-65.98
11:22:29 [ultranest] [DEBUG] iteration=240, ncalls=751, regioncalls=14040, ndraw=40, logz=-643.00, remainder_fraction=100.0000%, Lmin=-635.40, Lmax=-65.98
11:22:29 [ultranest] [DEBUG] iteration=242, ncalls=760, regioncalls=14400, ndraw=40, logz=-639.86, remainder_fraction=100.0000%, Lmin=-632.48, Lmax=-65.98
11:22:29 [ultranest] [DEBUG] iteration=244, ncalls=770, regioncalls=14800, ndraw=40, logz=-636.95, remainder_fraction=100.0000%, Lmin=-624.56, Lmax=-65.98
11:22:29 [ultranest] [DEBUG] iteration=249, ncalls=776, regioncalls=15040, ndraw=40, logz=-622.29, remainder_fraction=100.0000%, Lmin=-614.70, Lmax=-65.98
11:22:29 [ultranest] [DEBUG] iteration=252, ncalls=783, regioncalls=15320, ndraw=40, logz=-619.92, remainder_fraction=100.0000%, Lmin=-611.55, Lmax=-65.98
11:22:30 [ultranest] [DEBUG] iteration=256, ncalls=790, regioncalls=15600, ndraw=40, logz=-615.79, remainder_fraction=100.0000%, Lmin=-609.24, Lmax=-65.98
11:22:30 [ultranest] [DEBUG] iteration=260, ncalls=796, regioncalls=15840, ndraw=40, logz=-606.25, remainder_fraction=100.0000%, Lmin=-599.25, Lmax=-65.98
11:22:30 [ultranest] [DEBUG] iteration=262, ncalls=804, regioncalls=16160, ndraw=40, logz=-603.77, remainder_fraction=100.0000%, Lmin=-594.11, Lmax=-65.98
11:22:30 [ultranest] [DEBUG] iteration=265, ncalls=813, regioncalls=16520, ndraw=40, logz=-598.92, remainder_fraction=100.0000%, Lmin=-591.47, Lmax=-65.98
11:22:30 [ultranest] [DEBUG] iteration=270, ncalls=822, regioncalls=16880, ndraw=40, logz=-594.62, remainder_fraction=100.0000%, Lmin=-588.22, Lmax=-65.98
