Om Ob h ns s8 Mnu w scale_factor
3.561659944086601470e-01 5.317804206961701530e-02 6.537031651370317498e-01 9.366913397853982026e-01 8.299666901707695166e-01 3.950176236811791530e-01 -9.454269472790681750e-01 1.473252437768413081e+01
3.671635794040065681e-01 4.237077904792993510e-02 6.103013190216972639e-01 9.048259136704972505e-01 8.554096856522286352e-01 5.532968738723964552e-02 -9.252913865202390120e-01 1.488128395883142296e+01
2.985261156172835939e-01 5.174072303869223233e-02 6.896862198670796751e-01 1.009679370317860370e+00 8.034532652843773270e-01 3.462995485498776560e-01 -1.202169134715988630e+00 1.476015705538025102e+01
3.923594947179739334e-01 4.965546839149806435e-02 6.430800088411290361e-01 8.793444334556308473e-01 8.365658040252628158e-01 4.672235486033528007e-01 -8.519071331545418069e-01 1.486569022360421855e+01
3.571223412502275707e-01 5.159530603213488553e-02 6.591505517474871567e-01 9.228456874066088833e-01 8.352229397058439364e-01 2.810189966910875414e-01 -1.040433527230409716e+00 1.478536317154389224e+01
3.705663720320522270e-01 4.437502769078170706e-02 6.405912254457379884e-01 8.886097435243925924e-01 8.696189257491071523e-01 2.020852180016706190e-01 -1.260310864493156435e+00 1.489974594145086506e+01
4.331782618297963516e-01 4.243727800296313163e-02 5.979391971460634725e-01 8.620381914855618222e-01 8.276888514776886696e-01 8.554073635342540616e-01 -9.490503712999180941e-01 1.488535874765164735e+01
3.238615205320437562e-01 6.220101333090957696e-02 8.224266794627239641e-01 9.145504084102005216e-01 8.021073066896780013e-01 1.702939000293242078e-01 -8.017955094606086242e-01 1.481502796961447821e+01
3.185302920951034178e-01 4.701045827898415325e-02 6.511874409832310029e-01 9.800111613843174307e-01 8.099516478983502799e-01 2.153430117557434964e-01 -9.068866767624861325e-01 1.475272327721943455e+01
3.614207493771367519e-01 6.387267338117547100e-02 7.305185158340923302e-01 9.360423561821989979e-01 7.977163520188458312e-01 8.480759404903668308e-01 -8.303340761513869905e-01 1.471005459060593346e+01
3.857107121241547532e-01 4.816106890248483818e-02 5.944924221777244666e-01 9.546030027879711666e-01 8.184550933763328207e-01 6.889226776388921447e-01 -9.259361919209214697e-01 1.477538472516360990e+01
3.891339632613110000e-01 6.108553185096666366e-02 6.886679166802170959e-01 8.359157000732204690e-01 8.618454819038312564e-01 1.365440563145677300e-01 -1.178313003874747134e+00 1.490117235869969647e+01
3.581743071869051276e-01 3.023859526235255987e-02 6.536081094826904359e-01 9.409823364086711273e-01 8.377490092982293746e-01 9.853199312215115135e-01 -9.142209623496235782e-01 1.472079889346106185e+01
3.971858551088623956e-01 4.936311106338507615e-02 5.955565033551561971e-01 9.485984090744129515e-01 8.088067004403198812e-01 8.531585756608662807e-01 -7.433501257539374407e-01 1.471193022638965253e+01
