logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.893762142413859256e+05 -4.893822069556725910e+05 1.790000000000000036e+00
-4.893822069556725910e+05 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.937447557829739526e+05 -2.937507509972606204e+05 2.650000000000000133e-01
-2.937507509972606204e+05 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.913860691239609150e+05 -2.913920668382475851e+05 1.600000000000000089e+00
-2.913920668382475851e+05 nan -7.499999999999999722e-03 4.000000000000000000e+02 -2.166057741722023347e+05 -2.166117743864890363e+05 1.354999999999999982e+00
-2.166117743864890363e+05 3.686753038511687191e+04 -1.000000000000000021e-02 4.000000000000000000e+02 -1.942097092830609763e+05 -1.942157119973476802e+05 8.299999999999999600e-01
-1.942157119973476802e+05 3.990754105645704840e+04 -1.250000000000000069e-02 4.000000000000000000e+02 -1.686681349436671007e+05 -1.686741401579537778e+05 1.425000000000000044e+00
-1.686741401579537778e+05 3.391712459417002538e+04 -1.500000000000000118e-02 4.000000000000000000e+02 -1.563411423568795726e+05 -1.563471500711662520e+05 4.600000000000000200e-01
-1.563471500711662520e+05 6.163379456553416276e+03 -1.750000000000000167e-02 4.000000000000000000e+02 -1.069082547463127266e+05 -1.069142649605994229e+05 2.800000000000000266e-01
-1.069142649605994229e+05 2.578356817947894888e+04 -2.000000000000000042e-02 4.000000000000000000e+02 -7.204547002086516295e+04 -7.205148273515186156e+04 8.349999999999999645e-01
-7.205148273515186156e+04 1.299213602968125633e+04 -2.249999999999999917e-02 4.000000000000000000e+02 -5.743765239557339373e+04 -5.744366760986008740e+04 7.199999999999999734e-01
-5.744366760986008740e+04 7.304181281708351889e+03 -2.499999999999999792e-02 4.000000000000000000e+02 -5.111833618024459429e+04 -5.112435389453128300e+04 9.250000000000000444e-01
-5.112435389453128300e+04 8.925360987692269191e+03 -2.749999999999999667e-02 4.000000000000000000e+02 -4.811798771287473937e+04 -4.812400792716143042e+04 8.000000000000000444e-01
-4.812400792716143042e+04 1.479241922845793624e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -4.379580350722699222e+04 -4.380182622151368560e+04 1.120000000000000107e+00
-4.380182622151368560e+04 3.163762733865366044e+03 -3.249999999999999417e-02 4.000000000000000000e+02 -3.964446100514729915e+04 -3.965048621943398757e+04 7.700000000000000178e-01
-3.965048621943398757e+04 2.688868460893560496e+03 -3.499999999999999639e-02 4.000000000000000000e+02 -3.905018735961385391e+04 -3.905621507390054467e+04 6.350000000000000089e-01
-3.905621507390054467e+04 2.865834746643089602e+03 -3.749999999999999861e-02 4.000000000000000000e+02 -3.607206484598224779e+04 -3.607809506026894087e+04 1.804999999999999938e+00
-3.607809506026894087e+04 2.774317592573574075e+03 -4.000000000000000083e-02 4.000000000000000000e+02 -3.598419719820781756e+04 -3.599022991249450570e+04 1.080000000000000071e+00
-3.599022991249450570e+04 2.912101659117732652e+03 -4.250000000000000305e-02 4.000000000000000000e+02 -3.247224003375908433e+04 -3.247827524804577479e+04 1.350000000000000089e-01
-3.247827524804577479e+04 1.739930914684056461e+03 -4.500000000000000527e-02 4.000000000000000000e+02 -3.188704883298071945e+04 -3.189308654726741224e+04 6.099999999999999867e-01
-3.189308654726741224e+04 1.730288885169881041e+03 -4.750000000000000749e-02 4.000000000000000000e+02 -3.113065622306758814e+04 -3.113669643735427962e+04 1.499999999999999944e-01
-3.113669643735427962e+04 1.350966279522694094e+03 -5.000000000000000971e-02 4.000000000000000000e+02 -3.061545432970929323e+04 -3.062149704399598340e+04 1.350000000000000089e-01
-3.062149704399598340e+04 2.231722461750574666e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -2.989087990060238371e+04 -2.989692511488907621e+04 4.949999999999999956e-01
-2.989692511488907621e+04 4.228990067685351733e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -2.969782021131572037e+04 -2.970386792560241156e+04 9.250000000000000444e-01
-2.970386792560241156e+04 2.537449978666865888e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -2.815848245924618459e+04 -2.816453267353287447e+04 1.449999999999999956e+00
-2.816453267353287447e+04 8.273121482089259189e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -2.798430631544460266e+04 -2.799035902973129487e+04 6.600000000000000311e-01
-2.799035902973129487e+04 4.690540188948982632e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -2.757801997615856089e+04 -2.758407519044525179e+04 4.949999999999999956e-01
-2.758407519044525179e+04 5.493561817254712878e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -2.738430094137933702e+04 -2.739035865566602661e+04 1.449999999999999956e+00
-2.739035865566602661e+04 6.402386613389869581e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -2.708437743376553044e+04 -2.709043764805222236e+04 1.094999999999999973e+00
-2.709043764805222236e+04 7.275297909607545535e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -2.267021149653058455e+04 -2.267627421081727516e+04 6.400000000000000133e-01
-2.267627421081727516e+04 1.739310761211969293e+03 -7.250000000000002276e-02 4.000000000000000000e+02 -2.207733420547920105e+04 -2.208339941976589398e+04 1.120000000000000107e+00
-2.208339941976589398e+04 1.847114557864904782e+03 -7.500000000000002498e-02 4.000000000000000000e+02 -2.164098118970979704e+04 -2.164704890399648866e+04 5.949999999999999734e-01
-2.164704890399648866e+04 1.630989513379557138e+03 -7.750000000000002720e-02 4.000000000000000000e+02 -1.916709936814028697e+04 -1.917316958242697729e+04 1.135000000000000009e+00
