weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -4.893762142413859256e+05 1.856074140102141889e-01 4.259074637951968528e-02 5.149192987898389973e-01 1.016759950144263236e+00 7.233487856679078343e-01 9.034096598535288347e-01 -9.179533480397934486e-01 2.242676679920911909e+01
0.000000000000000000e+00 -2.937447557829739526e+05 1.534687480116110336e-01 6.399098064076913506e-02 7.843147690970971864e-01 8.212058772635846271e-01 6.701245825691076741e-01 6.771156720341037216e-01 -8.779521849311457959e-01 2.220923502776277303e+01
0.000000000000000000e+00 -2.913860691239609150e+05 1.041143618606016202e-01 5.727418625217763071e-02 5.968931209412123851e-01 9.757466298846729780e-01 6.014410734952472248e-01 8.241900092094913699e-01 -7.214749389388782630e-01 2.543750782720022130e+01
0.000000000000000000e+00 -2.166057741722023347e+05 1.227729080100518344e-01 5.073516990863262410e-02 6.177469218869919843e-01 8.016645922489759046e-01 9.289812355587858672e-01 9.298317623676228827e-01 -1.147256166145639078e+00 2.045803535836969900e+01
0.000000000000000000e+00 -1.942097092830609763e+05 1.873964639364686102e-01 4.773187897388000978e-02 5.090916350358134501e-01 9.074723423169526182e-01 6.798789536490539298e-01 4.331865439016120423e-01 -1.254091783770729496e+00 2.202426235799587317e+01
0.000000000000000000e+00 -1.686681349436671007e+05 2.217927971750326133e-01 5.226606157552560195e-02 8.194863811293346956e-01 8.076509306989188008e-01 7.564003368107341529e-01 9.225638258747246301e-01 -1.191746705793979899e+00 2.089129584456602728e+01
0.000000000000000000e+00 -1.563411423568795726e+05 1.911666061572615816e-01 6.150237381399228931e-02 5.252727317184664457e-01 1.174031329356082454e+00 7.447084319460520740e-01 1.721737382831626251e-01 -8.426440419552903016e-01 1.965584124921265641e+01
0.000000000000000000e+00 -1.069082547463127266e+05 3.026275693186884497e-01 5.439483456787243265e-02 6.881248605813894414e-01 1.162206201400922456e+00 8.469967030494446325e-01 5.950005014512145252e-01 -8.529384605166843158e-01 1.948856669602081482e+01
0.000000000000000000e+00 -7.204547002086516295e+04 1.489965516590482653e-01 5.992960057923349404e-02 7.359384036186877864e-01 8.136497478355659840e-01 7.386710405637429977e-01 7.601986531584217222e-01 -1.231016626623586685e+00 1.991668524232539284e+01
0.000000000000000000e+00 -5.743765239557339373e+04 1.694121062515411280e-01 4.551597667391384106e-02 5.964544302480980775e-01 1.108165010478467494e+00 8.478795975743008695e-01 8.410298815234026337e-01 -7.745952005485481351e-01 1.768913051107157131e+01
0.000000000000000000e+00 -5.111833618024459429e+04 2.561947101588204490e-01 3.901663845611812870e-02 6.261567128699190299e-01 8.102953737329829931e-01 7.713874361654917688e-01 1.944210973532989328e-02 -7.984289433374637257e-01 1.984848890013613953e+01
0.000000000000000000e+00 -4.811798771287473937e+04 3.741991857685436074e-01 6.814101888602289159e-02 8.772302551637938262e-01 1.063264473068936011e+00 7.889791599573904302e-01 3.927680076936800324e-01 -1.224936265989239992e+00 1.970811379664016982e+01
0.000000000000000000e+00 -4.379580350722699222e+04 1.822658794539519789e-01 6.426969402957119493e-02 7.070855198444908618e-01 8.614970576740048624e-01 9.527518906096380524e-01 2.078952759451209165e-01 -8.388907247448249560e-01 2.603526497821717811e+01
0.000000000000000000e+00 -3.964446100514729915e+04 1.462279957919470630e-01 6.902859172388312037e-02 5.237404213537704134e-01 9.216610540997315359e-01 9.822872791182776231e-01 7.938223262984257511e-01 -1.233107228087079843e+00 2.541585905103283949e+01
0.000000000000000000e+00 -3.905018735961385391e+04 2.583097199935200927e-01 6.375368827062924404e-02 5.586181688439484372e-01 1.126928117752327152e+00 9.593260113757435814e-01 3.426782439325171126e-02 -1.235068695904381286e+00 2.054579222103660641e+01
0.000000000000000000e+00 -3.607206484598224779e+04 1.897217004012714536e-01 6.915810795581556203e-02 8.371401880949648211e-01 8.155628424935164045e-01 7.261679405789183139e-01 8.897374569279891121e-01 -7.626363362097989818e-01 2.636003552758045032e+01
0.000000000000000000e+00 -3.598419719820781756e+04 1.062769565756531281e-01 6.702002739410498067e-02 5.878900274021539030e-01 9.851571707858917115e-01 6.311213084279266861e-01 8.220156127927573664e-01 -1.045932503399202851e+00 2.750221127072218863e+01
0.000000000000000000e+00 -3.247224003375908433e+04 1.438968944475959022e-01 4.893095645737158966e-02 7.182714041911172353e-01 9.517879290258028924e-01 9.926296138945096548e-01 2.007858512141854623e-01 -8.845571248645316409e-01 2.837170142788312432e+01
