weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -4.893762142413859256e+05 2.140185350255354724e-01 3.147686594879921529e-01 3.729824697459749316e-02 5.418998753606577568e-01 3.083719641697695302e-01 9.034096598535288347e-01 6.367444199336778077e-01 2.242676679920911909e-01
0.000000000000000000e+00 -2.937447557829739526e+05 1.336718700290275841e-01 8.497745160192283764e-01 7.107869227427429104e-01 5.301469315896156775e-02 1.753114564227692407e-01 6.771156720341037216e-01 7.034130251147571178e-01 2.220923502776277481e-01
0.000000000000000000e+00 -2.913860691239609150e+05 1.028590465150402977e-02 6.818546563044408648e-01 2.422328023530309071e-01 4.393665747116822784e-01 3.602683738118117596e-03 8.241900092094913699e-01 9.642084351018695987e-01 2.543750782720022308e-01
0.000000000000000000e+00 -2.166057741722023347e+05 5.693227002512957213e-02 5.183792477158156720e-01 2.943673047174798496e-01 4.161480622439706067e-03 8.224530888969647791e-01 9.298317623676228827e-01 2.545730564239350180e-01 2.045803535836969722e-01
0.000000000000000000e+00 -1.942097092830609763e+05 2.184911598411715117e-01 4.432969743470002166e-01 2.272908758953362529e-02 2.686808557923815455e-01 1.996973841226347135e-01 4.331865439016120423e-01 7.651369371545080345e-02 2.202426235799587184e-01
0.000000000000000000e+00 -1.686681349436671007e+05 3.044819929375814915e-01 5.566515393881399376e-01 7.987159528233368500e-01 1.912732674729678006e-02 3.910008420268354934e-01 9.225638258747246301e-01 1.804221570100335015e-01 2.089129584456602684e-01
0.000000000000000000e+00 -1.563411423568795726e+05 2.279165153931539400e-01 7.875593453498072050e-01 6.318182929616622534e-02 9.350783233902058011e-01 3.617710798651302406e-01 1.721737382831626251e-01 7.622599300745163120e-01 1.965584124921265774e-01
0.000000000000000000e+00 -1.069082547463127266e+05 5.065689232967210964e-01 6.098708641968109134e-01 4.703121514534737146e-01 9.055155035023062515e-01 6.174917576236115258e-01 5.950005014512145252e-01 7.451025658055262513e-01 1.948856669602081482e-01
0.000000000000000000e+00 -7.204547002086516295e+04 1.224913791476206493e-01 7.482400144808373232e-01 5.898460090467193551e-01 3.412436958891473804e-02 3.466776014093574387e-01 7.601986531584217222e-01 1.149722889606887843e-01 1.991668524232539372e-01
0.000000000000000000e+00 -5.743765239557339373e+04 1.735302656288527645e-01 3.878994168478460125e-01 2.411360756202451938e-01 7.704125261961682902e-01 6.196989939357521182e-01 8.410298815234026337e-01 8.756746657524198119e-01 1.768913051107157131e-01
0.000000000000000000e+00 -5.111833618024459429e+04 3.904867753970511224e-01 2.254159614029532799e-01 3.153917821747976857e-01 2.573843433245748269e-02 4.284685904137295331e-01 1.944210973532989328e-02 8.359517611042271978e-01 1.984848890013614087e-01
0.000000000000000000e+00 -4.811798771287473937e+04 6.854979644213590184e-01 9.535254721505722619e-01 9.430756379094846764e-01 6.581611826723396952e-01 4.724478998934760199e-01 3.927680076936800324e-01 1.251062233512666433e-01 1.970811379664016982e-01
0.000000000000000000e+00 -4.379580350722699222e+04 2.056646986348799055e-01 8.567423507392799564e-01 5.177137996112272100e-01 1.537426441850119341e-01 8.818797265240951866e-01 2.078952759451209165e-01 7.685154587586251473e-01 2.603526497821717633e-01
0.000000000000000000e+00 -3.964446100514729915e+04 1.155699894798676297e-01 9.757147930970780925e-01 5.935105338442603351e-02 3.041526352493286733e-01 9.557181977956940022e-01 7.938223262984257511e-01 1.114879531882002617e-01 2.541585905103284082e-01
0.000000000000000000e+00 -3.905018735961385391e+04 3.957742999838002040e-01 8.438422067657312953e-01 1.465454221098709819e-01 8.173202943808177690e-01 8.983150284393588425e-01 3.426782439325171126e-02 1.082188401593645599e-01 2.054579222103660729e-01
0.000000000000000000e+00 -3.607206484598224779e+04 2.243042510031786341e-01 9.789526988953888287e-01 8.428504702374119972e-01 3.890710623379090016e-02 3.154198514472956738e-01 8.897374569279891121e-01 8.956061063170018821e-01 2.636003552758044988e-01
0.000000000000000000e+00 -3.598419719820781756e+04 1.569239143913281342e-02 9.255006848526243779e-01 2.197250685053848684e-01 4.628929269647290567e-01 7.780327106981665963e-02 8.220156127927573664e-01 4.234458276679952116e-01 2.750221127072218774e-01
0.000000000000000000e+00 -3.247224003375908433e+04 1.097422361189897000e-01 4.732739114342897624e-01 5.456785104777931439e-01 3.794698225645070089e-01 9.815740347362741369e-01 2.007858512141854623e-01 6.924047918924473022e-01 2.837170142788312255e-01
0.000000000000000000e+00 -3.188704883298071945e+04 5.875874646391510137e-02 7.363417854563349962e-01 7.924250942245725238e-01 6.362280964880874246e-01 6.037371424398800812e-01 2.059394178922520080e-01 5.166465184386148657e-02 2.538817106515207644e-01
0.000000000000000000e+00 -3.113065622306758814e+04 6.001196996144175788e-02 6.967731272772345053e-01 7.325870239586605992e-01 9.648351897529234833e-01 9.342094662731068588e-01 8.011227698823626397e-01 4.469197433502023475e-01 2.533200866472640200e-01
0.000000000000000000e+00 -3.061545432970929323e+04 3.991546221489579160e-01 8.346079882554310325e-01 4.620041717591976127e-01 1.153498384115074771e-01 6.375547559181595769e-01 8.573609346200852244e-01 5.610331846831055902e-01 3.034401292538152495e-01
0.000000000000000000e+00 -2.989087990060238371e+04 6.916340228012827218e-01 5.157816986379816226e-01 1.784746777604269141e-01 7.760436449461827202e-01 6.120956014189388172e-01 9.458728868018095870e-01 5.535283054184034768e-01 2.037073533918017931e-01
0.000000000000000000e+00 -2.969782021131572037e+04 8.877765490293462181e-01 8.532906889122197081e-01 9.870478772626207764e-01 1.048678404414660204e-02 3.817136368769795673e-01 8.341661530607470398e-01 7.651852063186606046e-01 2.072666237234341846e-01
0.000000000000000000e+00 -2.815848245924618459e+04 1.663433792624706697e-01 4.753499116792248014e-01 5.922415740651238991e-01 3.629609366581427743e-01 4.132623202662666362e-01 7.757192139936536224e-01 1.723620099386246052e-01 2.839873686966629673e-01
0.000000000000000000e+00 -2.798430631544460266e+04 6.607600860611055893e-01 9.764772988283858535e-01 9.723377451720667253e-01 6.399898763076454777e-01 1.510422876636605682e-01 8.538503613429149208e-02 3.538694920181124637e-01 2.173079003533412434e-01
0.000000000000000000e+00 -2.757801997615856089e+04 1.479371008205641047e-01 2.060808909416587120e-01 5.407141459606873424e-01 2.854008414616884259e-01 7.881974838012177909e-01 1.830270860394171972e-01 4.532741040923830012e-01 2.515238396753805006e-01
0.000000000000000000e+00 -2.738430094137933702e+04 3.190857318929821718e-01 7.434110196383404423e-01 3.672959160623460173e-01 5.578527894807923104e-01 7.065211248905326480e-01 2.633865348130605133e-01 8.391397562392357568e-01 2.421316388548879761e-01
0.000000000000000000e+00 -2.708437743376553044e+04 1.055780004659913063e-01 4.733326038784957390e-04 7.272707342226871763e-01 7.931142924695377960e-02 5.739275221954125428e-01 7.588404864288780249e-01 7.387123824434917996e-01 2.770990792482628251e-01
0.000000000000000000e+00 -2.267021149653058455e+04 5.976000681691474581e-01 4.338089728247931376e-01 3.531740684560058519e-01 2.704097086109931158e-01 5.748636132364854934e-01 6.897808528789568516e-01 2.536192518549968966e-01 2.991591634204776584e-01
0.000000000000000000e+00 -2.207733420547920105e+04 5.130744306707434310e-01 6.471648066557382784e-01 9.726929998184724591e-01 3.164045106760703385e-01 9.130076341123704031e-01 7.113226767127754924e-01 6.260471988391319575e-01 2.027937536806720953e-01
0.000000000000000000e+00 -2.164098118970979704e+04 5.486583130020745713e-01 6.837113280356127420e-01 7.427763284738962968e-01 1.730899583499597716e-01 2.586512141512752327e-01 1.386685310303802376e-01 7.734524073551406476e-01 1.908461199826795296e-01
0.000000000000000000e+00 -1.916709936814028697e+04 9.525596826153326369e-02 9.482729597616975648e-01 5.141846387013843112e-01 4.697475983128208687e-01 4.120160579910816523e-01 6.826874670244290622e-01 3.252036349172249263e-02 1.751411848117362391e-01
0.000000000000000000e+00 -1.888216552723832137e+04 1.856252674205046693e-01 6.653706731129549468e-02 2.080162941355101491e-01 6.963720224486809052e-01 4.960641574730495496e-01 7.664541756923104465e-01 5.255220460536084159e-01 2.730296914638374872e-01
0.000000000000000000e+00 -1.870438731916578399e+04 1.910631814661127859e-01 7.589998492544708375e-01 1.727917075017865178e-01 5.857692082894960794e-02 2.129723945251601469e-01 2.923114836451362608e-01 5.639133796110968877e-01 3.300948632577012098e-01
