11:32:05 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/MCMC/BC_Pk/result/fza-fof, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:32:05 [ultranest] [INFO] Sampling 400 live points from prior ...
11:32:19 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:32:19 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:32:19 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:32:19 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-489376.21, Lmax=-374.57
11:32:19 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-291392.07, remainder_fraction=100.0000%, Lmin=-216605.77, Lmax=-374.57
11:32:19 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-194215.71, remainder_fraction=100.0000%, Lmin=-168668.13, Lmax=-374.57
11:32:19 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-106914.26, remainder_fraction=100.0000%, Lmin=-72045.47, Lmax=-374.57
11:32:19 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-51124.35, remainder_fraction=100.0000%, Lmin=-48117.99, Lmax=-374.57
11:32:19 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-43801.83, remainder_fraction=100.0000%, Lmin=-39644.46, Lmax=-374.57
11:32:20 [ultranest] [DEBUG] iteration=16, ncalls=417, regioncalls=680, ndraw=40, logz=-36078.10, remainder_fraction=100.0000%, Lmin=-35984.20, Lmax=-374.57
11:32:20 [ultranest] [DEBUG] iteration=18, ncalls=419, regioncalls=760, ndraw=40, logz=-32478.28, remainder_fraction=100.0000%, Lmin=-31887.05, Lmax=-374.57
11:32:20 [ultranest] [DEBUG] iteration=21, ncalls=422, regioncalls=880, ndraw=40, logz=-30621.50, remainder_fraction=100.0000%, Lmin=-29890.88, Lmax=-374.57
11:32:20 [ultranest] [DEBUG] iteration=24, ncalls=425, regioncalls=1000, ndraw=40, logz=-28164.53, remainder_fraction=100.0000%, Lmin=-27984.31, Lmax=-374.57
11:32:20 [ultranest] [DEBUG] iteration=27, ncalls=428, regioncalls=1120, ndraw=40, logz=-27390.36, remainder_fraction=100.0000%, Lmin=-27084.38, Lmax=-374.57
11:32:20 [ultranest] [DEBUG] iteration=30, ncalls=431, regioncalls=1240, ndraw=40, logz=-22083.40, remainder_fraction=100.0000%, Lmin=-21640.98, Lmax=-374.57
11:32:20 [ultranest] [DEBUG] iteration=34, ncalls=435, regioncalls=1400, ndraw=40, logz=-18710.46, remainder_fraction=100.0000%, Lmin=-18008.94, Lmax=-374.57
11:32:20 [ultranest] [DEBUG] iteration=36, ncalls=437, regioncalls=1480, ndraw=40, logz=-17986.39, remainder_fraction=100.0000%, Lmin=-17140.67, Lmax=-374.57
11:32:21 [ultranest] [DEBUG] iteration=38, ncalls=440, regioncalls=1600, ndraw=40, logz=-17112.40, remainder_fraction=100.0000%, Lmin=-16670.41, Lmax=-374.57
11:32:21 [ultranest] [DEBUG] iteration=40, ncalls=442, regioncalls=1680, ndraw=40, logz=-16323.44, remainder_fraction=100.0000%, Lmin=-16197.78, Lmax=-374.57
11:32:21 [ultranest] [DEBUG] iteration=43, ncalls=445, regioncalls=1800, ndraw=40, logz=-14802.10, remainder_fraction=100.0000%, Lmin=-14745.67, Lmax=-374.57
11:32:21 [ultranest] [DEBUG] iteration=46, ncalls=448, regioncalls=1920, ndraw=40, logz=-14418.11, remainder_fraction=100.0000%, Lmin=-14273.37, Lmax=-263.35
11:32:21 [ultranest] [DEBUG] iteration=49, ncalls=451, regioncalls=2040, ndraw=40, logz=-14086.72, remainder_fraction=100.0000%, Lmin=-13657.30, Lmax=-263.35
11:32:21 [ultranest] [DEBUG] iteration=52, ncalls=454, regioncalls=2160, ndraw=40, logz=-12482.97, remainder_fraction=100.0000%, Lmin=-12318.08, Lmax=-263.35
