Om Ob h ns s8 Mnu w scale_factor
4.129970677453074224e-01 5.229036587148362669e-02 5.065667066251292594e-01 1.071093665814345064e+00 7.382566961490646396e-01 6.279366186018062734e-01 -8.257742709162519956e-01 1.507591677036159972e+01
3.150716220234267562e-01 3.309103667058167081e-02 6.714286297603748732e-01 8.960092163280675148e-01 8.811419185877091831e-01 2.944058286600376162e-02 -8.024413664872976915e-01 1.465379930150688104e+01
4.368303113230609380e-01 5.671000301560311097e-02 5.546089852033830869e-01 8.379061910271190516e-01 9.085072434036387534e-01 1.538760171490904383e-01 -9.667110561751450781e-01 1.457286786604617390e+01
3.530875275959760584e-01 6.843065503414065553e-02 7.336424573737989618e-01 1.031618786759606277e+00 7.120166718156464292e-01 6.532866226071384341e-01 -8.646072288671360351e-01 1.534821641935330838e+01
2.535519733155046085e-01 5.997673897431025913e-02 7.584944654806834441e-01 1.121595594660064643e+00 7.698269603180469822e-01 4.998262730305367274e-01 -1.222012475740778203e+00 1.474420991645974865e+01
3.898066692195272243e-01 5.489532836430484342e-02 7.047768048529001739e-01 8.547475688401741101e-01 8.436212472293099784e-01 2.687176279001247670e-01 -9.672048297194556499e-01 1.490554085792895833e+01
3.515793538043824329e-01 4.372719821084071479e-02 6.370049433167557229e-01 8.973066627993017130e-01 8.992102216237034540e-01 3.732832770987555282e-01 -9.688496978359171230e-01 1.439879654773001683e+01
3.254518177485680175e-01 6.261169747101257010e-02 6.819088627562392979e-01 1.010736074418221664e+00 8.210996677646739128e-01 6.581093277330424263e-01 -8.242265618948403372e-01 1.451539505521138018e+01
3.140742102001663483e-01 4.545863961848971291e-02 7.946443200443891186e-01 9.423023051478256473e-01 7.895411640747065363e-01 9.052001597702463709e-01 -9.296047003103931061e-01 1.483218997679020745e+01
4.129970677453074224e-01 5.229036587148362669e-02 5.065667066251292594e-01 1.071093665814345064e+00 7.382566961490646396e-01 6.279366186018062734e-01 -8.257742709162519956e-01 1.507591677036159972e+01
3.948964325053329061e-01 5.448203206367878415e-02 7.248948833513735313e-01 8.406120061799142729e-01 8.439271574524156438e-01 5.503482395351719791e-01 -1.112120960973826955e+00 1.485744947830521845e+01
3.926986278924632368e-01 3.982837125040458032e-02 6.761249874391372927e-01 8.005871713381728094e-01 8.505089214324271785e-01 3.758692994806849819e-01 -7.265820032827771113e-01 1.473238341689792108e+01
3.832847492097759545e-01 6.163717982125090783e-02 6.865898477409269063e-01 8.300070192867724517e-01 8.814536556771233045e-01 3.624918915163204414e-01 -1.065192222482068685e+00 1.460086552305647167e+01
4.161972116188180637e-01 5.390752474194333843e-02 7.002785179751461753e-01 8.106844799878283325e-01 8.412384381539779188e-01 7.884491198723939664e-01 -8.220874715815251754e-01 1.473244229810040373e+01
3.155089507129236193e-01 5.107489682710952827e-02 5.923879522698831668e-01 1.061604463176035296e+00 7.747781216141568228e-01 3.149534047303875761e-01 -1.235954757018565386e+00 1.480062711345749804e+01
4.059127629074613663e-01 4.665397927854124382e-02 6.259356393897811399e-01 9.165411867629755793e-01 8.008801370310844048e-01 2.159610078443401915e-01 -9.247146293304264741e-01 1.510499038842906572e+01
3.952051425076498203e-01 4.818375893067063792e-02 5.465527416055825372e-01 1.021260229101830896e+00 8.105891689327704430e-01 9.122748200455401690e-01 -9.498444276555577659e-01 1.470542510446468754e+01
3.372697575744276755e-01 3.046614421210939658e-02 7.777752816384360113e-01 8.508030715604388838e-01 8.329101078322733720e-01 5.545972813022168602e-01 -8.893498524035354791e-01 1.487043996892163378e+01
3.479075447520003639e-01 4.744429777802273984e-02 7.252880809286174069e-01 8.197336296117855303e-01 8.931180353946739370e-01 3.737090394555641071e-01 -7.012251352959707473e-01 1.444037039989880533e+01
3.097958884192216766e-01 5.257390861792607395e-02 8.716006139915015716e-01 9.121858020496385056e-01 8.008868179962056466e-01 7.426020515479334616e-01 -9.235911482516292459e-01 1.480314874085343924e+01
2.684019326391059446e-01 3.541719701923558977e-02 5.625434893732246255e-01 1.083973830226087287e+00 7.984421479271628375e-01 2.604805910372782751e-01 -8.252576609380893879e-01 1.469609743404282831e+01
3.282934893623369321e-01 5.197778006014096286e-02 8.087069700668734207e-01 9.088409786482943842e-01 7.870891805045525658e-01 7.311920725961236212e-01 -1.157843531029472128e+00 1.503401532020176923e+01
4.721677343674844929e-01 5.558608704988880073e-02 5.171279410247819897e-01 9.628604509172055126e-01 8.024472612719154574e-01 7.471825547927297695e-01 -9.376408584304346538e-01 1.497129871657048561e+01
4.045528854534791163e-01 4.811397683208550047e-02 6.557998798712980637e-01 8.406877797464766822e-01 8.615548625832626373e-01 4.412636382533938750e-01 -1.012859264218600508e+00 1.479730528224447994e+01
3.629355674849048530e-01 4.952201678956908576e-02 7.332726157694815505e-01 8.400343924658500994e-01 8.525371485471273658e-01 4.470398945268649338e-01 -1.094730010822750232e+00 1.481254785653826112e+01
