logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.917132426081981394e+05 -1.917192353224848339e+05 nan
-1.917192353224848339e+05 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.434144176355520904e+05 -1.434204128498387872e+05 nan
-1.434204128498387872e+05 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.305793137704801775e+05 -1.305853114847668621e+05 nan
-1.305853114847668621e+05 5.557400349577724228e+03 -7.499999999999999722e-03 4.000000000000000000e+02 -9.156151436776944320e+04 -9.156751458205613017e+04 nan
-9.156751458205613017e+04 2.214205270626289348e+04 -1.000000000000000021e-02 4.000000000000000000e+02 -9.039755755656221299e+04 -9.040356027084890229e+04 nan
-9.040356027084890229e+04 3.217237028161039234e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -8.868987669170975278e+04 -8.869588190599644440e+04 nan
-8.869588190599644440e+04 8.423499026448556606e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -8.348313072678358003e+04 -8.348913844107027398e+04 nan
-8.348913844107027398e+04 2.776889458930565979e+03 -1.750000000000000167e-02 4.000000000000000000e+02 -8.011712664183163724e+04 -8.012313685611833353e+04 nan
-8.012313685611833353e+04 2.944973948006550017e+03 -2.000000000000000042e-02 4.000000000000000000e+02 -6.978741355473632575e+04 -6.979342626902302436e+04 nan
-6.979342626902302436e+04 6.602279989892749654e+03 -2.249999999999999917e-02 4.000000000000000000e+02 -6.053907181157465675e+04 -6.054508702586135041e+04 nan
-6.054508702586135041e+04 6.010621734259701043e+03 -2.499999999999999792e-02 4.000000000000000000e+02 -5.290497243823912868e+04 -5.291099015252581739e+04 nan
-5.291099015252581739e+04 3.763828070054449199e+03 -2.749999999999999667e-02 4.000000000000000000e+02 -4.988317496677063900e+04 -4.988919518105733005e+04 nan
-4.988919518105733005e+04 2.987554602557663657e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -3.531313014406729781e+04 -3.531915285835399118e+04 nan
-3.531915285835399118e+04 6.868790299677956682e+03 -3.249999999999999417e-02 4.000000000000000000e+02 -3.220583745840374831e+04 -3.221186267269044038e+04 nan
-3.221186267269044038e+04 6.375219656455856239e+03 -3.499999999999999639e-02 4.000000000000000000e+02 -3.085965825423482238e+04 -3.086568596852151313e+04 nan
-3.086568596852151313e+04 6.984033091548021730e+03 -3.749999999999999861e-02 4.000000000000000000e+02 -2.553564011666234364e+04 -2.554167033094903672e+04 nan
-2.554167033094903672e+04 2.689526913952823179e+03 -4.000000000000000083e-02 4.000000000000000000e+02 -2.019930929927346369e+04 -2.020534201356015546e+04 nan
-2.020534201356015546e+04 3.413565607492007530e+03 -4.250000000000000305e-02 4.000000000000000000e+02 -1.384644709917132059e+04 -1.385248231345801105e+04 nan
-1.385248231345801105e+04 3.739296914274098071e+03 -4.500000000000000527e-02 4.000000000000000000e+02 -1.286667332075280319e+04 -1.287271103503949416e+04 nan
-1.287271103503949416e+04 3.471669860887643154e+03 -4.750000000000000749e-02 4.000000000000000000e+02 -1.199872948415110113e+04 -1.200476969843779261e+04 nan
-1.200476969843779261e+04 5.786830648996661921e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -1.049419156803652186e+04 -1.050023428232321385e+04 nan
-1.050023428232321385e+04 5.611250323502167703e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -1.015352178996320254e+04 -1.015956700424989322e+04 nan
-1.015956700424989322e+04 5.061748228308260877e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -8.119383141633080413e+03 -8.125430855919771602e+03 nan
-8.125430855919771602e+03 1.165496275849477797e+03 -5.750000000000001638e-02 4.000000000000000000e+02 -7.577991211380338427e+03 -7.584041425667030126e+03 nan
-7.584041425667030126e+03 1.218127424161053796e+03 -6.000000000000001860e-02 4.000000000000000000e+02 -6.302510405948097286e+03 -6.308563120234788585e+03 nan
-6.308563120234788585e+03 6.425777438420244607e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -4.444009896730668515e+03 -4.450065111017360323e+03 nan
-4.450065111017360323e+03 1.074868468480126467e+03 -6.500000000000001610e-02 4.000000000000000000e+02 -3.087168071424773643e+03 -3.093225785711465051e+03 nan
-3.093225785711465051e+03 1.263331309259235695e+03 -6.750000000000001832e-02 4.000000000000000000e+02 -2.830741759339285181e+03 -2.836801973625976643e+03 nan
-2.836801973625976643e+03 9.553681188346263298e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -2.008939556903149651e+03 -2.015002271189840940e+03 nan
-2.015002271189840940e+03 4.109174620334298993e+02 -7.250000000000002276e-02 4.000000000000000000e+02 -1.944441253629612902e+03 -1.950506467916304246e+03 nan
-1.950506467916304246e+03 2.425883388739226518e+02 -7.500000000000002498e-02 4.000000000000000000e+02 -1.878784082642512885e+03 -1.884851796929204284e+03 nan
-1.884851796929204284e+03 2.617441735805480221e+02 -7.750000000000002720e-02 4.000000000000000000e+02 -1.874034980346828661e+03 -1.880105194633520114e+03 nan
-1.880096550956857754e+03 2.625340066597469217e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -1.375600402724890500e+03 -1.381673117011581780e+03 nan
-1.381673117011581780e+03 4.192277904421095513e+02 -8.250000000000003164e-02 4.000000000000000000e+02 -1.169290337144816704e+03 -1.175365551431508038e+03 nan
-1.175365551431508038e+03 2.501067061460683192e+02 -8.500000000000003386e-02 4.000000000000000000e+02 -1.035129608534585032e+03 -1.041207322821276421e+03 nan
-1.041207322821276421e+03 1.018389577627044957e+02 -8.750000000000003608e-02 4.000000000000000000e+02 -1.006447392482107375e+03 -1.012527606768798705e+03 nan
-1.012527606768798364e+03 9.944393655154149769e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -1.003677325080870105e+03 -1.009760039367561490e+03 nan
-1.009699118674933516e+03 1.011119321185681912e+02 -9.250000000000004052e-02 4.000000000000000000e+02 -9.798072580830462357e+02 -9.858924723697375612e+02 nan
-9.858924723696917454e+02 9.125892340591821750e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -8.961128794620385634e+02 -9.022005937487299434e+02 nan
-9.022005937487299434e+02 4.286841641528440050e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -8.407055145830734091e+02 -8.467957288697647300e+02 nan
-8.467957288697647300e+02 6.172571151161370295e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -7.834974379129024555e+02 -7.895901521995938310e+02 nan
