weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -1.917132426081981394e+05 2.227202143225608388e-01 5.047547705333486900e-02 6.521425313685960123e-01 9.669956323300789025e-01 7.885060675209850656e-01 4.502477355077062482e-01 -1.215876436936208504e+00 2.201143815083434063e+01
0.000000000000000000e+00 -1.434144176355520904e+05 2.195212113345645644e-01 5.687325405736477768e-02 5.899014824658483924e-01 1.036005145855002141e+00 6.428770384240216629e-01 8.637480397879282457e-02 -1.101145559651220074e+00 2.459584839531332534e+01
0.000000000000000000e+00 -1.305793137704801775e+05 1.960210916358418598e-01 4.104159748471274127e-02 5.391537127258598794e-01 9.170614799718528332e-01 7.195936751250588959e-01 6.377285742228341325e-01 -8.078448391081423097e-01 2.164225694944953560e+01
0.000000000000000000e+00 -9.156151436776944320e+04 1.030542859523988081e-01 4.605570364329735628e-02 6.170773179370372397e-01 1.124485270929217906e+00 7.541470666921552546e-01 2.271570421419478736e-01 -7.388123965139892224e-01 2.358263789702758118e+01
0.000000000000000000e+00 -9.039755755656221299e+04 1.298906041587580829e-01 5.095999273232573734e-02 8.548166269225572211e-01 9.355245576716435529e-01 8.051750169663313139e-01 8.306396007401209980e-01 -1.295855637103462188e+00 1.983595206155849411e+01
0.000000000000000000e+00 -8.868987669170975278e+04 2.644531497578398449e-01 5.173510412848669748e-02 7.751539995532579219e-01 9.786572847861240154e-01 6.664835325569574698e-01 3.494869394344444213e-01 -8.297210278772050307e-01 2.347124322316605927e+01
0.000000000000000000e+00 -8.348313072678358003e+04 1.199191910193132815e-01 4.468952238845505520e-02 5.749521365455332322e-01 9.944693730407788701e-01 7.891748766510140456e-01 2.301885408885185891e-01 -9.320041109691261649e-01 1.993230439064276283e+01
0.000000000000000000e+00 -8.011712664183163724e+04 1.025957507486707776e-01 3.117434919457331630e-02 7.918868116270156854e-01 8.986043383248766281e-01 6.561438121675283730e-01 5.782722479984676589e-01 -9.603086537535172607e-01 2.553469294233856601e+01
0.000000000000000000e+00 -6.978741355473632575e+04 2.342468694475443591e-01 4.688123297725857452e-02 8.479095489036001521e-01 1.168742393212812036e+00 6.494052861904736629e-01 6.274336375773872376e-01 -9.797051229574043063e-01 2.218538729618020255e+01
0.000000000000000000e+00 -6.053907181157465675e+04 3.575497417753888962e-01 6.789530757589583299e-02 7.468532282312518866e-01 8.138574962473155150e-01 6.835099671806574850e-01 9.178355863225696742e-01 -9.762941898457397905e-01 2.210774849503056672e+01
0.000000000000000000e+00 -5.290497243823912868e+04 1.460267888806681680e-01 4.957004807999106089e-02 8.791145792733170428e-01 9.071110421375436772e-01 7.262945290024452882e-01 2.927111367316016510e-01 -8.243375098859433425e-01 2.006679223234604237e+01
0.000000000000000000e+00 -4.988317496677063900e+04 2.052737925542911790e-01 6.252155938638684352e-02 6.033269924257577133e-01 9.802168521460418171e-01 7.765431993597761151e-01 3.642434149568495316e-01 -7.701935614008353914e-01 2.458322730379230947e+01
0.000000000000000000e+00 -3.531313014406729781e+04 1.107239866032890679e-01 6.793214214420657815e-02 7.108514444330200632e-01 9.983703115019617602e-01 6.843465394587905370e-01 2.198032343810994993e-01 -8.368140669462192927e-01 1.916070889081665740e+01
0.000000000000000000e+00 -3.220583745840374831e+04 3.616917156256617139e-01 5.813480853567007389e-02 5.533863289215688042e-01 8.203372191506312916e-01 6.023294140761578097e-01 2.122083163568030395e-01 -1.098871207444464648e+00 2.263015059113654459e+01
0.000000000000000000e+00 -3.085965825423482238e+04 4.286813327582189581e-01 5.339847045461385000e-02 6.772975691674467669e-01 8.324401235770727547e-01 6.173751231469936096e-01 4.143151133436224764e-01 -1.013974234085352366e+00 2.493132648652256478e+01
0.000000000000000000e+00 -2.553564011666234364e+04 2.892179212370034613e-01 4.493162631101633303e-02 8.312337423538818104e-01 1.036588877918114271e+00 7.370978701135812994e-01 7.708068229124644954e-01 -1.064496207410464468e+00 2.336233978123079069e+01
0.000000000000000000e+00 -2.019930929927346369e+04 3.380530741222659286e-01 6.537531285489779631e-02 6.042471321784818050e-01 1.120256919386516170e+00 7.398096334977594113e-01 3.152267014499999798e-01 -9.147664389542202734e-01 2.288050543549835680e+01
0.000000000000000000e+00 -1.384644709917132059e+04 1.019454949752032769e-01 5.706300322850982321e-02 6.603141515835064812e-01 9.761534377400399309e-01 8.884986462905946070e-01 4.498706665291228868e-01 -8.255098834484602133e-01 2.489967829753435424e+01
0.000000000000000000e+00 -1.286667332075280319e+04 2.664019824090003707e-01 6.911505963324376944e-02 6.759971988549916544e-01 1.002960890544715378e+00 8.229996369004981549e-01 2.580455912560385423e-01 -7.016957775998028390e-01 2.382639409728477631e+01
0.000000000000000000e+00 -1.199872948415110113e+04 2.284545156238142194e-01 5.251129592698840914e-02 8.966930037576537060e-01 9.195323266523121042e-01 8.535054466748750457e-01 1.659571479739035960e-01 -9.883001018547250549e-01 2.381564098022523979e+01
0.000000000000000000e+00 -1.049419156803652186e+04 3.347295189204438359e-01 4.007844256630133800e-02 7.086934562538873550e-01 9.398018367982100552e-01 7.775278893532978630e-01 1.109084932702167903e-01 -1.206827405556095023e+00 2.402869718321933945e+01
0.000000000000000000e+00 -1.015352178996320254e+04 1.473590935914484978e-01 5.970767177047357072e-02 6.402835999372337161e-01 9.202470072739126206e-01 9.886035112383427803e-01 4.618823766044893864e-01 -8.044065178464250288e-01 1.641928393627170024e+01
0.000000000000000000e+00 -8.119383141633080413e+03 3.848513014021700540e-01 5.117289840922704253e-02 7.857403248556499298e-01 1.023929735224238247e+00 7.583230638197052675e-01 2.049681185733562838e-01 -1.291684947106567227e+00 1.965973214233516231e+01
0.000000000000000000e+00 -7.577991211380338427e+03 1.566771401171356271e-01 6.487641904370439194e-02 6.887426192990732110e-01 8.714066880032701468e-01 9.849448953396036099e-01 2.687619979244921797e-01 -1.046161231685909021e+00 1.667839251631655273e+01
0.000000000000000000e+00 -6.302510405948097286e+03 1.353105013072599394e-01 5.263862705964532374e-02 7.270952029743423806e-01 8.441147354119085122e-01 7.050783760589831584e-01 9.092729550712238540e-01 -1.228501021940484605e+00 1.762555508652834391e+01
0.000000000000000000e+00 -4.444009896730668515e+03 2.545495843926494084e-01 5.607551185413901795e-02 6.497932162344873808e-01 1.021767114899570617e+00 6.596037547769943998e-01 8.129632386654617182e-02 -9.563278364480236604e-01 2.681343278031607014e+01
0.000000000000000000e+00 -3.087168071424773643e+03 4.482816639633359079e-01 3.339372669858853282e-02 7.199478848399725184e-01 9.793376184859654554e-01 8.119228570347624130e-01 9.420539131559304558e-01 -7.773005400413643962e-01 2.210821315288657019e+01
0.000000000000000000e+00 -2.830741759339285181e+03 3.880216795537556607e-01 4.115954893246455415e-02 7.561576708326345209e-01 1.148981458153210067e+00 8.653770657582626757e-01 5.738167802623029834e-01 -8.481446932653174953e-01 2.047999861250143638e+01
0.000000000000000000e+00 -2.008939556903149651e+03 4.683160125527773276e-01 5.330329867589178594e-02 6.577038961460346389e-01 1.025577736117734062e+00 8.231343947213789480e-01 9.422811205289848280e-01 -9.595834092632764545e-01 1.790490654964663619e+01
0.000000000000000000e+00 -1.944441253629612902e+03 3.951946908410511883e-01 4.128357341417339399e-02 6.322911458447592059e-01 9.964183134917321549e-01 6.476549560944866446e-01 6.719214135082994810e-01 -7.790971288106046666e-01 1.868927466628913692e+01
