weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -1.917132426081981394e+05 3.068005358064020971e-01 5.118869263333717390e-01 3.803563284214900309e-01 4.174890808251972008e-01 4.712651688024627195e-01 4.502477355077062482e-01 1.402059384396526776e-01 2.201143815083433930e-01
0.000000000000000000e+00 -1.434144176355520904e+05 2.988030283364113693e-01 6.718313514341195392e-01 2.247537061646208700e-01 5.900128646375054631e-01 1.071925960600542682e-01 8.637480397879282457e-02 3.314240672479666916e-01 2.459584839531332445e-01
0.000000000000000000e+00 -1.305793137704801775e+05 2.400527290896046217e-01 2.760399371178186012e-01 9.788428181464958744e-02 2.926536999296318609e-01 2.989841878126472396e-01 6.377285742228341325e-01 8.202586014864295949e-01 2.164225694944953426e-01
0.000000000000000000e+00 -9.156151436776944320e+04 7.635714880997013232e-03 4.013925910824339693e-01 2.926932948425932102e-01 8.112131773230446541e-01 3.853676667303882475e-01 2.271570421419478736e-01 9.353126724766847033e-01 2.358263789702758073e-01
0.000000000000000000e+00 -9.039755755656221299e+04 7.472651039689515162e-02 5.239998183081433503e-01 8.870415673063929418e-01 3.388113941791088823e-01 5.129375424158283403e-01 8.306396007401209980e-01 6.907271494229871855e-03 1.983595206155849278e-01
0.000000000000000000e+00 -8.868987669170975278e+04 4.111328743945995567e-01 5.433776032121674371e-01 6.878849988831446938e-01 4.466432119653098720e-01 1.662088313923938410e-01 3.494869394344444213e-01 7.837982868713250229e-01 2.347124322316606060e-01
0.000000000000000000e+00 -8.348313072678358003e+04 4.979797754828318990e-02 3.672380597113764633e-01 1.873803413638331916e-01 4.861734326019471197e-01 4.729371916275352250e-01 2.301885408885185891e-01 6.133264817181230955e-01 1.993230439064276327e-01
0.000000000000000000e+00 -8.011712664183163724e+04 6.489376871676943992e-03 2.935872986433296639e-02 7.297170290675393245e-01 2.465108458121914037e-01 1.403595304188209880e-01 5.782722479984676589e-01 5.661522437441378619e-01 2.553469294233856601e-01
0.000000000000000000e+00 -6.978741355473632575e+04 3.356171736188608978e-01 4.220308244314643353e-01 8.697738722590003801e-01 9.218559830320299797e-01 1.235132154761843237e-01 6.274336375773872376e-01 5.338247950709928968e-01 2.218538729618020344e-01
0.000000000000000000e+00 -6.053907181157465675e+04 6.438743544384720741e-01 9.473826893973958940e-01 6.171330705781298276e-01 3.464374061828867646e-02 2.087749179516438236e-01 9.178355863225696742e-01 5.395096835904338306e-01 2.210774849503056583e-01
0.000000000000000000e+00 -5.290497243823912868e+04 1.150669722016703922e-01 4.892512019997764527e-01 9.477864481832923849e-01 2.677776053438591930e-01 3.157363225061131651e-01 2.927111367316016510e-01 7.927708168567610958e-01 2.006679223234604237e-01
0.000000000000000000e+00 -4.988317496677063900e+04 2.631844813857279197e-01 8.130389846596710601e-01 2.583174810643943387e-01 4.505421303651043763e-01 4.413579983994403433e-01 3.642434149568495316e-01 8.830107309986078290e-01 2.458322730379230991e-01
0.000000000000000000e+00 -3.531313014406729781e+04 2.680996650822264904e-02 9.483035536051643843e-01 5.271286110825501581e-01 4.959257787549044005e-01 2.108663486469763981e-01 2.198032343810994993e-01 7.719765550896345863e-01 1.916070889081665785e-01
0.000000000000000000e+00 -3.220583745840374831e+04 6.542292890641543401e-01 7.033702133917519861e-01 1.334658223039220104e-01 5.084304787657822899e-02 5.823535190394690808e-03 2.122083163568030395e-01 3.352146542592254752e-01 2.263015059113654415e-01
0.000000000000000000e+00 -3.085965825423482238e+04 8.217033318955473398e-01 5.849617613653463888e-01 4.432439229186170282e-01 8.110030894268172030e-02 4.343780786748396849e-02 4.143151133436224764e-01 4.767096098577462415e-01 2.493132648652256478e-01
0.000000000000000000e+00 -2.553564011666234364e+04 4.730448030925086256e-01 3.732906577754083743e-01 8.280843558847046371e-01 5.914721947952855663e-01 3.427446752839531374e-01 7.708068229124644954e-01 3.925063209825593313e-01 2.336233978123078980e-01
0.000000000000000000e+00 -2.019930929927346369e+04 5.951326853056648769e-01 8.843828213724449494e-01 2.606178304462044570e-01 8.006422984662903142e-01 3.495240837443984727e-01 3.152267014499999798e-01 6.420559350762995443e-01 2.288050543549835503e-01
0.000000000000000000e+00 -1.384644709917132059e+04 4.863737438008164382e-03 6.765750807127455246e-01 4.007853789587663140e-01 4.403835943500997718e-01 7.212466157264864064e-01 4.498706665291228868e-01 7.908168609192329779e-01 2.489967829753435558e-01
0.000000000000000000e+00 -1.286667332075280319e+04 4.160049560225008713e-01 9.778764908310942916e-01 4.399929971374791915e-01 5.074022263617884443e-01 5.574990922512453873e-01 2.580455912560385423e-01 9.971737040003286756e-01 2.382639409728477542e-01
0.000000000000000000e+00 -1.199872948415110113e+04 3.211362890595355069e-01 5.627823981747102078e-01 9.917325093941342651e-01 2.988308166307802605e-01 6.337636166871878363e-01 1.659571479739035960e-01 5.194998302421249825e-01 2.381564098022523890e-01
0.000000000000000000e+00 -1.049419156803652186e+04 5.868237973011095621e-01 2.519610641575334986e-01 5.217336406347182765e-01 3.495045919955250824e-01 4.438197233832446020e-01 1.109084932702167903e-01 1.552876574065084059e-01 2.402869718321933856e-01
0.000000000000000000e+00 -1.015352178996320254e+04 1.183977339786211891e-01 7.426917942618392887e-01 3.507089998430842348e-01 3.006175181847813294e-01 9.715087780958570063e-01 4.618823766044893864e-01 8.259891369226249891e-01 1.641928393627170024e-01
0.000000000000000000e+00 -8.119383141633080413e+03 7.121282535054249685e-01 5.293224602306760840e-01 7.143508121391247689e-01 5.598243380605951725e-01 3.958076595492631133e-01 2.049681185733562838e-01 1.385842148905458426e-02 1.965973214233516231e-01
0.000000000000000000e+00 -7.577991211380338427e+03 1.416928502928390676e-01 8.719104760926099651e-01 4.718565482476830830e-01 1.785167200081752004e-01 9.623622383490091359e-01 2.687619979244921797e-01 4.230646138568184833e-01 1.667839251631655362e-01
0.000000000000000000e+00 -6.302510405948097286e+03 8.827625326814980689e-02 5.659656764911331628e-01 5.677380074358560069e-01 1.102868385297710585e-01 2.626959401474577849e-01 9.092729550712238540e-01 1.191649634325258056e-01 1.762555508652834391e-01
0.000000000000000000e+00 -4.444009896730668515e+03 3.863739609816235765e-01 6.518877963534754905e-01 3.744830405862183964e-01 5.544177872489262082e-01 1.490093869424859996e-01 8.129632386654617182e-02 5.727869392532939363e-01 2.681343278031607102e-01
0.000000000000000000e+00 -3.087168071424773643e+03 8.707041599083398253e-01 8.484316746471343151e-02 5.498697120999314070e-01 4.483440462149134165e-01 5.298071425869060880e-01 9.420539131559304558e-01 8.711657665977260434e-01 2.210821315288656885e-01
0.000000000000000000e+00 -2.830741759339285181e+03 7.200541988843891517e-01 2.789887233116138399e-01 6.403941770815860801e-01 8.724536453830250560e-01 6.634426643956568004e-01 5.738167802623029834e-01 7.530921778911375819e-01 2.047999861250143772e-01
0.000000000000000000e+00 -2.008939556903149651e+03 9.207900313819433746e-01 5.825824668972947595e-01 3.942597403650864862e-01 5.639443402943347117e-01 5.578359868034473701e-01 9.422811205289848280e-01 5.673609845612060942e-01 1.790490654964663753e-01
0.000000000000000000e+00 -1.944441253629612902e+03 7.379867271026278042e-01 2.820893353543347803e-01 3.307278646118979593e-01 4.910457837293302763e-01 1.191373902362167225e-01 6.719214135082994810e-01 8.681714519823257037e-01 1.868927466628913514e-01
