Om Ob h ns s8 Mnu w scale_factor
3.225106965001526271e-01 3.799072203175746232e-02 5.599539691351180792e-01 1.126952195922042321e+00 7.626842307634413842e-01 6.904679149325874121e-01 -7.065414434671809518e-01 1.481584624836243869e+01
3.615560059724236552e-01 4.707365023426025863e-02 5.659175806919721774e-01 1.072132488374634818e+00 7.719394338609567585e-01 4.315846596627698761e-01 -9.367788902562649289e-01 1.509678330637784427e+01
3.336174023585404269e-01 3.759918843483692208e-02 5.154468405398393571e-01 1.015618301814519064e+00 8.428372286472683994e-01 1.130978285685592111e-01 -7.841771012499249016e-01 1.471194695909584205e+01
4.697161490307869558e-01 3.014483589175977543e-02 5.501151582395668038e-01 8.746167443253564100e-01 8.659679504211679202e-01 7.765524792324505210e-01 -1.153725361173997710e+00 1.495656041046987461e+01
3.655446743813960397e-01 4.967393196566338709e-02 7.927876950091778951e-01 8.089012425152382058e-01 8.593269908093441600e-01 9.841670547067185026e-01 -9.417290387737081714e-01 1.466624201426563801e+01
3.652767679311572646e-01 5.605121382215412507e-02 6.121170809883824671e-01 9.302092297502412288e-01 8.402436018376708837e-01 2.415043900204144611e-01 -1.125990399361606054e+00 1.483044807564504453e+01
2.951046034188400391e-01 3.865778628885079005e-02 6.101144860778288104e-01 9.911177692749518764e-01 8.254255392886017395e-01 3.945328405632697044e-01 -1.015974562993645858e+00 1.465522855412951486e+01
2.714747247297749633e-01 6.146496775456396916e-02 8.554292980976201388e-01 1.056279976959688005e+00 7.461783548826588230e-01 4.490287453254042105e-01 -7.313481612352564776e-01 1.482244299520286646e+01
3.980554820407631311e-01 3.214241230915296232e-02 6.764787344228913035e-01 8.660831125652990181e-01 8.334024586035301274e-01 6.691331511635968399e-01 -7.039317249221417327e-01 1.478356179366116230e+01
4.712496531152849943e-01 5.050082814748282911e-02 5.437321959327663379e-01 8.809089939908443245e-01 8.150117632687072788e-01 4.165998437486735373e-01 -1.025327864210258122e+00 1.505080369927401840e+01
3.756770971837847251e-01 6.176329223594031331e-02 8.369299620007830676e-01 8.351138411476959345e-01 8.302816167147191173e-01 8.917189893183801175e-01 -1.196977136503343697e+00 1.486544669576808708e+01
3.399338574463585116e-01 3.292966041973999919e-02 6.844918490638662867e-01 9.665786682504520222e-01 7.683073431590177194e-01 6.157479458316109655e-01 -1.056126405231433640e+00 1.514022056112269432e+01
3.125119698128724921e-01 5.131931358202579396e-02 8.330087765625103779e-01 8.534570972178037174e-01 8.413589143257924619e-01 4.333289753219774498e-01 -8.664400458824411677e-01 1.470422037770911494e+01
3.787757223692264086e-01 4.716113197398488777e-02 5.554182312053561610e-01 9.497586120654420982e-01 9.073566939712682800e-01 2.536814237087323676e-01 -9.891899528740326630e-01 1.462209513015297624e+01
3.143694056508877788e-01 6.219944172077369188e-02 7.738190134416056409e-01 9.560914932236729280e-01 7.860085933537771519e-01 3.880909889719379446e-01 -7.082138180651790238e-01 1.474139105425779839e+01
3.915812235858155965e-01 5.671237286014103873e-02 6.322872779018318123e-01 8.269988573413449284e-01 9.040610230179741968e-01 1.247362203834484484e-02 -8.762383882739397389e-01 1.461182527751236115e+01
3.704102971350539120e-01 6.519544445028163659e-02 7.397376317957472525e-01 8.735199923140209988e-01 8.421311471293373430e-01 2.947194903201458827e-01 -1.171339797396135030e+00 1.481822883268745272e+01
4.159242069715879397e-01 5.252846144569329329e-02 5.945843922363552858e-01 8.323159558944225322e-01 9.015161799389845854e-01 7.152046501419601077e-01 -1.258947682685902292e+00 1.459547936197524720e+01
3.377269882912330989e-01 4.541084491425950026e-02 5.789223562482399554e-01 1.134480224880668908e+00 7.421678946150976897e-01 9.129546527629192054e-01 -1.133381158346954631e+00 1.517752310675089333e+01
3.041792968082950299e-01 6.010199459782099296e-02 8.390244358619809439e-01 8.833257259860122224e-01 9.038183109082942313e-01 8.750007543145311706e-01 -1.246451106779941531e+00 1.443726168953926603e+01
4.428192238296615457e-01 3.401344399866177565e-02 5.047251228857053684e-01 8.681393818578893029e-01 8.857840327977644090e-01 4.513996038512419484e-01 -9.242732473672399252e-01 1.468469061713909873e+01
2.704011883580617059e-01 5.592995093303439885e-02 7.393107887966720027e-01 1.106763645477101488e+00 7.219927571499057395e-01 4.350371447952302018e-01 -7.096453135433720139e-01 1.491583943519597888e+01
4.435517638537763707e-01 3.301083342505440471e-02 5.845959820707024024e-01 8.714777073327252266e-01 8.429090416840742117e-01 3.255673233795996491e-01 -9.635901175891736781e-01 1.500811289228554735e+01
4.191628186653630905e-01 5.463325960161190264e-02 5.903727217571769215e-01 9.075038707356279932e-01 8.254939230208955259e-01 3.279151894077196872e-01 -9.393167814080070066e-01 1.494879323697983509e+01
3.294115016558922804e-01 3.826478224142725038e-02 7.478901340191548286e-01 8.418490506626747916e-01 8.309144325611571569e-01 3.803725791931449329e-01 -7.161766884709602765e-01 1.479871735286507395e+01
2.821145719399172358e-01 4.018862212552995472e-02 5.540552829611635755e-01 1.141755599737177329e+00 7.470106024411530266e-01 1.878050752969345205e-01 -1.153165973488161855e+00 1.509772053097437272e+01
3.127439761953159647e-01 4.722438874321505803e-02 5.267885376359191518e-01 1.029972609748488477e+00 8.449371616487453274e-01 2.839259466230331652e-02 -7.645214752011587622e-01 1.456122763340616544e+01
3.658705843792992018e-01 3.138825475380360025e-02 5.455678585378895828e-01 9.776281029460907046e-01 7.690159052178983101e-01 9.035261518041453055e-01 -8.683552010854952430e-01 1.501670311745481889e+01
3.558125791139092886e-01 4.071153533034252425e-02 7.166938120999245543e-01 9.148701731121400282e-01 8.118563618858201103e-01 9.427391244250957758e-01 -1.250149442905266195e+00 1.500602380833105443e+01
3.585591912057166653e-01 5.067708067721781590e-02 5.975844757687091002e-01 9.539155648985846447e-01 8.298733516329611648e-01 9.035687480198757449e-01 -8.312764827979445270e-01 1.453830960667804106e+01
3.211505740552339505e-01 3.341534291323281641e-02 6.176220976084145775e-01 9.469248502798778278e-01 7.907988061437098981e-01 5.469538253349506274e-01 -8.341997622519419231e-01 1.483271628201811509e+01
3.588533083091633991e-01 4.139345125715551688e-02 5.822148049427765537e-01 1.052901190747132176e+00 7.574883029111003641e-01 9.512201938077103902e-01 -7.957093131826954435e-01 1.481465658732244250e+01
2.980246103316022133e-01 3.673310697414439163e-02 5.640890888345337917e-01 1.153267356168337976e+00 7.113770612253812464e-01 4.584549168536202757e-01 -7.100143843801141053e-01 1.496627300052854004e+01
2.784902439033770660e-01 5.246732556541587600e-02 6.147555459828496494e-01 1.134168085149296346e+00 7.391891349130963462e-01 5.458597232656116072e-01 -1.239114843577193259e+00 1.490296601378608443e+01
3.352014365004488128e-01 4.600352643629596755e-02 7.490674244866798448e-01 9.467317684769033237e-01 8.124247072878091336e-01 5.686697614698674741e-01 -1.027504799766584487e+00 1.489615438176981854e+01
3.845068814266183743e-01 5.395773000807541075e-02 6.989520393406409848e-01 8.912975764631165809e-01 8.121607948119085041e-01 5.992853438619559769e-01 -1.044365854794690573e+00 1.489294297616244300e+01
3.534723889285692477e-01 5.228773535266458689e-02 6.753096914701097742e-01 9.429126009695943944e-01 7.689078041182464407e-01 7.822741149424983220e-02 -9.818152743545375261e-01 1.509000677115631461e+01
3.394426000838964841e-01 4.788049062888967422e-02 6.040353871892358839e-01 9.918268318256331373e-01 8.192665711147567587e-01 2.002275769865524135e-01 -8.459911733985776561e-01 1.477887877867499178e+01
2.812149683061586636e-01 4.738606922834999458e-02 5.669803361921850193e-01 1.174510702499438786e+00 7.021075459016706821e-01 4.957117279494518969e-01 -1.116639876271675158e+00 1.505592094518535795e+01
3.873378580794101245e-01 3.814056468737826722e-02 5.710122552361879267e-01 9.378609276390768024e-01 7.725078587667476571e-01 7.917734289812241588e-01 -9.715069976642867200e-01 1.490959795884615424e+01
4.050417461077325809e-01 6.218106857775898555e-02 6.609578265932218866e-01 9.351103460554964775e-01 7.794054309273139580e-01 5.037467063449415638e-01 -9.800503589837339380e-01 1.507034570771948978e+01
2.796646017297318432e-01 4.699158108717091387e-02 7.862829619988269680e-01 9.532086079666693967e-01 8.437599027916338201e-01 1.982738913932441394e-02 -1.026751992120965351e+00 1.462652436064256989e+01
3.923102882263123092e-01 4.794335840026957979e-02 6.252688928345778718e-01 8.575635958074385723e-01 8.406957809531028225e-01 6.395331077073340698e-01 -9.482694053063152051e-01 1.480600588977980436e+01
