logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -3.437016888681714190e+05 -3.437076815824580844e+05 nan
-3.437076815824580844e+05 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.061612999699117499e+05 -3.061672951841984177e+05 nan
-3.061672951841984177e+05 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.207340464493337204e+05 -2.207400441636204196e+05 nan
-2.207400441636204196e+05 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.864154304751315212e+05 -1.864214306894182228e+05 nan
-1.864214306894182228e+05 nan -1.000000000000000021e-02 4.000000000000000000e+02 -1.610446396712192218e+05 -1.610506423855059256e+05 nan
-1.610506423855059256e+05 1.195944384644030288e+04 -1.250000000000000069e-02 4.000000000000000000e+02 -8.355849970241708797e+04 -8.356450491670377960e+04 nan
-8.356450491670377960e+04 4.596941010534370434e+04 -1.500000000000000118e-02 4.000000000000000000e+02 -7.891633834690798540e+04 -7.892234606119467935e+04 nan
-7.892234606119467935e+04 2.253144053537555374e+04 -1.750000000000000167e-02 4.000000000000000000e+02 -6.831300929387299402e+04 -6.831901950815969030e+04 nan
-6.831901950815969030e+04 5.419114757892506532e+03 -2.000000000000000042e-02 4.000000000000000000e+02 -6.178021144751775864e+04 -6.178622416180444998e+04 nan
-6.178622416180444998e+04 6.363844666662394957e+03 -2.249999999999999917e-02 4.000000000000000000e+02 -5.295590039446442825e+04 -5.296191560875112191e+04 nan
-5.296191560875112191e+04 7.138770261420122551e+03 -2.499999999999999792e-02 4.000000000000000000e+02 -4.407656041864457075e+04 -4.408257813293125946e+04 nan
-4.408257813293125946e+04 1.160674404015341133e+04 -2.749999999999999667e-02 4.000000000000000000e+02 -4.397565873041615123e+04 -4.398167894470284227e+04 nan
-4.398167894470284227e+04 1.042192713371840000e+04 -2.999999999999999542e-02 4.000000000000000000e+02 -2.614581712859920299e+04 -2.615183984288589272e+04 nan
-2.615183984288589272e+04 1.519080778684236429e+04 -3.249999999999999417e-02 4.000000000000000000e+02 -2.053859322203247211e+04 -2.054461843631916418e+04 nan
-2.054461843631916418e+04 1.550142177978138534e+03 -3.499999999999999639e-02 4.000000000000000000e+02 -1.703785259137404137e+04 -1.704388030566073212e+04 nan
-1.704388030566073212e+04 1.515832843207845144e+03 -3.749999999999999861e-02 4.000000000000000000e+02 -1.682532084475943338e+04 -1.683135105904612647e+04 nan
-1.683135105904612647e+04 1.014477654713490665e+03 -4.000000000000000083e-02 4.000000000000000000e+02 -1.616632695771795261e+04 -1.617235967200464438e+04 nan
-1.617235967200464438e+04 3.207094004225897379e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -1.278282874157009064e+04 -1.278886395585678110e+04 nan
-1.278886395585678110e+04 1.691591218228780917e+03 -4.500000000000000527e-02 4.000000000000000000e+02 -1.027502882677019443e+04 -1.028106654105688540e+04 nan
-1.028106654105688540e+04 2.524362337582523651e+03 -4.750000000000000749e-02 4.000000000000000000e+02 -9.656703897360745032e+03 -9.662744111647436512e+03 nan
-9.662744111647436512e+03 1.746453285495683303e+03 -5.000000000000000971e-02 4.000000000000000000e+02 -8.856745098222327215e+03 -8.862787812509019204e+03 nan
-8.862787812509019204e+03 5.950741830186652805e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -7.308587750654082811e+03 -7.314632964940774400e+03 nan
-7.314632964940774400e+03 1.080037710437610258e+03 -5.500000000000001416e-02 4.000000000000000000e+02 -5.218519687328652253e+03 -5.224567401615343442e+03 nan
-5.224567401615343442e+03 7.794771703311362216e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -2.756699428501188322e+03 -2.762749642787879566e+03 nan
-2.762749642787879566e+03 1.500543661148711635e+03 -6.000000000000001860e-02 4.000000000000000000e+02 -2.516125127483682718e+03 -2.522177841770374016e+03 nan
-2.522177841770374016e+03 7.401776827165583654e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -1.718479502749598851e+03 -1.724534717036290203e+03 nan
-1.724534717036290203e+03 3.756684454224071033e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -1.578347194003595177e+03 -1.584404908290286585e+03 nan
-1.584404908290286585e+03 3.460034499376819781e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -1.264598725399238219e+03 -1.270658939685929681e+03 nan
-1.270658939685929681e+03 3.487304084626322833e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -1.081064573376609815e+03 -1.087127287663301104e+03 nan
-1.087127287663301104e+03 1.818899319907326912e+02 -7.250000000000002276e-02 4.000000000000000000e+02 -9.542900964138178779e+02 -9.603553107005092215e+02 nan
-9.603553107005092215e+02 1.852028056417336188e+02 -7.500000000000002498e-02 4.000000000000000000e+02 -9.383124512858012167e+02 -9.443801655724926150e+02 nan
-9.443801654571253721e+02 1.898192135615901464e+02 -7.750000000000002720e-02 4.000000000000000000e+02 -8.531926595494985577e+02 -8.592628738361898968e+02 nan
-8.592628738361898968e+02 1.916419606329957048e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -8.525153621101877661e+02 -8.585880763968791598e+02 nan
-8.581764572198717360e+02 1.973552674338803001e+02 -8.250000000000003164e-02 4.000000000000000000e+02 -7.836851995526781138e+02 -7.897604138393694484e+02 nan
-7.897604138393694484e+02 5.128058817803316316e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -6.661410754223485355e+02 -6.722187897090399247e+02 nan
-6.722187897090399247e+02 5.819925987436347015e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -6.202778218271578226e+02 -6.263580361138491526e+02 nan
-6.263580361138491526e+02 1.717879779134349150e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -5.826269643495780883e+02 -5.887096786362694729e+02 nan
-5.887096786362694729e+02 3.098563297649415205e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -5.684060334075530818e+02 -5.744912476942444073e+02 nan
-5.744912470258793746e+02 1.911459519533392282e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -4.980855973918331188e+02 -5.041733116785244988e+02 nan
-5.041733116785244988e+02 4.755687330535638324e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -4.925463625604508593e+02 -4.986365768471422371e+02 nan
-4.986326452175724171e+02 2.743490896506694909e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -4.857338049232742492e+02 -4.918265192099656247e+02 nan
-4.918254128491993811e+02 2.303963163806107417e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -4.815937321174138219e+02 -4.876889464041051951e+02 nan
-4.876730935125418114e+02 2.408421006002173925e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -4.813680832517056842e+02 -4.874657975383970552e+02 nan
-4.868709364823360488e+02 2.445447971063249071e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -4.487835975551234355e+02 -4.548838118418148042e+02 nan
-4.548838118418148042e+02 1.671591977020304043e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -4.205726759221969360e+02 -4.266753902088883024e+02 nan
-4.266753902088877339e+02 2.760358443427695363e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -4.133200759672380400e+02 -4.194252902539294041e+02 nan
-4.194245804025266011e+02 1.812823551980911319e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -4.101747509492606127e+02 -4.162824652359519746e+02 nan
-4.162401806210273207e+02 1.913241710901088055e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -4.101386875915942483e+02 -4.162489018782856078e+02 nan
-4.155513845615856212e+02 3.181028276311705483e+00 -1.200000000000000649e-01 4.000000000000000000e+02 -4.100800232601288826e+02 -4.161927375468202399e+02 nan
-4.151283549579607666e+02 7.439717257518942972e-01 -1.225000000000000672e-01 4.000000000000000000e+02 -4.100777403712011164e+02 -4.161929546578924715e+02 nan
-4.148320606696009918e+02 7.456330910819850555e-01 -1.250000000000000555e-01 4.000000000000000000e+02 -4.100734726431223294e+02 -4.161911869298136821e+02 nan
-4.146034241286675979e+02 6.276539241016434456e-01 -1.275000000000000577e-01 4.000000000000000000e+02 -4.100431631757961668e+02 -4.161633774624875173e+02 nan
-4.144126832162618257e+02 5.835504846076143837e-01 -1.300000000000000600e-01 4.000000000000000000e+02 -4.100424531054976569e+02 -4.161651673921890051e+02 nan
-4.142528264521560573e+02 5.478469067060788289e-01 -1.325000000000000622e-01 4.000000000000000000e+02 -4.100410117989003425e+02 -4.161662260855916884e+02 nan
-4.141151729724937240e+02 5.955114306233442178e-01 -1.350000000000000644e-01 4.000000000000000000e+02 -4.100408194458166804e+02 -4.161685337325080241e+02 nan
-4.139944582538277587e+02 5.979487316135633224e-01 -1.375000000000000666e-01 4.000000000000000000e+02 -4.100408136584252929e+02 -4.161697782055332482e+02 nan
-4.138868855575204861e+02 5.518891545584480030e-01 -1.400031302181186099e-01 3.990000000000000000e+02 -4.100408136584252929e+02 -4.161697782055332482e+02 nan
-4.137897690446430374e+02 4.823128005884782521e-01 -1.425125418235443642e-01 3.980000000000000000e+02 -4.100408136584252929e+02 -4.161697782055332482e+02 nan
-4.137012548785439776e+02 4.907923603407923219e-01 -1.450282664207916683e-01 3.970000000000000000e+02 -4.100408136584252929e+02 -4.161697782055332482e+02 nan
-4.136199423416479704e+02 4.819995649622911826e-01 -1.475503358535015241e-01 3.960000000000000000e+02 -4.100408136584252929e+02 -4.161697782055332482e+02 nan
-4.135447472263653026e+02 4.163466928114331611e-01 -1.500787822068601896e-01 3.950000000000000000e+02 -4.100408136584252929e+02 -4.161697782055332482e+02 nan
-4.134748131192304186e+02 3.906938300205691772e-01 -1.526136378100482471e-01 3.940000000000000000e+02 -4.100408136584252929e+02 -4.161697782055332482e+02 nan
-4.134094517430094129e+02 3.426217377332040903e-01 -1.551549352387208147e-01 3.930000000000000000e+02 -4.100408136584252929e+02 -4.161697782055332482e+02 nan
