weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -3.437016888681714190e+05 2.358401878115001793e-01 6.601646880280773177e-02 6.737676628148138169e-01 9.207557567987831870e-01 7.045238290381667934e-01 6.389228058344352812e-01 -1.130880201531186291e+00 2.153329680416356950e+01
0.000000000000000000e+00 -3.061612999699117499e+05 1.122828577152229779e-01 6.153567012077344051e-02 6.672370640081897175e-01 8.767413553995231368e-01 9.627026076247180431e-01 9.612705145354344394e-01 -9.472952556529614654e-01 2.130287945863148380e+01
0.000000000000000000e+00 -2.207340464493337204e+05 1.937718839771437329e-01 6.014775885578410586e-02 8.203619821080656571e-01 8.505450964553630255e-01 8.102779992546242926e-01 1.472243628729218434e-01 -9.025923134128559511e-01 2.061689701659827989e+01
0.000000000000000000e+00 -1.864154304751315212e+05 2.815754871324745445e-01 6.521023936283446010e-02 5.779281915496996547e-01 1.043085687568221509e+00 8.905920522851931143e-01 5.514950618742915367e-01 -9.574389917871440892e-01 2.004213937597067030e+01
0.000000000000000000e+00 -1.610446396712192218e+05 2.054268458977022704e-01 6.898993576221144897e-02 8.138830112153708773e-01 1.084229335287625995e+00 7.890149517939422097e-01 6.828737728117628691e-01 -9.097145662804124733e-01 2.153893663873250830e+01
0.000000000000000000e+00 -8.355849970241708797e+04 1.048812698359105067e-01 3.859609880883336369e-02 7.900422771349313589e-01 9.724733621252252824e-01 6.867840337776398574e-01 1.096206096952287989e-01 -9.482114634482421422e-01 2.110732804694327314e+01
0.000000000000000000e+00 -7.891633834690798540e+04 3.217028047653520684e-01 6.978721987917124725e-02 7.297435303557040509e-01 1.182203721613950931e+00 8.729979472948657948e-01 7.984557151397078112e-01 -1.040142220008407836e+00 1.898107507237810765e+01
0.000000000000000000e+00 -6.831300929387299402e+04 3.171228099197284100e-01 4.320090820000017928e-02 8.727294555202802506e-01 8.260436797007241205e-01 7.451408406731930834e-01 2.483693759212201035e-01 -1.241372908000642372e+00 2.231482249254927908e+01
0.000000000000000000e+00 -6.178021144751775864e+04 3.226996640794604909e-01 6.275949727978100134e-02 7.747243814539495066e-01 9.029327991124926900e-01 9.109219375303089228e-01 1.163245831766041016e-01 -7.993617115945441665e-01 1.837104629141003187e+01
0.000000000000000000e+00 -5.295590039446442825e+04 2.914733417274919525e-01 3.475503002017955867e-02 7.840584837615793834e-01 9.598503321300499991e-01 8.209843913624531586e-01 5.436874099452593256e-01 -7.313015515064226202e-01 1.880929886104795301e+01
