weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -3.437016888681714190e+05 3.396004695287504482e-01 9.004117200701935442e-01 4.344191570370345978e-01 3.018893919969577455e-01 2.613095725954170945e-01 6.389228058344352812e-01 2.818663307813563668e-01 2.153329680416357084e-01
0.000000000000000000e+00 -3.061612999699117499e+05 3.070714428805743079e-02 7.883917530193359502e-01 4.180926600204742938e-01 1.918533884988076199e-01 9.067565190617952187e-01 9.612705145354344394e-01 5.878412405783977057e-01 2.130287945863148513e-01
0.000000000000000000e+00 -2.207340464493337204e+05 2.344297099428592768e-01 7.536939713946025909e-01 8.009049552701639207e-01 1.263627411384073973e-01 5.256949981365607316e-01 1.472243628729218434e-01 6.623461443119068592e-01 2.061689701659827900e-01
0.000000000000000000e+00 -1.864154304751315212e+05 4.539387178311863336e-01 8.802559840708616967e-01 1.948204788742490257e-01 6.077142189205538836e-01 7.264801307129827856e-01 5.514950618742915367e-01 5.709350136880932958e-01 2.004213937597066897e-01
0.000000000000000000e+00 -1.610446396712192218e+05 2.635671147442556483e-01 9.747483940552862380e-01 7.847075280384271379e-01 7.105733382190647651e-01 4.725373794848555242e-01 6.828737728117628691e-01 6.504757228659792112e-01 2.153893663873250874e-01
0.000000000000000000e+00 -8.355849970241708797e+04 1.220317458977626668e-02 2.149024702208340853e-01 7.251056928373281751e-01 4.311834053130632061e-01 2.169600844440997545e-01 1.096206096952287989e-01 5.863142275862632813e-01 2.110732804694327447e-01
0.000000000000000000e+00 -7.891633834690798540e+04 5.542570119133801709e-01 9.946804969792814033e-01 5.743588258892601273e-01 9.555093040348769939e-01 6.824948682371645425e-01 7.984557151397078112e-01 4.330962999859870877e-01 1.898107507237810632e-01
0.000000000000000000e+00 -6.831300929387299402e+04 5.428070247993210806e-01 3.300227050000045237e-01 9.318236388007004045e-01 6.510919925181013479e-02 3.628521016829826529e-01 2.483693759212201035e-01 9.771181999892952774e-02 2.231482249254927996e-01
0.000000000000000000e+00 -6.178021144751775864e+04 5.567491601986512828e-01 8.189874319945250614e-01 6.868109536348737665e-01 2.573319977812315029e-01 7.773048438257722514e-01 1.163245831766041016e-01 8.343971473424265373e-01 1.837104629141003143e-01
0.000000000000000000e+00 -5.295590039446442825e+04 4.786833543187298812e-01 1.188757505044889529e-01 7.101462094039483475e-01 3.996258303251249977e-01 5.524609784061328410e-01 5.436874099452593256e-01 9.478307474892957440e-01 1.880929886104795168e-01
